cr_id,dir_name,lock_path,lock_sha256,result_md_path,result_md_sha256_pre_repair,summary_json_path,summary_json_sha256_pre_repair
CR128,CR128_BOUND_COLOR_PAIR_MASS_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR128_BOUND_COLOR_PAIR_MASS_LAW_V1/CR128_law_lock.json,0f62d6b4e942a9b41d2b620265f3b05d737a35d65acb4553190f64183ff19871,13_CERN_INDEPENDENT_TESTS/CR128_BOUND_COLOR_PAIR_MASS_LAW_V1/CR128_result.md,0a4ebfe6c3a17f10f03909d1b5dfc4c9532b34132c9e306dfd9fa1b724970e10,13_CERN_INDEPENDENT_TESTS/CR128_BOUND_COLOR_PAIR_MASS_LAW_V1/CR128_summary.json,6c7b50f2bd04e80014a7bc0c875ca0267dd2e6dbd7244a721fcd31a23bd06649
CR128b,CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1/CR128b_law_lock.json,fb9287cd6c79b161f138f5ce4fde5b109483be1787757d6e4bdf4f613ad16467,13_CERN_INDEPENDENT_TESTS/CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1/CR128b_result.md,8dd3042c74952cb4b17ea700fe4db2e122d6913241f0b19ed817027be657fe08,13_CERN_INDEPENDENT_TESTS/CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1/CR128b_summary.json,8cfa8eba2cee3c984c3a2629e52955cf8577411b38f50e0610eb2c02324155d1
CR129,CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1/CR129_law_lock.json,041a487c30a8ee3d96dbf347e26e110c2808741b325769a910217d8bcfbeb710,13_CERN_INDEPENDENT_TESTS/CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1/CR129_result.md,836e8fbcfa1209d3dda1bc3947f684d65a613001282472392e397a84e3f2cbf4,13_CERN_INDEPENDENT_TESTS/CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1/CR129_summary.json,30e12eb8bfc6d404541a9748c2c6357244352dc8823c0e7827a3db3a0cdb4aae
CR129b,CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1/CR129b_magnitude_lock.json,8c3d0eb78b462cc1df0bfa1bbbcbdba189633e1ff05f076f801315c5091b30bd,13_CERN_INDEPENDENT_TESTS/CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1/CR129b_result.md,2eb5e87a920b60f989f2dd39f4efb0ea356eeadbc70803eac47db0904200fb22,13_CERN_INDEPENDENT_TESTS/CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1/CR129b_summary.json,98c90e831e9586e2ea092190c1af95e045cc601558c0841499fd494f5114d58a
CR129c,CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON,13_CERN_INDEPENDENT_TESTS/CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON/CR129c_universal_lock.json,bfd5ab8c325656ffd3c34c88ab90bb0d1c486046241cf6a07c07506441bd8090,13_CERN_INDEPENDENT_TESTS/CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON/CR129c_result.md,b37cb070b8880de7c8fb511e8106279dd4a1f365039262cd61592152bce80929,13_CERN_INDEPENDENT_TESTS/CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON/CR129c_summary.json,5f63dcf7e3493225ed5df44141c9b0707fed0844e8c76ffe8dd994a22cbc78f7
CR130,CR130_2BODY_3BODY_STRUCTURAL_BRIDGE,13_CERN_INDEPENDENT_TESTS/CR130_2BODY_3BODY_STRUCTURAL_BRIDGE/CR130_bridge_lock.json,0a40209bc4c564a6437e8c1d01df2b294e35c7459340c244e28c3448bf73549c,13_CERN_INDEPENDENT_TESTS/CR130_2BODY_3BODY_STRUCTURAL_BRIDGE/CR130_result.md,3be27eb9191028b68e734d9749e38b9c96c8f0ea08ff186bcc55bfad2310c9a3,13_CERN_INDEPENDENT_TESTS/CR130_2BODY_3BODY_STRUCTURAL_BRIDGE/CR130_summary.json,22928c5fdde7cc9cbd9cc8f59a2f7dab392dcc03e1b5507e964904763931ad0f
CR131,CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1/CR131_law_lock.json,2aef1403da7f764a7e0666d12ea9ba974b09719154ce8f1f5da5d3fd456caceb,13_CERN_INDEPENDENT_TESTS/CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1/CR131_result.md,5c3c148c7cfe0d64260ee16b4762d5d67256234d2af243a27e9856f220a0e213,13_CERN_INDEPENDENT_TESTS/CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1/CR131_summary.json,e90bb5848949ef1713e9df0abb6b6f4d9ea83c1a19399fde95bef9de3988fce7
CR132,CR132_1BODY_CARRIER_LATTICE_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR132_1BODY_CARRIER_LATTICE_LAW_V1/CR132_law_lock.json,fbc25a887e01e8b6d5d84bb7a0fba8b4e26e1eca1b471caf3043dc9ba9559a32,13_CERN_INDEPENDENT_TESTS/CR132_1BODY_CARRIER_LATTICE_LAW_V1/CR132_result.md,6897acca61d2407e8b1dc5ee36922be15e949ab1f37d8d6839d8c47d928ba078,13_CERN_INDEPENDENT_TESTS/CR132_1BODY_CARRIER_LATTICE_LAW_V1/CR132_summary.json,4495b9d557717bc67a309c5bccaeb6b159514c589041095b7bc9caed0c721145
CR133,CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1/CR133_law_lock.json,1e7e08d8764ebdfeb4c4756495c78fb94236f63eea277f9d970db2ad3ddcf1e4,13_CERN_INDEPENDENT_TESTS/CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1/CR133_result.md,8b02eb267930bd04ab7500ec54395dc26e50d060e8e20c43594152066c1861bf,13_CERN_INDEPENDENT_TESTS/CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1/CR133_summary.json,82fa822aadf0b40042beec57c3626daf5ce4310040ac7ffd0399c4a336e341d7
CR134,CR134_SOURCE_SUPPORT_PACKET_LAW_V1,13_CERN_INDEPENDENT_TESTS/CR134_SOURCE_SUPPORT_PACKET_LAW_V1/CR134_law_lock.json,6ab4944278530a359382303a4bacef4a1bcc8a939b7307925615a525aadcd997,13_CERN_INDEPENDENT_TESTS/CR134_SOURCE_SUPPORT_PACKET_LAW_V1/CR134_result.md,4b3b6bc2b478e153c506b350792cd1acd3054a783b540cc873c08903523131fd,13_CERN_INDEPENDENT_TESTS/CR134_SOURCE_SUPPORT_PACKET_LAW_V1/CR134_summary.json,43381e4db213a40515479429929d64bc9a40ca70c598899349d63bc8c6ebb482
