cr_id,dir_name,in_clean_state,result_md_sha256_post,summary_json_sha256_post,archived_pre_result_sha256
CR128,CR128_BOUND_COLOR_PAIR_MASS_LAW_V1,True,f4d00f74597f6c85e9e287b65ac4cb0eef667fd80c5e421b748ffb38d71ee77d,b0aafbfcb8c9e6ce8fd479a20be92a61845b5dc018edd301d36a7ddfb68a7c71,4fca02422c0302712d1cfb1c4e34a93fabeba9651b11d3c2f52d77fb04f40b1f
CR128b,CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1,True,e6028e172a82db19457df93475a8b70797188c747f299e616f4a9e7172a33549,9bd613c3b4d6db390d35afa2250f9f34aadc9e42f7c7382dd204369ce9f8b192,bd985cefbb3def3b436ebf5274d73919f707c99252284d64d492a755e104040d
CR129,CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1,True,442a4f7531d6818c294d9f9a0b813723574791e858400ed278f8fc5f97d5b88a,4773df2d0b7198741f59b3b478c903fcc833b8e32f6aaddf5bf0ca9aa9714a13,fdac1eabf889c094d44d6c12bf0b592306f7786f74a52a3c11223120ddf354e9
CR129b,CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1,True,be3e314b46c5532b8be755ebbb0b699b8c55fbb872bb9cad96e4b06f2c765efc,57396c8ac8d63b9e67af6de28f2a839e2940feec532a2a9f896399296dcccf80,be49c1e301a1741e4daa9350db10eb36ce61c02f462271690ecdad1e73c4b715
CR129c,CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON,True,924e7eedf5ea097bdda2891589d4c209df74d53d5d479802e67515eb74ad0d5b,5de2f436e9920a610d4a0ef464535a5c099c8779330893305def3a96470b6fac,7d9f2c7342252a9b60d63086400fe8153f71fec41ec9953852ba0760a2333a6a
CR130,CR130_2BODY_3BODY_STRUCTURAL_BRIDGE,True,ac38679e3c150449aa15def37a438ec6f600cd303a1969bf5faba4c29ada077a,21ab0933a683a54628e1bf598a9449519e129d6d2daa6bc47e8eb4fdbb2832e0,d798ea72439606b0ddb5b241e30ea0555cd04a8ee6ff605357dc6c03184e498a
CR131,CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1,True,388a4029f0621d89234598cc6d1ee604e078700238e0271a6f8e816110e1d123,022db0daad533007756162351727cd583d9e4feeaa6e5d0c8abc3d7927978a1a,bddf0562c5bdd7bb0b0f4371ddbf7a3dc800d7e31be9ca95e7a7a22b1cf63cd6
CR132,CR132_1BODY_CARRIER_LATTICE_LAW_V1,True,5c2903acb54275aef413863226cf4fcef6f5514c15805ac03cf2ba3aade8ac36,9014dc8cd29bbce6b2256a7d059d9abf107a0a62a52ac33e6ae6087e90ec58b4,10a1ce00fd74287ecad702a2f78170ba206c315862357ad60fda3fc361c622df
CR133,CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1,True,cb3710c42af5d429794902f1406eb770fdf8e40f50ebef1a5fe0455fb5f8bdb9,41bedcd8f590a525ede786644014fafec23228f997b346959b194453230a56ca,b6f50720a523a24e17400c1d49bb0351bdb7dd7f43bf7cade104967dfba7543d
CR134,CR134_SOURCE_SUPPORT_PACKET_LAW_V1,True,46c77cd912b932125228c8923e4705c4d36d0c1e2df14294f44d086d37856aff,cd43d402f6306e955a955281fa4d04e7165c2d31938d09fbfc9255fd185877e4,d2fba3206f8810617a843faacac1a6804884cc647fc6dc2bac09bfd990191785
