label,role,load_bearing,source_type,path,url,exists,sha256,note
CR147_RUNNER,Executable fresh GW170817 release-differential gate,True,EXECUTABLE_GATE,C:\VS\The_Courtroom\04_PHOTON_ROAD_SHAPIRO_DELAY\CR147_GW170817_A_RELEASE_EM_ORIGIN_DIFFERENTIAL\CR147_runner.py,,True,1bfc31158093625c71d600c02faf280159088628f0626fe7f5f8e102b2f14fff,
GW170817_GRB170817A_DELAY_PRIMARY,Observed 1.74 +/- 0.05 s GW-to-GRB delay and speed bound,True,PRIMARY_EXTERNAL,,https://arxiv.org/abs/1710.05834,True,,LIGO/Virgo/Fermi/INTEGRAL ApJL 848 L13
GW170817_MASS_DISTANCE_PRIMARY,Total mass 2.74 +0.04/-0.01 Msun and 40 +8/-14 Mpc distance,True,PRIMARY_EXTERNAL,,https://arxiv.org/abs/1710.05832,True,,LIGO/Virgo PRL 119 161101
GRB170817A_FERMI_GBM_PRIMARY,Fermi-GBM GRB trigger context at 12:41:06 UTC,True,PRIMARY_EXTERNAL,,https://arxiv.org/abs/1710.05446,True,,Fermi-GBM ApJL GRB 170817A paper
CR116_M18_GRAVITON_CHANNEL,Massless m=18 tensor-carrier wave-mode theorem,True,COURTROOM_THEOREM,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR116_18_GRAVITON_CARRIER_THEOREM\CR116_summary.json,,True,e63c5821b7bb75dac6d975494d73b255aea691c773f4780b4523a0e09ab885ca,
CR116_RESULT_TEXT,Human-readable m=18 carrier theorem and boundaries,True,COURTROOM_RESULT,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR116_18_GRAVITON_CARRIER_THEOREM\CR116_result.md,,True,4385529ee82f863e5c2ac40ad2ce0114b71c84e3720d09d96d1fdde79bf07464,
CR006_PHOTON_ROAD_A_INTEGRAL,Scoped photon-road A integral contact,True,COURTROOM_RESULT,C:\VS\The_Courtroom\04_PHOTON_ROAD_SHAPIRO_DELAY\CR006_PHOTON_ROAD_SHAPIRO_EXTERNAL_CONTACT\CR006_summary.json,,True,772889096e86db5456a939159ab74ca88cb80684a8ea932b01b16e1c9ef9c723,
G96_BNS_ENGINE_TIME,Locked release/engine-time law,True,UPSTREAM_SUMMARY,C:\VS\Stam_model-A-v1.0\tests\Substrate\G96_BNS_engine_time_scaling\results\G96_BNS_engine_time_scaling_summary.md,,True,c6896f685c9ac72a739b2a4fd73b8dc1bdbc5dbbe56912ead7c0d6b89895cd47,
G699C_MULTIMESSENGER_SPLIT,Prior shared-road GW170817 split and one-sided control,True,UPSTREAM_SUMMARY,C:\VS\Stam_model-A-v1.0\tests\Substrate\G699c_GW170817_NATIVE_MULTIMESSENGER_ENGINE_ROAD_SPLIT\G699c_summary.json,,True,8f832b73d1739b13ec3911279153301298b115b25053807124d03fdb542f00d7,
G699C_RESULT_TEXT,Human-readable prior G699c result,False,UPSTREAM_RESULT,C:\VS\Stam_model-A-v1.0\tests\Substrate\G699c_GW170817_NATIVE_MULTIMESSENGER_ENGINE_ROAD_SPLIT\G699c_RESULT.md,,True,9cf951dd8791b38e94a96ccf593906e229a26a8191f64c52aaeccab3374ee551,
G699C_SEALED_ENVELOPE,Pre-run prediction envelope for G699c,True,SEALED_ENVELOPE,C:\VS\Stam_model-A-v1.0\audit\audits\SEALED_ENVELOPE_G699c_GW170817_NATIVE_MULTIMESSENGER_ENGINE_ROAD_SPLIT_2026_06_11.md,,True,4d46a08226055c355246d7e1a2eccc998592bdacab7979358e089e4b618f2d9f,
F5C_ONE_SIDED_CONTROL,Historical full one-sided A-road failure control,False,UPSTREAM_WRONG_CONTROL,C:\VS\Stam_model-A-v1.0\tests\Substrate\005c_gw170817_arrival_test\results\F5c_gw170817_arrival_test_summary.md,,True,667eb26d1a2441a017a81b2ed87184b98d9579ef581e7e4337c943f9b184bbdf,
