candidate,A,redshift,weak_A_over_2,relative_miss
sam_sqrt_lapse_log_road,1e-09,5.000000413701855e-10,5e-10,8.274037093680878e-08
sam_sqrt_lapse_log_road,1e-07,5.000000369292934e-08,5e-08,7.385858684734101e-08
sam_sqrt_lapse_log_road,1e-05,5.000037500257903e-06,5e-06,7.500051580595987e-06
wrong_weak_linear_clock,1e-09,5.000000413701855e-10,5e-10,8.274037093680878e-08
wrong_weak_linear_clock,1e-07,5.0000002582706315e-08,5e-08,5.165412635483788e-08
wrong_weak_linear_clock,1e-05,5.000025000256869e-06,5e-06,5.000051373745061e-06
wrong_flat_clock,1e-09,0.0,5e-10,1.0
wrong_flat_clock,1e-07,0.0,5e-08,1.0
wrong_flat_clock,1e-05,0.0,5e-06,1.0
wrong_shift_photon_closure,1e-09,7.500000620552782e-10,5e-10,0.5000001241105564
wrong_shift_photon_closure,1e-07,7.500000842597387e-08,5e-08,0.5000001685194776
wrong_shift_photon_closure,1e-05,7.500084375999805e-06,5e-06,0.5000168751999609
wrong_shift_isco_closure,1e-09,1.5000001241105565e-09,5e-10,2.000000248221113
wrong_shift_isco_closure,1e-07,1.5000003372733772e-07,5e-08,2.0000006745467545
wrong_shift_isco_closure,1e-05,1.5000337508341843e-05,5e-06,2.0000675016683687
wrong_finite_horizon_cap,1e-09,5.000000413701855e-10,5e-10,8.274037093680878e-08
wrong_finite_horizon_cap,1e-07,5.000000369292934e-08,5e-08,7.385858684734101e-08
wrong_finite_horizon_cap,1e-05,5.000037500257903e-06,5e-06,7.500051580595987e-06
wrong_no_road_stretch,1e-09,5.000000413701855e-10,5e-10,8.274037093680878e-08
wrong_no_road_stretch,1e-07,5.000000369292934e-08,5e-08,7.385858684734101e-08
wrong_no_road_stretch,1e-05,5.000037500257903e-06,5e-06,7.500051580595987e-06
