source_key,path,role,used_as_computed_input,exists,sha256
cr022_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR022_NATIVE_A_MANY_NONZERO_ACCUMULATION\CR022_summary.json,many-nonzero A root summary,True,True,d342cf25d4fa3dfd3496c1fab27ccb855eda100abc07931efb5960741f7292ec
cr023_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR023_BB_PBH_TRAPPED_A_INVENTORY\CR023_summary.json,BB-PBH inventory summary,True,True,a59d73dc2c0c40443c12976551f036dd9045474edf91d7b8f0b112e73cd4064d
cr024_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR024_REAL_SPARC_RESIDUAL_AND_POST_BB_REJECTION\CR024_summary.json,SPARC residual summary,True,True,9688c421c88f0adbf26478a54bbc35d6d81f40b3f875ef326f7ef101a30b3fad
cr025_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR025_CLUSTERED_BB_PBH_PROFILE_CONTACT\CR025_summary.json,clustered profile summary,True,True,5387ad567c098862152dcfadb96881125eac45ef79378cac532c97d9fbe7920e
cr026_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR026_SEED_FIRST_CLUSTERING_SELECTOR\CR026_summary.json,seed-first summary,True,True,0d9d072cdc1ce8dec7940085d51b87331c80edb2629cfc5609edf6ac055ae3c2
cr027_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR027_HYDROGEN_CATCHUP_FIRST_STAR_SCAFFOLD\CR027_summary.json,hydrogen catchup summary,True,True,dceb3afae107c12057acdedfb611b82ab37864f6a561617651e508c73fb4bc0f
cr028_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR028_QP042_BARYON_SCAFFOLD_SUPPORT\CR028_summary.json,QP042 support summary,True,True,1587b322e6635ae3628fa274ded08e2549b343576974924477c3ded172d2c24d
cr029_summary,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR029_NATIVE_RADIAL_LAW_DEBT_LEDGER\CR029_summary.json,native radial-law debt summary,True,True,903735c8668cc091bf3eadf87cbb9a70683bd485f7cde9b4fd84f41bd84b6cb6
declared_premises,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR030_BRANCH_VERDICT_ZIPPER\CR030_declared_premises.json,test_precommit_and_pass_conditions,True,True,aeed1af492e897d186c9832b02ef488cb2b7f7e74504e0a795786671ec0f87bd
runner,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR030_BRANCH_VERDICT_ZIPPER\CR030_runner.py,courtroom_calculation_script,True,True,ba0d19b762957b5b51d1aa5085db6e19a066f60cae75afdb780989c0e5b1d6ed
