galaxy,n_points,R_outer_kpc,quality,bin_0.0-0.2,bin_0.2-0.4,bin_0.4-0.6,bin_0.6-0.8,bin_0.8-1.0
CamB,9,1.79,2,0.0,0.0,0.0,0.1445,1.0074
D564-8,6,3.07,2,1.2603,2.4596,3.8097,4.6199,6.4313
D631-7,16,7.19,1,0.0458,1.0257,2.7268,5.3672,8.135
DDO064,14,2.98,1,12.8945,3.2754,3.6376,2.7333,2.439
DDO154,12,5.92,2,1.5053,3.478,4.7692,5.4365,6.8358
DDO161,31,13.37,1,0.6428,0.9821,2.0817,2.2891,3.4785
DDO168,10,4.12,2,0.4613,1.0461,2.6101,3.1703,3.5168
DDO170,8,12.33,2,2.1867,3.3423,2.9161,2.8118,3.7694
ESO079-G014,15,16.67,1,0.8842,1.8968,2.5575,1.9652,2.1931
ESO116-G012,15,9.86,1,1.5103,2.2374,2.942,3.9209,4.0005
ESO444-G084,7,4.44,2,4.5782,5.0717,5.572,10.3078,15.0341
ESO563-G021,30,42.41,1,1.0283,1.4873,1.6338,2.2926,3.3905
F561-1,6,9.66,3,0.2547,1.0155,1.0473,0.7205,0.2971
F563-1,17,20.1,1,9.8213,9.727,7.4975,8.9295,7.7691
F563-V1,6,7.87,3,0.7375,1.0014,0.7622,0.545,0.2072
F563-V2,10,10.47,1,6.9848,9.8191,9.0633,5.6429,5.0751
F565-V2,7,8.8,2,3.8311,5.177,7.8272,7.0566,6.5468
F567-2,5,9.59,3,,3.4125,3.2287,1.7283,1.4055
F568-1,12,13.23,1,4.2556,11.9203,9.2568,5.7242,4.7682
F568-3,18,17.98,1,1.962,4.8022,3.3495,3.2833,4.172
F568-V1,15,17.63,1,5.5908,9.3522,7.3699,5.3756,6.5402
F571-8,13,15.55,1,0.0,1.5606,4.0996,7.1386,11.4654
F571-V1,7,13.59,2,1.9654,2.8551,4.0405,3.9275,4.5656
F574-1,14,12.6,1,2.1054,5.4739,5.155,4.9103,3.8102
F574-2,5,10.83,3,,0.3502,0.0957,0.1246,0.1011
F579-V1,14,15.16,1,7.0722,4.2489,3.1149,2.8795,3.0878
F583-1,25,16.26,1,5.6698,10.3138,7.0269,4.7561,3.3659
F583-4,12,7.29,1,3.1397,2.3492,2.8697,3.3257,3.6665
IC2574,34,10.23,2,1.3494,3.1062,2.654,3.0649,3.457
IC4202,32,25.9,1,0.015,0.8967,0.8555,1.0822,1.4671
KK98-251,15,3.13,2,1.4959,1.3819,1.2537,1.7632,1.9956
NGC0024,29,11.27,1,2.9823,3.1473,,4.8847,8.0732
NGC0055,21,13.5,2,0.6062,1.1799,1.723,1.9487,2.2793
NGC0100,21,9.62,1,0.6419,1.5129,2.6882,4.0844,5.2435
NGC0247,26,14.54,2,4.0843,3.0548,2.8688,2.8487,3.2176
NGC0289,28,71.12,2,0.4655,1.6817,2.5826,3.1635,3.4002
NGC0300,25,11.8,2,2.1611,3.9205,3.7679,3.7623,6.0636
NGC0801,13,59.82,1,0.4268,0.6292,0.7598,1.119,1.6781
NGC0891,18,17.11,1,0.0,0.0,0.2737,0.6314,0.8769
NGC1003,36,30.24,1,0.8073,2.6554,3.7376,6.2465,8.0337
NGC1090,24,30.09,1,0.0154,1.0127,1.0835,1.6412,2.0041
NGC1705,14,6.0,3,3.1776,4.3825,6.8453,10.2919,11.9841
NGC2366,26,6.06,3,0.8135,1.8225,2.3687,2.5649,2.109
NGC2403,73,20.87,1,0.9126,2.164,2.8238,3.8932,5.3269
NGC2683,11,34.62,2,0.4353,1.0207,1.8763,1.654,3.0112
NGC2841,50,63.64,1,1.1723,2.1862,3.5928,3.9451,5.8086
NGC2903,34,24.96,1,0.0314,0.6394,1.3158,2.0215,2.547
NGC2915,30,10.04,2,0.0355,9.4389,11.5813,12.0774,12.4926
NGC2955,24,35.43,1,0.1438,0.2156,0.7577,0.7915,0.9161
NGC2976,27,2.27,2,0.2112,0.7199,0.766,0.6509,1.0189
NGC2998,13,42.28,1,1.6067,0.928,1.2779,1.8382,2.2407
NGC3109,25,6.45,1,5.2905,4.4349,6.0774,7.675,8.3733
NGC3198,43,44.08,1,1.0013,1.7679,2.9906,3.4692,4.1312
NGC3521,41,17.74,1,0.2136,0.3245,0.9009,1.3818,2.1166
NGC3726,12,32.52,2,0.1255,0.5966,0.5923,1.4878,3.0537
NGC3741,21,7.0,1,3.7458,7.6275,9.6485,10.0955,11.8334
NGC3769,12,37.16,2,0.3665,1.8986,3.0408,,5.1112
NGC3877,13,11.35,2,0.0,1.2151,0.7504,0.408,0.4494
NGC3893,10,19.05,1,0.1806,0.7406,1.181,1.7224,2.0656
NGC3917,17,14.86,1,1.1771,2.018,1.7792,1.8637,2.4408
NGC3949,7,7.07,2,,0.1944,0.1252,0.4022,0.879
NGC3953,8,15.68,1,,0.6461,0.7199,0.6297,0.7912
NGC3972,10,8.72,1,1.0723,1.8458,1.8684,1.4583,2.1777
NGC3992,9,46.02,1,1.5857,1.3546,1.7079,2.1981,3.0214
NGC4010,12,10.47,2,1.1458,0.3484,1.0356,1.7738,1.7333
NGC4013,36,31.01,2,0.4697,0.4655,1.0883,2.1511,3.3064
NGC4051,7,12.19,2,0.0252,0.3981,0.6163,0.2972,0.4102
NGC4068,6,2.33,2,0.0,0.1034,0.7471,1.1537,1.46
NGC4085,7,6.2,2,0.0,0.0,0.3145,0.3415,0.6434
NGC4088,12,21.48,1,0.0692,0.0,0.1092,0.348,0.83
NGC4100,24,22.76,1,1.3763,0.8708,1.6357,1.9166,2.3224
NGC4138,7,18.58,2,0.0909,0.8088,1.3212,1.4897,2.3353
NGC4157,17,29.61,1,0.0,0.2711,0.7038,1.3793,2.122
NGC4183,23,21.02,1,2.4296,2.2507,1.9173,2.5212,3.3993
NGC4214,14,5.63,2,1.5839,1.9856,4.106,6.6189,8.719
