item,value,pass
n_galaxies_loaded,175,True
n_galaxies_analyzed,175,True
n_in_median,173,True
X_inf_sealed,3.18,True
P1_median_log_ratio,-0.0007342827377475646,True
P1_median_linear_ratio,0.9983106800240439,True
P1_threshold_log,0.05,True
E1_mean_log_ratio,0.042586601341780106,True
E1_std_log_ratio,0.379077458824331,True
E2_c_SAM_median,1.062822308006685,True
E3_rho_half_median,0.9408910524991636,True
E4_config_count_total,175,True
E5_f_halo_inf,0.7607655502392345,True
WC1_canonical_percentile,0.1,True
WC1_p_value,0.001998001998001998,True
WC2_canonical_percentile,0.7000000000000001,True
WC2_p_value,0.007992007992007992,True
verdict,PASS,True
