qp_id,summary_exists,next_frontier,next_frontier_references_successor,next_frontier_references_any_qp,successor_in_bridge_order,status
qp004,True,QP005_PRIVATE_NATIVE_COMPOSITE_INTERACTION_STRENGTH_LAW,False,False,qp007,ok_linked_externally
qp007,True,QP008_PRIVATE_HEAVY_ROLE_SHIFT_SELECTOR,False,False,qp018,ok_linked_externally
qp018,True,QP019_PRIVATE_PARTICLE_SLOT_TO_NATIVE_MASS_SURFACE_BRIDGE,False,False,qp019,ok_linked_externally
qp019,True,QP020_PRIVATE_QP_TO_PARTICLE_BRIDGE_READINESS_PACKAGE,False,False,qp020,ok_linked_externally
qp020,True,"next_frontier,why_next,input_surface,target_output
QP021_PRIVATE_CHARGED_LANE_BRIDGE,freeze private package and review before public preprint planning,qp020_readiness_summary.json,private review decision or targeted charged-lane bridge",False,False,qp021,ok_linked_externally
qp021,True,PRIVATE_FREEZE_AND_HOSTILE_AUDIT,False,False,qp023,ok_linked_externally
qp023,True,QP024_PRIVATE_OPEN_SLOT_PROMOTION_SELECTOR,False,False,qp037,ok_linked_externally
qp037,True,QP038_PRIVATE_COMPOSITE_STABILITY_QUANTUM_SPAGHETTIFICATION_BOUNDARY,False,False,qp040,ok_linked_externally
qp040,True,QP041_PRIVATE_MESON_SCAFFOLD_FILL_PASS,False,False,qp050,ok_linked_externally
qp050,True,QP051_PRIVATE_NEUTRON_EXCESS_BINDING_DEPTH_SELECTOR,False,False,qp052,ok_linked_externally
qp052,True,QP053_PRIVATE_ISOTOPE_ROSTER_STABILITY_SELECTOR,False,False,qp062,ok_linked_externally
qp062,True,QP063_PRIVATE_BARYON_ROLE_SCALE_SELECTOR,False,False,qp063,ok_linked_externally
qp063,True,QP064_SELF_NEUTRAL_Q_ANTI_Q_ROLE_COORDINATE_SELECTOR_OR_QP065_HEAVY_BARYON_ROLE_SCALE_SELECTOR,False,False,qp064,ok_linked_externally
qp064,True,QP065_HEAVY_QUARKONIUM_ROLE_OPERATOR_SELECTOR_PER_SUK056_FRONTIER,False,False,qp065,ok_linked_externally
qp065,True,SUK056_NATIVE_HEAVY_COMPOSITE_ROLE_OPERATOR_SELECTOR_IN_PARENT_STAM_MODEL_A,False,False,qp066,ok_linked_externally
qp066,True,SUK056_NATIVE_HEAVY_COMPOSITE_ROLE_OPERATOR_SELECTOR_IN_PARENT_STAM_MODEL_A,False,False,qp067,ok_linked_externally
qp067,True,PARENT_SAM_MASS_ROLE_OPERATORS_EXTENSION,False,False,qp069,ok_linked_externally
qp069,True,PARENT_SAM_MASS_STRUCTURAL_JUSTIFICATION_GATE,False,False,qp070,ok_linked_externally
qp070,True,USER_PROMOTION_DECISION_GATE,False,False,qp071,ok_linked_externally
qp071,True,USER_REVIEWS_PARENT_SUK_GATE_DRAFT_AND_RATIFIES_RULE,False,False,qp072,ok_linked_externally
qp072,True,QP073_PHASE4_FREEZE_REFRESH_POST_SUK_HCO,False,False,qp073,ok_linked_externally
qp073,True,OPTIONAL_DOUBLY_HEAVY_BOTTOM_CHARM_K_CLASS_EXTENSION_OR_PHASE4_FREEZE_DECLARED_CLOSED,False,False,qp074,ok_linked_externally
qp074,True,USER_RATIFICATION_OR_REVISION_OF_DOUBLY_HEAVY_BC_K_CLASS,False,False,qp075,ok_linked_externally
qp075,True,RENDER_PNG_FROM_QP075_CSV,False,False,TERMINAL,ok_terminal_with_followup_marker
