symbol,predicted_MeV,mass_status,parameter_free_grade,free_parameters_used,grade_class,tolerance_pct,observed_MeV,observed_source,residual_pct,within_upper_bound,row_verdict
H,125077.3740986,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,125250.0,PDG 2024 125.25 GeV,0.137825,,PASS_SCOPED_ROW_LEVEL
e,0.5123492,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,0.51099895,PDG 2024 pole,0.264237,,PASS_SCOPED_ROW_LEVEL
mu,106.504345686,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,105.6583755,PDG 2024 pole,0.800666,,PASS_SCOPED_ROW_LEVEL
tau,1770.678832703,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,1776.86,PDG 2024 pole,0.34787,,PASS_SCOPED_ROW_LEVEL
nu_e,1.9197050369e-08,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,boundary,,<= 2e-06,KATRIN 2022 < 2 eV,,True,BOUNDARY_ROW_LEVEL_WITHIN_PDG_UPPER_BOUND
nu_mu,3.9905779545e-06,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,boundary,,<= 0.19,PDG 2024 < 0.19 MeV,,True,BOUNDARY_ROW_LEVEL_WITHIN_PDG_UPPER_BOUND
nu_tau,6.634499517e-05,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,boundary,,<= 18.2,LEP / OPAL < 18.2 MeV,,True,BOUNDARY_ROW_LEVEL_WITHIN_PDG_UPPER_BOUND
u,2.145086328332,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,2.16,PDG 2024 MS-bar 2 GeV,0.690448,,PASS_SCOPED_ROW_LEVEL
d,4.64768686754,FROZEN_V4_1_AUDIT_PREDICTION,AUDIT_GRADE_PARAMETER_FREE,0,audit,2.0,4.67,PDG 2024 MS-bar 2 GeV,0.477797,,BOUNDARY_ROW_LEVEL_WITHIN_AUDIT_BAND
s,92.80979015084,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,93.4,PDG 2024 MS-bar 2 GeV,0.631916,,PASS_SCOPED_ROW_LEVEL
c,1278.052148232,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,1273.0,PDG 2024 MS-bar at m_c,0.396869,,PASS_SCOPED_ROW_LEVEL
b,4181.911261765,FROZEN_V4_1_STRICT_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,4183.0,PDG 2024 MS-bar at m_b,0.026028,,PASS_SCOPED_ROW_LEVEL
t,172763.0456806,FROZEN_V4_1_AUDIT_PREDICTION,AUDIT_GRADE_PARAMETER_FREE,0,audit,2.0,172690.0,PDG 2024 pole,0.042299,,BOUNDARY_ROW_LEVEL_WITHIN_AUDIT_BAND
W,80365.14153697,FROZEN_PARENT_ROLE_OPERATOR_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,80369.2,PDG 2024 W boson,0.00505,,PASS_SCOPED_ROW_LEVEL
Z,91161.47268611,FROZEN_PARENT_ROLE_OPERATOR_PREDICTION,STRICT_PARAMETER_FREE,0,strict,1.0,91187.6,PDG 2024 Z boson,0.028652,,PASS_SCOPED_ROW_LEVEL
