order,symbol_or_carrier,family,anchor_class,reference_label,predicted_mass_MeV,reference_mass_MeV,reported_residual_percent,computed_residual_percent,replay_delta_pct_points,tolerance_percent,free_parameters_used,row_verdict
1,up quark (u),quark gen-1 plus,pdg,PDG u (current),2.14509,2.14509,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
2,down quark (d),quark gen-1 minus,pdg,PDG d (current),4.64769,4.64769,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
3,strange quark (s),quark gen-2 minus,pdg,PDG s (current),92.8098,92.8098,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
4,charm quark (c),quark gen-2 plus,pdg,PDG c (current),1278.05,1278.05,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
5,bottom quark (b),quark gen-3 minus,pdg,PDG b (current),4181.91,4181.91,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
6,top quark (t),quark gen-3 plus,pdg,PDG t,172542,172570,-0.0160,-0.016225,0.000225,0.500,0,PASS_ROW_LEVEL
7,electron (e),charged lepton,pdg,PDG e,0.510948,0.510999,-0.0100,-0.009980,0.000020,0.500,0,PASS_ROW_LEVEL
8,muon (mu),charged lepton,pdg,PDG mu,105.686,105.658,0.0266,0.026501,0.000099,0.500,0,PASS_ROW_LEVEL
9,tau (tau),charged lepton,pdg,PDG tau,1776.21,1776.86,-0.0364,-0.036581,0.000181,0.500,0,PASS_ROW_LEVEL
10,electron neutrino (nu_e),neutral lepton,pdg,PDG nu_e (upper),1.91971e-08,1.91971e-08,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
11,muon neutrino (nu_mu),neutral lepton,pdg,PDG nu_mu (upper),3.99058e-06,3.99058e-06,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
12,tau neutrino (nu_tau),neutral lepton,pdg,PDG nu_tau (upper),6.6345e-05,6.6345e-05,0.0000,0.000000,0.000000,0.500,0,PASS_ROW_LEVEL
13,W boson (W+/-),gauge vector boson,pdg,PDG W,80365.1,80377,-0.0148,-0.014805,0.000005,0.500,0,PASS_ROW_LEVEL
14,Z boson (Z),gauge vector boson,pdg,PDG Z,91161.5,91187.6,-0.0287,-0.028622,0.000078,0.500,0,PASS_ROW_LEVEL
15,Higgs (H),scalar boson,pdg,PDG H,125219,125250,-0.0250,-0.024750,0.000250,0.500,0,PASS_ROW_LEVEL
16,top quark (t),heavy fermion,pdg,PDG t,172542,172570,-0.0160,-0.016225,0.000225,0.500,0,PASS_ROW_LEVEL
17,proton (uud),baryon,pdg,PDG p,938.687,938.272,0.0442,0.044230,0.000030,0.500,0,PASS_ROW_LEVEL
18,neutron (udd),baryon,pdg,PDG n,940.23,939.565,0.0708,0.070777,0.000023,0.500,0,PASS_ROW_LEVEL
19,charged pion (pi+/-),meson,pdg,PDG pi+/-,139.523,139.57,-0.0341,-0.033675,0.000425,0.500,0,PASS_ROW_LEVEL
20,neutral pion (pi0),meson,pdg,PDG pi0,135.028,134.977,0.0379,0.037784,0.000116,0.500,0,PASS_ROW_LEVEL
21,charged kaon (K+/-),meson,pdg,PDG K+/-,493.763,493.677,0.0174,0.017420,0.000020,0.500,0,PASS_ROW_LEVEL
22,neutral kaon (K0),meson,pdg,PDG K0,497.34,497.611,-0.0545,-0.054460,0.000040,0.500,0,PASS_ROW_LEVEL
23,deuteron (pn),nuclear composite,pdg,PDG D,1875.58,1875.61,-0.0020,-0.001599,0.000401,0.500,0,PASS_ROW_LEVEL
24,alpha particle (ppnn),nuclear composite,pdg,PDG alpha,3725.77,3727.38,-0.0431,-0.043194,0.000094,0.500,0,PASS_ROW_LEVEL
25,"Delta (Delta++/0/-) (uuu, ...)",baryon (isoresonance),pdg,PDG Delta(1232),1231.37,1232,-0.0512,-0.051136,0.000064,0.500,0,PASS_ROW_LEVEL
26,Lambda (uds),baryon (single-heavy strange),pdg,PDG Lambda,1116.18,1115.68,0.0448,0.044816,0.000016,0.500,0,PASS_ROW_LEVEL
27,Lambda_c (udc),baryon (single-heavy charm),pdg,PDG Lambda_c,2277.37,2286.46,-0.3974,-0.397558,0.000158,0.500,0,PASS_ROW_LEVEL
28,Lambda_b (udb),baryon (single-heavy bottom),pdg,PDG Lambda_b,5617.92,5619.6,-0.0299,-0.029895,0.000005,0.500,0,PASS_ROW_LEVEL
29,D meson (cq),meson (charm),pdg,PDG D+/-,1869.21,1869.65,-0.0236,-0.023534,0.000066,0.500,0,PASS_ROW_LEVEL
30,B meson (bq),meson (bottom),pdg,PDG B+/-,5275.55,5279.34,-0.0718,-0.071789,0.000011,0.500,0,PASS_ROW_LEVEL
31,eta (548) (~d_anti_d),meson (light same-flavor),pdg,PDG eta,547.794,547.862,-0.0123,-0.012412,0.000112,0.500,0,PASS_ROW_LEVEL
32,eta prime (958) (~s_anti_s),meson (light strange),pdg,PDG eta_prime,957.732,957.78,-0.0050,-0.005012,0.000012,0.500,0,PASS_ROW_LEVEL
33,"Xi_bc^+ / Omega_bcc (1b + nc, Sigma-like)",baryon (doubly-heavy bc),lattice,lattice Xi_bc^+ / Omega_bcc,7231.37,6943,4.1534,4.153392,0.000008,5.000,0,PASS_ROW_LEVEL
34,"Xi_bc^0 / Omega_bcs (1b + nc, Lambda-like)",baryon (doubly-heavy bc),lattice,lattice Xi_bc^0 / Omega_bcs,7243.26,6970,3.9205,3.920516,0.000016,5.000,0,PASS_ROW_LEVEL
35,"Omega_bbc (2b + 1c, Lambda-like)",baryon (multi-heavy bc),lattice,lattice Omega_bbc,10029.1,10210,-1.7715,-1.771792,0.000292,5.000,0,PASS_ROW_LEVEL
