source_id,source_path,role,scope,expected_sha256_uppercase
qp091t_summary,C:/VS/quantum_phase/artifacts/qp091t/qp091t_summary.json,QP091T derivation summary,LOCAL_QP_ARTIFACT,8C9FE94DCD80D7E2B10FD8F9DBCD8C152A1FD4009A959018CB94DA84153BB3C7
qp091t_hashes,C:/VS/quantum_phase/artifacts/qp091t/HASHES.txt,QP091T full hash manifest,LOCAL_QP_ARTIFACT,EF67F4D99ED9B0001D54472C688D3DEC0371CD1F4650FA4567D7958FFCE25182
qp091t_declared_premises,C:/VS/quantum_phase/artifacts/qp091t/qp091t_declared_premises.json,QP091T declared premises,LOCAL_QP_ARTIFACT,476D96C06B64AB352C5142B075558528D5904037420A42650A6C552E9604AAD4
qp091t_source_manifest,C:/VS/quantum_phase/artifacts/qp091t/qp091t_source_manifest.csv,QP091T source manifest,LOCAL_QP_ARTIFACT,4EB79325401B7CBBAACB33BFA1F7CF7017AF61204D6D71D936181ECE2EB1E30B
qp091t_result_md,C:/VS/quantum_phase/artifacts/qp091t/QP091T_result.md,QP091T human-readable verdict,LOCAL_QP_ARTIFACT,COMPUTED_AT_RUNTIME
qp091u_summary,C:/VS/quantum_phase/artifacts/qp091u/qp091u_summary.json,QP091U freeze-and-wrong-control summary,LOCAL_QP_ARTIFACT,COMPUTED_AT_RUNTIME
qp091u_hashes,C:/VS/quantum_phase/artifacts/qp091u/HASHES.txt,QP091U full hash manifest,LOCAL_QP_ARTIFACT,9DDEFB3DC837F80A4C58E7956788B9FF846A1DFB42DDC1D04C43A0C08A05427B
qp091u_declared_premises,C:/VS/quantum_phase/artifacts/qp091u/qp091u_declared_premises.json,QP091U declared premises,LOCAL_QP_ARTIFACT,6FADDA894E00AD2BA765A0F5BCE3212FC1E7682D2A8062336808390C915EB67D
qp091u_freeze_certificate,C:/VS/quantum_phase/artifacts/qp091u/qp091u_qp091t_freeze_certificate.json,QP091T freeze certificate from QP091U,LOCAL_QP_ARTIFACT,A7EE03D2CEFD19EABFCEF0713622888EBF9BB3796AAC5C26890D69D0A0C371A3
qp091u_frozen_qp091t_manifest,C:/VS/quantum_phase/artifacts/qp091u/qp091u_frozen_qp091t_manifest.csv,frozen QP091T file manifest (11 files),LOCAL_QP_ARTIFACT,71E528CC81383276D7F459A2B1D77AF4126772B882FC124801DFF41B63BEA0B8
qp091u_wrong_controls_csv,C:/VS/quantum_phase/artifacts/qp091u/qp091u_wrong_controls.csv,seven wrong-control variants table,LOCAL_QP_ARTIFACT,COMPUTED_AT_RUNTIME
cr062_h_target_row,C:/VS/The_Courtroom/09_PARTICLE_MASS_CHAIN/CR062_ROW_BY_ROW_PARTICLE_LEDGER/CR062_row_by_row_ledger.csv,125.25 GeV reveal reference (already cited in QP091T manifest; not opened here),COURTROOM_REVEAL_REFERENCE_NOT_INPUT,E09F31D0E5AFB4A6A27372FED5DD54E612BC9292D0306221C13560DF9B6C3DA9
