candidate_id,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,q_abs,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,M_native,surface_sign,surface_depth,surface_packet_address,S_debit_or_credit,M_observed_candidate,qA_source_support,tensor_carrier_support,retained_write_support,matter_row_allowed,known_match,promotion_status,latest_table_layer,latest_boundary_subtype,latest_matter_row_allowed,latest_promotion_status,latest_override_source,courtroom_table_layer,vault_reveal_status,vault_identity,known_identity_label,known_symbol,known_name,identity_assignment_role,known_label_used_as_construction_input,vault_reveal_source
QP093A-0001,stable_matter_rows,"plus_single_write[p=1,g=0]",V4_1_SINGLE_WRITE,single_write,1,0,positive,1,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,1.25,zero_contact,route_contact,route_contact,0,1.25,1.258680555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,0.1573350694444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,1.101345486111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0001|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=0|q=positive:1,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0002,stable_matter_rows,"minus_single_write[p=1,g=0]",V4_1_SINGLE_WRITE,single_write,1,0,negative,1,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,1.5,zero_contact,route_contact,route_contact,0,1.5,1.510416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0.1888020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1.321614583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0002|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=0|q=negative:1,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0003,stable_matter_rows,"neutral_single_write[p=1,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.125,zero_contact,route_contact,route_contact,0,0.125,0.125,0.015625,0.109375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0003|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=1|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0004,stable_matter_rows,"plus_single_write[p=2,g=0]",V4_1_SINGLE_WRITE,single_write,2,0,positive,2,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,2.50,zero_contact,route_contact,route_contact,0,2.50,2.534722222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,0.3168402777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778,2.217881944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0004|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=0|q=positive:2,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0005,stable_matter_rows,"minus_single_write[p=2,g=0]",V4_1_SINGLE_WRITE,single_write,2,0,negative,2,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,3.0,zero_contact,route_contact,route_contact,0,3.0,3.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.3802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,2.661458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0005|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=0|q=negative:2,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0006,stable_matter_rows,"neutral_single_write[p=2,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,2,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.250,zero_contact,route_contact,route_contact,0,0.250,0.250,0.03125,0.21875,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0006|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=2|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0007,stable_matter_rows,"plus_single_write[p=3,g=0]",V4_1_SINGLE_WRITE,single_write,3,0,positive,3,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,3.75,zero_contact,route_contact,route_contact,0,3.75,3.828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.4785156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3.349609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0007|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=3|d=0|q=positive:3,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0008,stable_matter_rows,"minus_single_write[p=3,g=0]",V4_1_SINGLE_WRITE,single_write,3,0,negative,3,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,4.5,zero_contact,route_contact,route_contact,0,4.5,4.593749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,0.5742187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4.019531249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0008|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=3|d=0|q=negative:3,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0009,stable_matter_rows,"neutral_single_write[p=3,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,3,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.375,zero_contact,route_contact,route_contact,0,0.375,0.375,0.046875,0.328125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0009|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=3|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0010,stable_matter_rows,"plus_single_write[p=4,g=0]",V4_1_SINGLE_WRITE,single_write,4,0,positive,4,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,5.00,zero_contact,route_contact,route_contact,0,5.00,5.138888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888890,0.6423611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112,4.496527777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777779,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0010|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=4|d=0|q=positive:4,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
