phase,folder,summary_file,artifact,result_class,passed,summary_sha256
phase_1_bootstrap,qp091a,qp091a_summary.json,QP091A_PRIVATE_COURTROOM_SCALE_BRIDGE_POST_BOUNCE_ALIGNMENT,PASS_QP091A_COURTROOM_SCALE_BRIDGE_POST_BOUNCE_ALIGNMENT_MAP,True,55f6dc3fefe3c152471fbd0fe29cea80e9b3b303a9f0cf0b643a929f6e700aaf
phase_1_bootstrap_BOUNDARY,qp091b,qp091b_summary.json,QP091B_ELECTROWEAK_COUPLING_NORMALIZATION_SEARCH,BOUNDARY_QP091B_MISSING_ELECTROWEAK_NORMALIZATION_PRIMITIVE,False,7d0cc8681f2838135e1461d438a654e0159c6b777769acd686c26cd71689d296
phase_1_bootstrap_BOUNDARY,qp091c,qp091c_summary.json,QP091C_WEAK_MIXING_NEUTRAL_CURRENT_ROTATION_MAP,BOUNDARY_QP091C_MISSING_NEUTRAL_ROTATION_METRIC,False,79261edb19f9c175052d1f52c4db43ef6c7c8cd2e602344e516dac6dacdffb7e
phase_1_bootstrap,qp091d,qp091d_summary.json,QP091D_VERTEX_WEIGHT_BUILDER,PASS_QP091D_VERTEX_WEIGHT_SKELETONS_EMITTED__BOUNDARY_HGG_LANE_AND_AMPLITUDE_NORMALIZATION_OPEN,True,56f8df7f136b862a392213fd9a109ee6171f165889dac6b94ec87698cb43a62a
phase_1_bootstrap,qp091e,qp091e_summary.json,QP091E_AMPLITUDE_SKELETON_ENGINE,PASS_QP091E_AMPLITUDE_SKELETONS_EMITTED__BOUNDARY_NUMERIC_AMPLITUDES_WIDTHS_BRANCHING_OPEN,True,145748c575f8914e175fd895899be5e68593e69dee9aebc6a309e64347360990
phase_1_bootstrap,qp091f,qp091f_summary.json,QP091F_TERMINAL_PHASE_SPACE_INTEGRATOR,PASS_QP091F_PHASE_SPACE_DOMAIN_SURFACE_EMITTED__BOUNDARY_NORMALIZATION_WIDTHS_BRANCHING_OPEN,True,a6ee8c462e1e0a5654a6bd8c9fead862080df7ce30ac81d8ed40fcabcf7f8e75
phase_1_bootstrap,qp091g,qp091g_summary.json,QP091G_HZZ4L_FULL_CANDIDATE_AMPLITUDE,PASS_QP091G_HZZ4L_CANDIDATE_AMPLITUDE_MAP_EMITTED__BOUNDARY_NUMERIC_NORMALIZATION_WIDTHS_BRANCHING_OPEN,True,39d80afe9437590f4226892e098bd30c976a5e7b2c98768cb97b94313f495261
phase_1_bootstrap,qp091h,qp091h_summary.json,QP091H_PARTIAL_WIDTH_BRANCHING_LEDGER,PASS_QP091H_RELATIVE_BRANCHING_RANK_LEDGER_EMITTED__BOUNDARY_ABSOLUTE_WIDTH_OPEN,True,71c7073b8c0d5cdea893c80ea5943c06d50374343b5a9201eaad87f8d9e4b37b
phase_1_FROZEN_EW_chain,campaign08_qp091b_h_freeze,campaign08_qp091b_h_freeze_summary.json,CAMPAIGN08_QP091B_H_NATIVE_ELECTROWEAK_CHAIN_FREEZE,FROZEN_CAMPAIGN08_QP091B_H_NATIVE_ELECTROWEAK_CHAIN_PRE_REVEAL,False,b9237ea09dd625fb1d719227cc60b3933190a553f100cbe2e209fd47dcd6f969
phase_2_reveal_map,qp091i,qp091i_summary.json,QP091I_EXTERNAL_REVEAL_MAP,PASS_QP091I_EXTERNAL_REVEAL_MAP_EMITTED__PRESSURE_HZZ4L_FLAVOR_COUNT_MISMATCH__BOUNDARY_NO_RETRO_TUNING,True,f00e15ce3ddf6aa33b35e555271d4d83179fe6c541a37a07540972eae9b588cd
