row_index,candidate_id,bin,operator_class,route_combination,spin_or_hand_class,numeric_signature_key
1,QP093A-0064,unstable_resonance_rows,V4_1_SINGLE_WRITE,"plus_single_write[p=8,g=2]",fermion_half_write,unstable_resonance_rows|8|2|positive|8|plus|1440.00|zero_contact|route_contact|0|1440.00|1520.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|190.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|1330.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2,QP093A-0065,unstable_resonance_rows,V4_1_SINGLE_WRITE,"minus_single_write[p=8,g=2]",fermion_half_write,unstable_resonance_rows|8|2|negative|8|minus|1728.0|zero_contact|route_contact|0|1728.0|1824.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|228.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|1596.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
3,QP093A-0066,unstable_resonance_rows,OUTER_BINARY_NEUTRAL,"neutral_single_write[p=8,g=2]",fermion_half_write,unstable_resonance_rows|8|2|neutral|0|neutral|144.000|zero_contact|route_contact|0|144.000|144.000|18.000|126.000
4,QP093A-0067,unstable_resonance_rows,V4_1_SINGLE_WRITE,"plus_single_write[p=9,g=2]",fermion_half_write,unstable_resonance_rows|9|2|positive|9|plus|1620.00|zero_contact|route_contact|0|1620.00|1721.250000|215.156250|1506.093750
5,QP093A-0068,unstable_resonance_rows,V4_1_SINGLE_WRITE,"minus_single_write[p=9,g=2]",fermion_half_write,unstable_resonance_rows|9|2|negative|9|minus|1944.0|zero_contact|route_contact|0|1944.0|2065.50000|258.18750|1807.31250
6,QP093A-0069,unstable_resonance_rows,OUTER_BINARY_NEUTRAL,"neutral_single_write[p=9,g=2]",fermion_half_write,unstable_resonance_rows|9|2|neutral|0|neutral|162.000|zero_contact|route_contact|0|162.000|162.000|20.250|141.750
7,QP093A-0070,unstable_resonance_rows,V4_1_SINGLE_WRITE,"plus_single_write[p=12,g=2]",fermion_half_write,unstable_resonance_rows|12|2|positive|12|plus|2160.00|zero_contact|route_contact|0|2160.00|2339.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|292.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|2047.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
8,QP093A-0071,unstable_resonance_rows,V4_1_SINGLE_WRITE,"minus_single_write[p=12,g=2]",fermion_half_write,unstable_resonance_rows|12|2|negative|12|minus|2592.0|zero_contact|route_contact|0|2592.0|2807.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|350.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|2456.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
9,QP093A-0072,unstable_resonance_rows,OUTER_BINARY_NEUTRAL,"neutral_single_write[p=12,g=2]",fermion_half_write,unstable_resonance_rows|12|2|neutral|0|neutral|216.000|zero_contact|route_contact|0|216.000|216.000|27.000|189.000
10,QP093A-0073,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=1,g=0])",fermion_half_write,antimatter_conjugate_rows|1|0|negative|1|conjugate_axis|1.25|negative_credit|depth=0|-0.1041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|1.354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|1.363570601851851851851851851851851851851851851851851851851851851851851851851851851851851851851851852|0.1704463252314814814814814814814814814814814814814814814814814814814814814814814814814814814814814815|1.193124276620370370370370370370370370370370370370370370370370370370370370370370370370370370370370370
11,QP093A-0074,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=1,g=0])",fermion_half_write,antimatter_conjugate_rows|1|0|positive|1|conjugate_axis|1.5|positive_debit|depth=0|0.1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1.375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1.384548611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110|0.1730685763888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888|1.211480034722222222222222222222222222222222222222222222222222222222222222222222222222222222222222221
