candidate_id,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,q_abs,native_charge_axis,spin_or_hand_class,closure_status,stability_status,M_native,surface_sign,surface_depth,surface_packet_address,S_debit_or_credit,M_observed_candidate,qA_source_support,tensor_carrier_support,retained_write_support,matter_row_allowed,latest_matter_row_allowed,promotion_status,latest_promotion_status,latest_boundary_subtype,latest_override_source,vault_identity,known_identity_label,identity_assignment_role,known_label_used_as_construction_input,matter_gate_reason,complement_role,in_matter_table,periodic_layer_relation,numeric_duplicate_class
QP093A-0064,unstable_resonance_rows,"plus_single_write[p=8,g=2]",V4_1_SINGLE_WRITE,single_write,8,2,positive,8,plus,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1440.00,zero_contact,route_contact,route_contact,0,1440.00,1520.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,190.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,1330.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0064|unstable_resonance_rows|V4_1_SINGLE_WRITE|single_write|p=8|d=2|q=positive:8,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0065,unstable_resonance_rows,"minus_single_write[p=8,g=2]",V4_1_SINGLE_WRITE,single_write,8,2,negative,8,minus,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1728.0,zero_contact,route_contact,route_contact,0,1728.0,1824.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,228.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,1596.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0065|unstable_resonance_rows|V4_1_SINGLE_WRITE|single_write|p=8|d=2|q=negative:8,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0066,unstable_resonance_rows,"neutral_single_write[p=8,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,8,2,neutral,0,neutral,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,144.000,zero_contact,route_contact,route_contact,0,144.000,144.000,18.000,126.000,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0066|unstable_resonance_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=8|d=2|q=neutral:0,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0067,unstable_resonance_rows,"plus_single_write[p=9,g=2]",V4_1_SINGLE_WRITE,single_write,9,2,positive,9,plus,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1620.00,zero_contact,route_contact,route_contact,0,1620.00,1721.250000,215.156250,1506.093750,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0067|unstable_resonance_rows|V4_1_SINGLE_WRITE|single_write|p=9|d=2|q=positive:9,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0068,unstable_resonance_rows,"minus_single_write[p=9,g=2]",V4_1_SINGLE_WRITE,single_write,9,2,negative,9,minus,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1944.0,zero_contact,route_contact,route_contact,0,1944.0,2065.50000,258.18750,1807.31250,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0068|unstable_resonance_rows|V4_1_SINGLE_WRITE|single_write|p=9|d=2|q=negative:9,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0069,unstable_resonance_rows,"neutral_single_write[p=9,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,2,neutral,0,neutral,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,162.000,zero_contact,route_contact,route_contact,0,162.000,162.000,20.250,141.750,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0069|unstable_resonance_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=9|d=2|q=neutral:0,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0070,unstable_resonance_rows,"plus_single_write[p=12,g=2]",V4_1_SINGLE_WRITE,single_write,12,2,positive,12,plus,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,2160.00,zero_contact,route_contact,route_contact,0,2160.00,2339.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,292.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2047.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0070|unstable_resonance_rows|V4_1_SINGLE_WRITE|single_write|p=12|d=2|q=positive:12,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0071,unstable_resonance_rows,"minus_single_write[p=12,g=2]",V4_1_SINGLE_WRITE,single_write,12,2,negative,12,minus,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,2592.0,zero_contact,route_contact,route_contact,0,2592.0,2807.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,350.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2456.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0071|unstable_resonance_rows|V4_1_SINGLE_WRITE|single_write|p=12|d=2|q=negative:12,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0072,unstable_resonance_rows,"neutral_single_write[p=12,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,2,neutral,0,neutral,fermion_half_write,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,216.000,zero_contact,route_contact,route_contact,0,216.000,216.000,27.000,189.000,yes,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0072|unstable_resonance_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=12|d=2|q=neutral:0,,native_identity_no_external_label,no,REJECT_STABILITY_SELECTOR_OPEN_OR_HEAVY,UNSTABLE_RESONANCE_COMPLEMENT,no,separate_element_family_layer,none
QP093A-0073,antimatter_conjugate_rows,"anti(plus_single_write[p=1,g=0])",V4_1_SINGLE_WRITE,conjugate_single_write,1,0,negative,1,conjugate_axis,fermion_half_write,CLOSED_CONJUGATE_WRITE,ANTIMATTER_STABLE_CONJUGATE,1.25,negative_credit,depth=0,V4_1_SINGLE_WRITE|depth=0|q_abs=1,-0.1041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1.354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1.363570601851851851851851851851851851851851851851851851851851851851851851851851851851851851851851852,0.1704463252314814814814814814814814814814814814814814814814814814814814814814814814814814814814814815,1.193124276620370370370370370370370370370370370370370370370370370370370370370370370370370370370370370,yes,yes,ANTIMATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,ANTIMATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,,QP093A,QP093A-0073|antimatter_conjugate_rows|V4_1_SINGLE_WRITE|conjugate_single_write|p=1|d=0|q=negative:1,,native_identity_no_external_label,no,REJECT_BIN_antimatter_conjugate_rows,ANTIMATTER_CONJUGATE_COMPLEMENT,no,separate_element_family_layer,none
