check_name,passed,expected,observed
all_inputs_verified,True,True,True
carrier_count_after_dedup_is_5,True,True,True
hidden_source_count_is_8,True,True,True
carrier_block_per_row_match,True,True,True
"hidden_p_set_matches_{1,2,3,4,6,8,9,12}",True,True,True
hidden_per_row_lift_match,True,True,True
carrier_partition_sum_excl_graviton_eq_99,True,99,99
carrier_partition_sum_incl_graviton_eq_117,True,117,117
hidden_partition_sum_eq_45,True,45,45
total_partition_eq_162,True,162,162
carrier_mass_sum_incl_graviton_eq_116,True,116,116
hidden_mass_sum_eq_45_plus_355_over_144,True,6835/144,6835/144
total_mass_eq_162_plus_211_over_144,True,23539/144,23539/144
99_plus_45_eq_R_squared_144,True,144,144
graviton_over_R_squared_eq_1_over_8,True,1/8,1/8
graviton_over_R_squared_eq_2_to_minus_D,True,1/8,1/8
total_partition_over_R_squared_eq_9_over_8,True,9/8,9/8
one_plus_2_to_minus_D_eq_9_over_8_at_D3,True,9/8,9/8
D_squared_over_2_to_D_eq_9_over_8_at_D3,True,9/8,9/8
sum_p_squared_hidden_eq_355,True,355,355
sum_p_squared_hidden_sub_R_eq_211,True,211,211
mass_excess_over_partition_eq_211_over_144,True,211/144,211/144
photon_falsifier_partition_eq_1,True,True,True
photon_falsifier_M_native_eq_0,True,True,True
photon_falsifier_carrier_partition_minus_mass_eq_1,True,True,True
