a_exponent_alpha_H,b_exponent_D,p_value,p_form,lift_p_squared_over_R_squared,lift_as_decimal,in_main_rule_p_le_R,in_WC1_p_le_R_squared,in_WC3_strict_p_lt_R,in_observed_hidden_source_set
0,0,1,2^0 * 3^0,1/144,0.0069444444,True,True,True,True
1,0,2,2^1 * 3^0,1/36,0.0277777778,True,True,True,True
0,1,3,2^0 * 3^1,1/16,0.0625000000,True,True,True,True
2,0,4,2^2 * 3^0,1/9,0.1111111111,True,True,True,True
1,1,6,2^1 * 3^1,1/4,0.2500000000,True,True,True,True
3,0,8,2^3 * 3^0,4/9,0.4444444444,True,True,True,True
0,2,9,2^0 * 3^2,9/16,0.5625000000,True,True,True,True
2,1,12,2^2 * 3^1,1,1.0000000000,True,True,False,True
4,0,16,2^4 * 3^0,16/9,1.7777777778,False,True,False,False
1,2,18,2^1 * 3^2,9/4,2.2500000000,False,True,False,False
3,1,24,2^3 * 3^1,4,4.0000000000,False,True,False,False
0,3,27,2^0 * 3^3,81/16,5.0625000000,False,True,False,False
5,0,32,2^5 * 3^0,64/9,7.1111111111,False,True,False,False
2,2,36,2^2 * 3^2,9,9.0000000000,False,True,False,False
4,1,48,2^4 * 3^1,16,16.0000000000,False,True,False,False
1,3,54,2^1 * 3^3,81/4,20.2500000000,False,True,False,False
6,0,64,2^6 * 3^0,256/9,28.4444444444,False,True,False,False
3,2,72,2^3 * 3^2,36,36.0000000000,False,True,False,False
0,4,81,2^0 * 3^4,729/16,45.5625000000,False,True,False,False
5,1,96,2^5 * 3^1,64,64.0000000000,False,True,False,False
2,3,108,2^2 * 3^3,81,81.0000000000,False,True,False,False
7,0,128,2^7 * 3^0,1024/9,113.7777777778,False,True,False,False
4,2,144,2^4 * 3^2,144,144.0000000000,False,True,False,False
