source,exists,bytes,sha256,role
09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_courtroom_periodic_table.csv,True,104295,78c410ec3364845bb9ebd22e33a1e0bf6c9833dd1323d6f2df27f9f49c49d53a,locked_126_native_element_family_surface
09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_courtroom_matter_table.csv,True,121192,e3e48eba9aa81b11447cb76720912a7ed92c7e13844dfab7f94a2e66a79b7b0d,locked_126_matter_rows_for_component_selection
09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_summary.json,True,2170,1eb2ba0c12d2079fc395cfa28e41693e9525af3cd394f8c9caa0f4393e0bcb53,CR119 result summary
09a_PARTICLE_MASS_CHAIN/CR219_PROMOTED_PARTICLE_ROWS_EXPORT/roworderv1.md,True,7458,8c5cca1b5194faee1fc700b0e166a97992bb3b814ee704806038ab877e4278d8,row-order skeleton note
09a_PARTICLE_MASS_CHAIN/CR218_HIDDEN_SOURCE_BIGRADE_DERIVATION/CR218_result.md,True,7518,c2552aa075ba989e0c6c30c658aa109ab005aed0df9cbf419de71779fbe8bf6e,hidden-source bigrade derivation
17_DISCOVERY_INTAKE/CR211_HH001_CONTENT_VERIFICATION_AGAINST_COURTROOM_DATA/CR211_result.md,True,1969,d22431f396da0130ebddb9d9f3b39b17deb775da96c4c9b8e88cb30daee000e1,HH001 verification and reference-column boundary
17_DISCOVERY_INTAKE/CR211_HH001_CONTENT_VERIFICATION_AGAINST_COURTROOM_DATA/source_copies/HH001_build_sis_table.py,True,11941,000fe6593068dc944181dd4824773a96feb66ddf9a3ae885e2114f2e55039b20,HH001 reference CLOCK rule source copy
C:\VS\quantum_phase\src\qp094a_element_isotope_closure_generator.py,True,41584,5aec49033ba7990070da1c043af123838fdebd24ef7049b7381092d73a4572dd,QP094A generator source for formulas
C:\VS\quantum_phase\artifacts\qp094a_element_isotope_closure_generator\qp094a_summary.json,True,3002,7810b6be1cf70382e2a7c9ad9b3eeb6d464c8143157f2dcf31603cfc5d5bd6b5,QP094A summary constants and counts
C:\VS\quantum_phase\artifacts\qp094a_element_isotope_closure_generator\qp094a_component_selector.csv,True,1467,060adff91c3f7d448826191beb067803423adea7e1ab268b8c9e58ff6fd6d3ae,QP094A component selector comparator
