selector_id,selector_column,description,input_class,predicted_stable_count_all_126,predicted_stable_count_known_118,scored_rows,reference_target,true_positive_stable,false_positive_radioactive,false_negative_stable,true_negative_radioactive,accuracy,precision,recall,false_positive_Z,false_negative_Z,boundary_note
S0_ALL_NATIVE_ELEMENT_FAMILY,selector_all_native_126,All 126 rows generated by native element-family capacity,SAM_NATIVE_CAPACITY_AND_CLOSURE,126,118,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,81,37,0,0,0.686441,0.686441,1.000000,43;61;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118,,"CLOCK is a reference comparator, not a construction input"
S1_KNOWN_Z_118_BOUNDARY,selector_known_z_118,"Known-Z boundary, included as a non-native downstream comparison",DOWNSTREAM_BOUNDARY_COMPARATOR,118,118,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,81,37,0,0,0.686441,0.686441,1.000000,43;61;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118,,"CLOCK is a reference comparator, not a construction input"
S2_Z_LE_83_COUNT_THRESHOLD,selector_z_le_83_count_threshold,Particle-count threshold: Z/proton/electron count <= 83,COUNT_ONLY_THRESHOLD_SEARCH,83,83,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,81,2,0,35,0.983051,0.975904,1.000000,43;61,,"CLOCK is a reference comparator, not a construction input"
S3_Z_LE_83_WITH_REFERENCE_HOLES_REMOVED,selector_z_le_83_reference_holes_removed,Z <= 83 with Tc/Pm holes removed; perfect comparator but reference-patched,REFERENCE_PATCHED_NOT_SAM_NATIVE,81,81,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,81,0,0,37,1.000000,1.000000,1.000000,,,"CLOCK is a reference comparator, not a construction input"
S4_QP094A_STABLE_ANCHOR,selector_qp094a_stable_anchor,QP094A residual-twelfths stable anchor lane,SAM_NATIVE_ISOTOPE_LADDER_SELECTOR,30,30,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,28,2,53,35,0.533898,0.933333,0.345679,84;96,13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;31;32;33;34;35;37;38;39;41;42;45;46;47;49;50;52;53;55;56;58;59;62;63;64;65;66;67;68;69;70;71;73;75;77;79;81;83,"CLOCK is a reference comparator, not a construction input"
S5_QP094A_ANCHOR_OR_HALF,selector_qp094a_anchor_or_half,QP094A stable anchor plus half-write bound lane,SAM_NATIVE_ISOTOPE_LADDER_SELECTOR,44,44,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,41,3,40,34,0.635593,0.931818,0.506173,84;90;96,13;14;15;16;17;19;20;21;22;23;25;26;28;29;31;32;34;35;37;39;41;45;47;49;50;52;53;55;56;58;59;62;63;64;65;67;68;69;70;71,"CLOCK is a reference comparator, not a construction input"
S6_CLOSED_SHELL,selector_closed_shell,Closed electron shell only,SAM_NATIVE_SHELL_SELECTOR,8,7,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,4,3,77,34,0.322034,0.571429,0.049383,92;110;118,1;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83,"CLOCK is a reference comparator, not a construction input"
S7_ROWORDER_SKELETON_SLOT,selector_roworder_skeleton_slot,"Radix slot in roworder skeleton {1,2,3,4,6,8,9,12}",SAM_NATIVE_ROWORDER_SELECTOR,85,79,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,54,25,27,12,0.559322,0.683544,0.666667,61;84;85;86;87;88;90;92;93;96;97;98;99;100;102;104;105;108;109;110;111;112;114;116;117,5;7;10;11;17;19;22;23;29;31;34;35;41;46;47;53;55;58;59;65;67;70;71;77;79;82;83,"CLOCK is a reference comparator, not a construction input"
S8_ROWORDER_SKELETON_OR_CLOSED_SHELL,selector_roworder_skeleton_or_closed_shell,Roworder skeleton slot or closed shell,SAM_NATIVE_ROWORDER_AND_SHELL_SELECTOR,87,81,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,55,26,26,11,0.559322,0.679012,0.679012,61;84;85;86;87;88;90;92;93;96;97;98;99;100;102;104;105;108;109;110;111;112;114;116;117;118,5;7;11;17;19;22;23;29;31;34;35;41;46;47;53;55;58;59;65;67;70;71;77;79;82;83,"CLOCK is a reference comparator, not a construction input"
S9_ROWORDER_SKELETON_AND_Z_LE_83,selector_roworder_skeleton_and_z_le_83,Roworder skeleton inside the Z<=83 count threshold,MIXED_NATIVE_AND_COUNT_THRESHOLD,55,55,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,54,1,27,36,0.762712,0.981818,0.666667,61,5;7;10;11;17;19;22;23;29;31;34;35;41;46;47;53;55;58;59;65;67;70;71;77;79;82;83,"CLOCK is a reference comparator, not a construction input"
S10_DOWNSTREAM_NATURAL_SURFACE,selector_downstream_natural_surface,CR119 natural-surface downstream status,DOWNSTREAM_STATUS_COMPARATOR,80,80,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,80,0,1,37,0.991525,1.000000,0.987654,,83,"CLOCK is a reference comparator, not a construction input"
