element_closure_id,CR119_element_closure_id,Z,N,A,proton_count,neutron_count_primary,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,native_element_capacity,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,selected_depth_index,residual_twelfths,primary_ladder_role,native_primary_isotope_status,GR_qA_total_computed,G_tensor_computed,retained_7G_computed,CR119_qA_total_primary,CR119_tensor_carrier_support_primary,CR119_retained_write_support_primary,GR_matches_CR119_qA,G_matches_CR119_tensor,retained_matches_CR119,natural_synthetic_boundary_status,CR119_natural_synthetic_boundary_status,reference_clock,known_symbol_downstream,known_name_downstream,known_label_used_as_construction_input,selector_all_native_126,selector_known_z_118,selector_z_le_83_count_threshold,selector_z_le_83_reference_holes_removed,selector_qp094a_stable_anchor,selector_qp094a_anchor_or_half,selector_closed_shell,selector_roworder_skeleton_slot,selector_roworder_skeleton_or_closed_shell,selector_roworder_skeleton_and_z_le_83,selector_downstream_natural_surface,construction_note
CR220-EZ001,QP094A-EZ001,1,1,2,1,1,1,3,3,3,1,1p+1n+1e,3u+3d+1e,126,1,1,1,2,1,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,H,Hydrogen,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ002,QP094A-EZ002,2,2,4,2,2,2,6,6,6,2,2p+2n+2e,6u+6d+2e,126,1,2,1,2,2,CLOSED_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,129.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,129.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,He,Helium,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ003,QP094A-EZ003,3,3,6,3,3,3,9,9,9,3,3p+3n+3e,9u+9d+3e,126,1,3,2,8,1,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.6054687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.6054687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,Li,Lithium,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ004,QP094A-EZ004,4,4,8,4,4,4,12,12,12,4,4p+4n+4e,12u+12d+4e,126,1,4,2,8,2,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,259.4739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,259.4739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,Be,Beryllium,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ005,QP094A-EZ005,5,5,10,5,5,5,15,15,15,5,5p+5n+5e,15u+15d+5e,126,1,5,2,8,3,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,324.3424479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,324.3424479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,B,Boron,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ006,QP094A-EZ006,6,6,12,6,6,6,18,18,18,6,6p+6n+6e,18u+18d+6e,126,1,6,2,8,4,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,389.2109374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,389.2109374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,C,Carbon,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ007,QP094A-EZ007,7,7,14,7,7,7,21,21,21,7,7p+7n+7e,21u+21d+7e,126,1,7,2,8,5,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,454.0794270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,454.0794270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,N,Nitrogen,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ008,QP094A-EZ008,8,8,16,8,8,8,24,24,24,8,8p+8n+8e,24u+24d+8e,126,1,8,2,8,6,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,O,Oxygen,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ009,QP094A-EZ009,9,9,18,9,9,9,27,27,27,9,9p+9n+9e,27u+27d+9e,126,1,9,2,8,7,OPEN_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,583.8164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,583.8164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,F,Fluorine,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
CR220-EZ010,QP094A-EZ010,10,10,20,10,10,10,30,30,30,10,10p+10n+10e,30u+30d+10e,126,1,10,2,8,8,CLOSED_SHELL,0,0,FLOOR_PRIMARY,STABLE_ANCHOR_ISOTOPE_CLOSURE,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,648.6848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,648.6848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,yes,yes,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable,Ne,Neon,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,P-centered simulation row; CLOCK and known labels are scoring/reference only
