isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,native_isotope_status,M_native_total_computed,M_observed_total_computed,GR_qA_total_computed,G_tensor_computed,retained_7G_computed,natural_synthetic_boundary_status,reference_clock
CR220-IZ001N001-FLOOR_PRIMARY,CR220-EZ001,1,1,2,1,1,1,3,3,3,1,1p+1n+1e,3u+3d+1e,1,1,1,2,1,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,109.625,73.62500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ002N002-FLOOR_PRIMARY,CR220-EZ002,2,2,4,2,2,2,6,6,6,2,2p+2n+2e,6u+6d+2e,1,2,1,2,2,CLOSED_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,219.250,147.2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,129.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ003N003-FLOOR_PRIMARY,CR220-EZ003,3,3,6,3,3,3,9,9,9,3,3p+3n+3e,9u+9d+3e,1,3,2,8,1,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,328.875,220.8750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.6054687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ004N004-FLOOR_PRIMARY,CR220-EZ004,4,4,8,4,4,4,12,12,12,4,4p+4n+4e,12u+12d+4e,1,4,2,8,2,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,438.500,294.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,259.4739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ005N005-FLOOR_PRIMARY,CR220-EZ005,5,5,10,5,5,5,15,15,15,5,5p+5n+5e,15u+15d+5e,1,5,2,8,3,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,548.125,368.1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,324.3424479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ006N006-FLOOR_PRIMARY,CR220-EZ006,6,6,12,6,6,6,18,18,18,6,6p+6n+6e,18u+18d+6e,1,6,2,8,4,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,657.750,441.7500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,389.2109374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ007N007-FLOOR_PRIMARY,CR220-EZ007,7,7,14,7,7,7,21,21,21,7,7p+7n+7e,21u+21d+7e,1,7,2,8,5,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,767.375,515.3750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,454.0794270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ008N008-FLOOR_PRIMARY,CR220-EZ008,8,8,16,8,8,8,24,24,24,8,8p+8n+8e,24u+24d+8e,1,8,2,8,6,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,877.000,589.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ009N009-FLOOR_PRIMARY,CR220-EZ009,9,9,18,9,9,9,27,27,27,9,9p+9n+9e,27u+27d+9e,1,9,2,8,7,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,986.625,662.6250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,583.8164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ010N010-FLOOR_PRIMARY,CR220-EZ010,10,10,20,10,10,10,30,30,30,10,10p+10n+10e,30u+30d+10e,1,10,2,8,8,CLOSED_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,1096.250,736.2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,648.6848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
