Z,N,A,P_address,G_CR220,GR_CR220,kappa_floor_fraction,kappa_floor_decimal,neutron_excess_N_minus_Z,neutron_excess_term_fraction,neutron_excess_term_decimal,G_from_Z_kappa_floor_plus_excess_fraction,G_from_Z_kappa_floor_plus_excess_decimal,GR_from_formula_fraction,GR_from_formula_decimal,kappa_effective_fraction,kappa_effective_decimal,kappa_delta_from_floor_fraction,kappa_delta_from_floor_decimal,formula_matches_G,formula_matches_GR,kappa_eff_matches_G_over_Z,kappa_kind
1,1,2,1p+1n+1e,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/96,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
2,2,4,2p+2n+2e,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/384,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/48,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
3,3,6,3p+3n+3e,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/256,27.80078125,7117/32,222.40625,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
4,4,8,4p+4n+4e,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/192,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/24,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
5,5,10,5p+5n+5e,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,35585/768,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,35585/96,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
6,6,12,6p+6n+6e,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/128,55.6015625,7117/16,444.8125,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
7,7,14,7p+7n+7e,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,49819/768,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49819/96,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
8,8,16,8p+8n+8e,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/96,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/12,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
9,9,18,9p+9n+9e,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,21351/256,83.40234375,21351/32,667.21875,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
10,10,20,10p+10n+10e,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,35585/384,92.66927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,35585/48,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
11,11,22,11p+11n+11e,101.9361979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,815.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,78287/768,101.9361979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,78287/96,815.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
12,12,24,12p+12n+12e,111.2031250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,889.6249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,0,7117/64,111.203125,7117/8,889.625,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,True,True,True,floor_constant
13,14,27,13p+14n+13e,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,92533/768,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92533/96,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,92533/9984,9.268129006410256410256410256410256410256410256410256410256410256410256410256410256410256410256410256,1/832,0.001201923076923076923076923076923076923076923076923076923076923076923076923076923076923076923076923077,True,True,True,effective_element_quotient
14,15,29,14p+15n+14e,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,49825/384,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49825/48,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49825/5376,9.268043154761904761904761904761904761904761904761904761904761904761904761904761904761904761904761905,1/896,0.001116071428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571429,True,True,True,effective_element_quotient
15,16,31,15p+16n+15e,139.019531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1112.156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,35589/256,139.01953125,35589/32,1112.15625,11863/1280,9.26796875,1/960,0.001041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,True,True,effective_element_quotient
16,17,33,16p+17n+16e,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,28471/192,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,28471/24,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,28471/3072,9.267903645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/1024,0.0009765625,True,True,True,effective_element_quotient
17,18,35,17p+18n+17e,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,121001/768,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,121001/96,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,121001/13056,9.267846200980392156862745098039215686274509803921568627450980392156862745098039215686274509803921569,1/1088,0.0009191176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941,True,True,True,effective_element_quotient
