isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_n,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,constant_native_lane,G_fraction,G_decimal,GR_fraction,GR_decimal,retained_7G_fraction,retained_7G_decimal,construction_source
CR222-IZ001N001-FLOOR_PRIMARY,CR222-EZ001,1,1,2,1,1,1,3,3,3,1,1p+1n+1e,3u+3d+1e,1,1,1,1,2,1,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/96,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49819/768,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ002N002-FLOOR_PRIMARY,CR222-EZ002,2,2,4,2,2,2,6,6,6,2,2p+2n+2e,6u+6d+2e,1,2,1,1,2,2,CLOSED_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/384,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/48,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49819/384,129.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ003N003-FLOOR_PRIMARY,CR222-EZ003,3,3,6,3,3,3,9,9,9,3,3p+3n+3e,9u+9d+3e,1,3,2,2,8,1,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/256,27.80078125,7117/32,222.40625,49819/256,194.60546875,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ004N004-FLOOR_PRIMARY,CR222-EZ004,4,4,8,4,4,4,12,12,12,4,4p+4n+4e,12u+12d+4e,1,4,2,2,8,2,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/192,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/24,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49819/192,259.4739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ005N005-FLOOR_PRIMARY,CR222-EZ005,5,5,10,5,5,5,15,15,15,5,5p+5n+5e,15u+15d+5e,1,5,2,2,8,3,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,35585/768,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,35585/96,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,249095/768,324.3424479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ006N006-FLOOR_PRIMARY,CR222-EZ006,6,6,12,6,6,6,18,18,18,6,6p+6n+6e,18u+18d+6e,1,6,2,2,8,4,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/128,55.6015625,7117/16,444.8125,49819/128,389.2109375,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ007N007-FLOOR_PRIMARY,CR222-EZ007,7,7,14,7,7,7,21,21,21,7,7p+7n+7e,21u+21d+7e,1,7,2,2,8,5,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,49819/768,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49819/96,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,348733/768,454.0794270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ008N008-FLOOR_PRIMARY,CR222-EZ008,8,8,16,8,8,8,24,24,24,8,8p+8n+8e,24u+24d+8e,1,8,2,2,8,6,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/96,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7117/12,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49819/96,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ009N009-FLOOR_PRIMARY,CR222-EZ009,9,9,18,9,9,9,27,27,27,9,9p+9n+9e,27u+27d+9e,1,9,2,2,8,7,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,21351/256,83.40234375,21351/32,667.21875,149457/256,583.81640625,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ010N010-FLOOR_PRIMARY,CR222-EZ010,10,10,20,10,10,10,30,30,30,10,10p+10n+10e,30u+30d+10e,1,10,2,2,8,8,CLOSED_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,35585/384,92.66927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,35585/48,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,249095/384,648.6848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
