Z,generated_element_closure_id,cr220_element_closure_id,cr119_element_closure_id,all_compared_fields_match,failed_fields,G_generated,G_CR220,G_CR119,GR_generated,GR_CR220,GR_CR119,construction_role
1,CR222-EZ001,CR220-EZ001,QP094A-EZ001,True,,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,generated_first_from_constants_then_compared
2,CR222-EZ002,CR220-EZ002,QP094A-EZ002,True,,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,generated_first_from_constants_then_compared
3,CR222-EZ003,CR220-EZ003,QP094A-EZ003,True,,27.80078125,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,222.40625,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,generated_first_from_constants_then_compared
4,CR222-EZ004,CR220-EZ004,QP094A-EZ004,True,,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,generated_first_from_constants_then_compared
5,CR222-EZ005,CR220-EZ005,QP094A-EZ005,True,,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
6,CR222-EZ006,CR220-EZ006,QP094A-EZ006,True,,55.6015625,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,444.8125,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
7,CR222-EZ007,CR220-EZ007,QP094A-EZ007,True,,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
8,CR222-EZ008,CR220-EZ008,QP094A-EZ008,True,,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
9,CR222-EZ009,CR220-EZ009,QP094A-EZ009,True,,83.40234375,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,667.21875,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
10,CR222-EZ010,CR220-EZ010,QP094A-EZ010,True,,92.66927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,generated_first_from_constants_then_compared
