Z,sob_id,cr222_element_closure_id,all_compared_fields_match,failed_fields,construction_role
1,SOB1,CR222-EZ001,True,,CR224_generated_first_from_constants_then_compared_to_CR222
2,SOB2,CR222-EZ002,True,,CR224_generated_first_from_constants_then_compared_to_CR222
3,SOB3,CR222-EZ003,True,,CR224_generated_first_from_constants_then_compared_to_CR222
4,SOB4,CR222-EZ004,True,,CR224_generated_first_from_constants_then_compared_to_CR222
5,SOB5,CR222-EZ005,True,,CR224_generated_first_from_constants_then_compared_to_CR222
6,SOB6,CR222-EZ006,True,,CR224_generated_first_from_constants_then_compared_to_CR222
7,SOB7,CR222-EZ007,True,,CR224_generated_first_from_constants_then_compared_to_CR222
8,SOB8,CR222-EZ008,True,,CR224_generated_first_from_constants_then_compared_to_CR222
9,SOB9,CR222-EZ009,True,,CR224_generated_first_from_constants_then_compared_to_CR222
10,SOB10,CR222-EZ010,True,,CR224_generated_first_from_constants_then_compared_to_CR222
11,SOB11,CR222-EZ011,True,,CR224_generated_first_from_constants_then_compared_to_CR222
12,SOB12,CR222-EZ012,True,,CR224_generated_first_from_constants_then_compared_to_CR222
13,SOB13,CR222-EZ013,True,,CR224_generated_first_from_constants_then_compared_to_CR222
14,SOB14,CR222-EZ014,True,,CR224_generated_first_from_constants_then_compared_to_CR222
15,SOB15,CR222-EZ015,True,,CR224_generated_first_from_constants_then_compared_to_CR222
16,SOB16,CR222-EZ016,True,,CR224_generated_first_from_constants_then_compared_to_CR222
17,SOB17,CR222-EZ017,True,,CR224_generated_first_from_constants_then_compared_to_CR222
18,SOB18,CR222-EZ018,True,,CR224_generated_first_from_constants_then_compared_to_CR222
19,SOB19,CR222-EZ019,True,,CR224_generated_first_from_constants_then_compared_to_CR222
20,SOB20,CR222-EZ020,True,,CR224_generated_first_from_constants_then_compared_to_CR222
21,SOB21,CR222-EZ021,True,,CR224_generated_first_from_constants_then_compared_to_CR222
22,SOB22,CR222-EZ022,True,,CR224_generated_first_from_constants_then_compared_to_CR222
23,SOB23,CR222-EZ023,True,,CR224_generated_first_from_constants_then_compared_to_CR222
24,SOB24,CR222-EZ024,True,,CR224_generated_first_from_constants_then_compared_to_CR222
25,SOB25,CR222-EZ025,True,,CR224_generated_first_from_constants_then_compared_to_CR222
26,SOB26,CR222-EZ026,True,,CR224_generated_first_from_constants_then_compared_to_CR222
27,SOB27,CR222-EZ027,True,,CR224_generated_first_from_constants_then_compared_to_CR222
28,SOB28,CR222-EZ028,True,,CR224_generated_first_from_constants_then_compared_to_CR222
29,SOB29,CR222-EZ029,True,,CR224_generated_first_from_constants_then_compared_to_CR222
30,SOB30,CR222-EZ030,True,,CR224_generated_first_from_constants_then_compared_to_CR222
31,SOB31,CR222-EZ031,True,,CR224_generated_first_from_constants_then_compared_to_CR222
32,SOB32,CR222-EZ032,True,,CR224_generated_first_from_constants_then_compared_to_CR222
33,SOB33,CR222-EZ033,True,,CR224_generated_first_from_constants_then_compared_to_CR222
34,SOB34,CR222-EZ034,True,,CR224_generated_first_from_constants_then_compared_to_CR222
35,SOB35,CR222-EZ035,True,,CR224_generated_first_from_constants_then_compared_to_CR222
36,SOB36,CR222-EZ036,True,,CR224_generated_first_from_constants_then_compared_to_CR222
37,SOB37,CR222-EZ037,True,,CR224_generated_first_from_constants_then_compared_to_CR222
38,SOB38,CR222-EZ038,True,,CR224_generated_first_from_constants_then_compared_to_CR222
39,SOB39,CR222-EZ039,True,,CR224_generated_first_from_constants_then_compared_to_CR222
40,SOB40,CR222-EZ040,True,,CR224_generated_first_from_constants_then_compared_to_CR222
41,SOB41,CR222-EZ041,True,,CR224_generated_first_from_constants_then_compared_to_CR222
42,SOB42,CR222-EZ042,True,,CR224_generated_first_from_constants_then_compared_to_CR222
43,SOB43,CR222-EZ043,True,,CR224_generated_first_from_constants_then_compared_to_CR222
44,SOB44,CR222-EZ044,True,,CR224_generated_first_from_constants_then_compared_to_CR222
45,SOB45,CR222-EZ045,True,,CR224_generated_first_from_constants_then_compared_to_CR222
46,SOB46,CR222-EZ046,True,,CR224_generated_first_from_constants_then_compared_to_CR222
47,SOB47,CR222-EZ047,True,,CR224_generated_first_from_constants_then_compared_to_CR222
48,SOB48,CR222-EZ048,True,,CR224_generated_first_from_constants_then_compared_to_CR222
49,SOB49,CR222-EZ049,True,,CR224_generated_first_from_constants_then_compared_to_CR222
50,SOB50,CR222-EZ050,True,,CR224_generated_first_from_constants_then_compared_to_CR222
51,SOB51,CR222-EZ051,True,,CR224_generated_first_from_constants_then_compared_to_CR222
52,SOB52,CR222-EZ052,True,,CR224_generated_first_from_constants_then_compared_to_CR222
53,SOB53,CR222-EZ053,True,,CR224_generated_first_from_constants_then_compared_to_CR222
54,SOB54,CR222-EZ054,True,,CR224_generated_first_from_constants_then_compared_to_CR222
55,SOB55,CR222-EZ055,True,,CR224_generated_first_from_constants_then_compared_to_CR222
56,SOB56,CR222-EZ056,True,,CR224_generated_first_from_constants_then_compared_to_CR222
57,SOB57,CR222-EZ057,True,,CR224_generated_first_from_constants_then_compared_to_CR222
58,SOB58,CR222-EZ058,True,,CR224_generated_first_from_constants_then_compared_to_CR222
59,SOB59,CR222-EZ059,True,,CR224_generated_first_from_constants_then_compared_to_CR222
60,SOB60,CR222-EZ060,True,,CR224_generated_first_from_constants_then_compared_to_CR222
61,SOB61,CR222-EZ061,True,,CR224_generated_first_from_constants_then_compared_to_CR222
62,SOB62,CR222-EZ062,True,,CR224_generated_first_from_constants_then_compared_to_CR222
63,SOB63,CR222-EZ063,True,,CR224_generated_first_from_constants_then_compared_to_CR222
64,SOB64,CR222-EZ064,True,,CR224_generated_first_from_constants_then_compared_to_CR222
65,SOB65,CR222-EZ065,True,,CR224_generated_first_from_constants_then_compared_to_CR222
66,SOB66,CR222-EZ066,True,,CR224_generated_first_from_constants_then_compared_to_CR222
67,SOB67,CR222-EZ067,True,,CR224_generated_first_from_constants_then_compared_to_CR222
68,SOB68,CR222-EZ068,True,,CR224_generated_first_from_constants_then_compared_to_CR222
69,SOB69,CR222-EZ069,True,,CR224_generated_first_from_constants_then_compared_to_CR222
