check,passed,observed,expected
all_input_files_present,True,[],all present
hidden_bigrade_set_expected,True,"[1, 2, 3, 4, 6, 8, 9, 12]","[1, 2, 3, 4, 6, 8, 9, 12]"
hidden_sum_45,True,45,45
tensor_release_18,True,18,18
neutral_vector_carrier_81,True,81,81
cr217_tensor_partition_matches_18,True,18,18
cr217_neutral_vector_partition_matches_81,True,81,81
cr218_hidden_set_verified,True,"[1, 2, 3, 4, 6, 8, 9, 12]","[1, 2, 3, 4, 6, 8, 9, 12]"
clock_boundary_83,True,83,83
native_holes_43_61,True,"[43, 61]","[43, 61]"
candidate_stable_count_81,True,81,81
sob_rows_126,True,126,126
reference_clock_counts_81_37_8,True,"{'stable': 81, 'radioactive': 37, 'frontier': 8}","{'stable': 81, 'radioactive': 37, 'frontier': 8}"
boundary_selector_false_positive_holes_43_61,True,43;61,43;61
carrier_hidden_clock_exact_against_comparator,True,"{'selector_id': 'C2_CARRIER_HIDDEN_CLOCK', 'selector_column': 'selector_carrier_hidden_clock', 'description': 'Carrier/hidden CLOCK candidate: Z <= 83 excluding H-alpha_H and H-alpha_H+T', 'input_class': 'NATIVE_CARRIER_HIDDEN_CANDIDATE', 'predicted_stable_count_all_126': 81, 'predicted_stable_count_known_118': 81, 'scored_rows': 118, 'reference_target': 'HH001_CLOCK_stable_vs_radioactive_Z001_Z118', 'true_positive_stable': 81, 'false_positive_radioactive': 0, 'false_negative_stable': 0, 'true_negative_radioactive': 37, 'accuracy': '1.000000', 'precision': '1.000000', 'recall': '1.000000', 'false_positive_Z': '', 'false_negative_Z': '', 'boundary_note': 'CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities'}","accuracy=1.000000,count=81,no FP,no FN"
wrong_controls_all_distinct_from_exact,True,"[{'selector_id': 'WC1_NO_ALPHA_BRIDGE_WITH_MAIN_HOLES', 'selector_column': 'selector_wc_no_alpha_bridge_with_main_holes', 'description': 'Drop alpha_H bridge from boundary: Z <= 81 with main holes', 'input_class': 'WRONG_CONTROL', 'predicted_stable_count_all_126': 79, 'predicted_stable_count_known_118': 79, 'scored_rows': 118, 'reference_target': 'HH001_CLOCK_stable_vs_radioactive_Z001_Z118', 'true_positive_stable': 79, 'false_positive_radioactive': 0, 'false_negative_stable': 2, 'true_negative_radioactive': 37, 'accuracy': '0.983051', 'precision': '1.000000', 'recall': '0.975309', 'false_positive_Z': '', 'false_negative_Z': '82;83', 'boundary_note': 'CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities'}, {'selector_id': 'WC2_NO_HOLE_REJECTOR', 'selector_column': 'selector_wc_no_hole_rejector', 'description': 'Keep Z <= 83 but do not reject native holes', 'input_class': 'WRONG_CONTROL', 'predicted_stable_count_all_126': 83, 'predicted_stable_count_known_118': 83, 'scored_rows': 118, 'reference_target': 'HH001_CLOCK_stable_vs_radioactive_Z001_Z118', 'true_positive_stable': 81, 'false_positive_radioactive': 2, 'false_negative_stable': 0, 'true_negative_radioactive': 35, 'accuracy': '0.983051', 'precision': '0.975904', 'recall': '1.000000', 'false_positive_Z': '43;61', 'false_negative_Z': '', 'boundary_note': 'CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities'}, {'selector_id': 'WC3_HOLES_WITHOUT_ALPHA_OFFSET', 'selector_column': 'selector_wc_holes_without_alpha_offset', 'description': 'Use H and H+T as holes instead of H-alpha_H and H-alpha_H+T', 'input_class': 'WRONG_CONTROL', 'predicted_stable_count_all_126': 81, 'predicted_stable_count_known_118': 81, 'scored_rows': 118, 'reference_target': 'HH001_CLOCK_stable_vs_radioactive_Z001_Z118', 'true_positive_stable': 79, 'false_positive_radioactive': 2, 'false_negative_stable': 2, 'true_negative_radioactive': 35, 'accuracy': '0.966102', 'precision': '0.975309', 'recall': '0.975309', 'false_positive_Z': '43;61', 'false_negative_Z': '45;63', 'boundary_note': 'CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities'}, {'selector_id': 'WC4_SINGLE_HOLE_NO_TENSOR_SHIFT', 'selector_column': 'selector_wc_single_hole_no_tensor_shift', 'description': 'Reject only H-alpha_H and omit the tensor-shifted hole', 'input_class': 'WRONG_CONTROL', 'predicted_stable_count_all_126': 82, 'predicted_stable_count_known_118': 82, 'scored_rows': 118, 'reference_target': 'HH001_CLOCK_stable_vs_radioactive_Z001_Z118', 'true_positive_stable': 81, 'false_positive_radioactive': 1, 'false_negative_stable': 0, 'true_negative_radioactive': 36, 'accuracy': '0.991525', 'precision': '0.987805', 'recall': '1.000000', 'false_positive_Z': '61', 'false_negative_Z': '', 'boundary_note': 'CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities'}]",all wrong controls accuracy < 1
cr217_recorded_total_partition_162,True,162,162
