candidate_id,sob_id,Z,N,A,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,residual_twelfths,constant_native_lane,G_fraction,GR_fraction,retained_7G_fraction,reference_clock,selector_neutral_vector_cardinality_z_le_81,selector_tensor_alpha_boundary_z_le_83,selector_carrier_hidden_clock,selector_wc_no_alpha_bridge_with_main_holes,selector_wc_no_hole_rejector,selector_wc_holes_without_alpha_offset,selector_wc_single_hole_no_tensor_shift,native_hole_rejector,native_hole_formula,construction_note
CR225-Z001,SOB1,1,1,2,1p+1n+1e,3u+3d+1e,1,1,1,2,1,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/768,7117/96,49819/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z002,SOB2,2,2,4,2p+2n+2e,6u+6d+2e,1,2,1,2,2,CLOSED_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/384,7117/48,49819/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z003,SOB3,3,3,6,3p+3n+3e,9u+9d+3e,1,3,2,8,1,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/256,7117/32,49819/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z004,SOB4,4,4,8,4p+4n+4e,12u+12d+4e,1,4,2,8,2,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/192,7117/24,49819/192,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z005,SOB5,5,5,10,5p+5n+5e,15u+15d+5e,1,5,2,8,3,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,35585/768,35585/96,249095/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z006,SOB6,6,6,12,6p+6n+6e,18u+18d+6e,1,6,2,8,4,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/128,7117/16,49819/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z007,SOB7,7,7,14,7p+7n+7e,21u+21d+7e,1,7,2,8,5,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,49819/768,49819/96,348733/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z008,SOB8,8,8,16,8p+8n+8e,24u+24d+8e,1,8,2,8,6,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/96,7117/12,49819/96,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z009,SOB9,9,9,18,9p+9n+9e,27u+27d+9e,1,9,2,8,7,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,21351/256,21351/32,149457/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z010,SOB10,10,10,20,10p+10n+10e,30u+30d+10e,1,10,2,8,8,CLOSED_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,35585/384,35585/48,249095/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z011,SOB11,11,11,22,11p+11n+11e,33u+33d+11e,1,11,3,18,1,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,78287/768,78287/96,548009/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z012,SOB12,12,12,24,12p+12n+12e,36u+36d+12e,1,12,3,18,2,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,7117/64,7117/8,49819/64,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z013,SOB13,13,14,27,13p+14n+13e,40u+41d+13e,2,1,3,18,3,OPEN_SHELL,1,CONSTANT_BOUND_LADDER_LANE,92533/768,92533/96,647731/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z014,SOB14,14,15,29,14p+15n+14e,43u+44d+14e,2,2,3,18,4,OPEN_SHELL,2,CONSTANT_BOUND_LADDER_LANE,49825/384,49825/48,348775/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z015,SOB15,15,16,31,15p+16n+15e,46u+47d+15e,2,3,3,18,5,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,35589/256,35589/32,249123/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z016,SOB16,16,17,33,16p+17n+16e,49u+50d+16e,2,4,3,18,6,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,28471/192,28471/24,199297/192,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
