check,passed,observed,expected
prediction_rows_126,True,126,126
native_png_cards_126,True,126,126
native_svg_cards_126,True,126,126
reveal_png_cards_126,True,126,126
reveal_svg_cards_126,True,126,126
clock_prediction_counts_81_37_8,True,"{'stable': 81, 'radioactive': 37, 'frontier': 8}","{'stable': 81, 'radioactive': 37, 'frontier': 8}"
clock_reveal_matches_126,True,126,126
prediction_seal_exists,True,09a_PARTICLE_MASS_CHAIN/CR226_VAULTED_SOB_CARD_GENERATION_FREEZE_REVEAL/vault/01_prediction_seal/CR226_prediction_seal.json,exists
freeze_ledger_exists,True,09a_PARTICLE_MASS_CHAIN/CR226_VAULTED_SOB_CARD_GENERATION_FREEZE_REVEAL/vault/02_freeze/CR226_FREEZE_LEDGER.json,exists
reveal_seal_links_prediction_root,True,e436cf01bacc542bad5403d605c0eea9c964c2c645d97574f378a360fa061897,e436cf01bacc542bad5403d605c0eea9c964c2c645d97574f378a360fa061897
reveal_sources_marked_after_freeze,True,"[{'source': '09a_PARTICLE_MASS_CHAIN/CR226_VAULTED_SOB_CARD_GENERATION_FREEZE_REVEAL/CR226_PRECOMMIT.md', 'exists': 'True', 'bytes': 2122, 'sha256': 'bfd827cdbd4363f9795ff172cb6617e2d98948c722b47dc51178cdfa2df882cd', 'role': 'precommit declaration', 'construction_role': 'TASK_DECLARATION', 'read_phase': 'before_execution'}, {'source': '09a_PARTICLE_MASS_CHAIN/CR226_VAULTED_SOB_CARD_GENERATION_FREEZE_REVEAL/CR226_runner.py', 'exists': 'True', 'bytes': 42475, 'sha256': '27b836a4eec952c93aad59f168b6d132c19283642eaeb8d8633384724e3f0c74', 'role': 'reproducible runner', 'construction_role': 'EXECUTION_SCRIPT', 'read_phase': 'before_execution'}, {'source': '09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_courtroom_periodic_table.csv', 'exists': 'True', 'bytes': 104295, 'sha256': '78c410ec3364845bb9ebd22e33a1e0bf6c9833dd1323d6f2df27f9f49c49d53a', 'role': 'downstream symbol/name reveal', 'construction_role': 'REVEAL_ONLY_NOT_CONSTRUCTION', 'read_phase': 'after_prediction_freeze'}, {'source': '09a_PARTICLE_MASS_CHAIN/CR220_PARTICLE_COUNT_STABILITY_SIMULATION/CR220_simulated_element_primary_rows_126.csv', 'exists': 'True', 'bytes': 126533, 'sha256': '1742f16de8dd78249851fffa39158f8e3ec8eb8f337161cc959577108fdf4fdb', 'role': 'HH001/CLOCK comparator', 'construction_role': 'REVEAL_COMPARATOR_ONLY_NOT_CONSTRUCTION', 'read_phase': 'after_prediction_freeze'}, {'source': 'C:\\VS\\quantum_phase\\artifacts\\qp061\\qp061_observed_roster_normalized.csv', 'exists': 'True', 'bytes': 596794, 'sha256': '6aba747d80c3cd18a8b29961d9dfab62798f0f6214198896d9408338d8fc06dc', 'role': 'downstream isotope mass reveal', 'construction_role': 'REVEAL_ONLY_NOT_CONSTRUCTION', 'read_phase': 'after_prediction_freeze'}]",all reveal sources after_prediction_freeze
z79_prediction_native_values,True,"{'Z': 79, 'N': 118, 'A': 197, 'clock': 'stable'}","Z=79,N=118,A=197,stable"
z79_reveal_gold_mass,True,"{'sob_id': 'SOB79', 'Z': 79, 'N': 118, 'A': 197, 'prediction_clock': 'stable', 'reference_clock': 'stable', 'clock_match': 'True', 'known_symbol': 'Au', 'known_name': 'Gold', 'revealed_isotope_anchor': 'Au-197', 'atomic_mass_u_reveal': '196.966570', 'matter_label': 'Matter 196.967', 'name_symbol_reveal_status': 'REVEALED', 'atomic_mass_reveal_status': 'REVEALED_QP061', 'reveal_source': 'CR119/CR220/QP061_AFTER_PREDICTION_SEAL', 'prediction_hash_basis': 'CR226_prediction_seal'}",Au Gold Matter 196.967
prediction_manifest_nonempty,True,255,>250 prediction files
reveal_manifest_nonempty,True,254,>250 reveal files
