sob_id,Z,N,A,prediction_clock,reference_clock,clock_match,known_symbol,known_name,revealed_isotope_anchor,atomic_mass_u_reveal,matter_label,name_symbol_reveal_status,atomic_mass_reveal_status,reveal_source,prediction_hash_basis
SOB1,1,1,2,stable,stable,True,H,Hydrogen,H-2,2.014102,Matter 2.014,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB2,2,2,4,stable,stable,True,He,Helium,He-4,4.002603,Matter 4.003,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB3,3,3,6,stable,stable,True,Li,Lithium,Li-6,6.015123,Matter 6.015,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB4,4,4,8,stable,stable,True,Be,Beryllium,Be-8,8.005305,Matter 8.005,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB5,5,5,10,stable,stable,True,B,Boron,B-10,10.012937,Matter 10.013,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB6,6,6,12,stable,stable,True,C,Carbon,C-12,12.000000,Matter 12.000,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB7,7,7,14,stable,stable,True,N,Nitrogen,N-14,14.003074,Matter 14.003,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB8,8,8,16,stable,stable,True,O,Oxygen,O-16,15.994915,Matter 15.995,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB9,9,9,18,stable,stable,True,F,Fluorine,F-18,18.000937,Matter 18.001,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB10,10,10,20,stable,stable,True,Ne,Neon,Ne-20,19.992440,Matter 19.992,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB11,11,11,22,stable,stable,True,Na,Sodium,Na-22,21.994438,Matter 21.994,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB12,12,12,24,stable,stable,True,Mg,Magnesium,Mg-24,23.985042,Matter 23.985,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB13,13,14,27,stable,stable,True,Al,Aluminium,Al-27,26.981538,Matter 26.982,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB14,14,15,29,stable,stable,True,Si,Silicon,Si-29,28.976495,Matter 28.976,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB15,15,16,31,stable,stable,True,P,Phosphorus,P-31,30.973762,Matter 30.974,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB16,16,17,33,stable,stable,True,S,Sulfur,S-33,32.971459,Matter 32.971,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB17,17,18,35,stable,stable,True,Cl,Chlorine,Cl-35,34.968853,Matter 34.969,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB18,18,19,37,stable,stable,True,Ar,Argon,Ar-37,36.966776,Matter 36.967,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB19,19,20,39,stable,stable,True,K,Potassium,K-39,38.963706,Matter 38.964,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB20,20,21,41,stable,stable,True,Ca,Calcium,Ca-41,40.962278,Matter 40.962,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB21,21,22,43,stable,stable,True,Sc,Scandium,Sc-43,42.961150,Matter 42.961,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB22,22,23,45,stable,stable,True,Ti,Titanium,Ti-45,44.958121,Matter 44.958,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
