candidate_id,bin,q_sign,q_abs,M_obs,qA_observed,qA_expected,qA_distance,qA_match,T_observed,T_expected,T_distance,T_match,W_observed,W_expected,W_distance,W_match,all_three_match
QP093A-0003,stable_matter_rows,neutral,0,0.125,0.125,0.125,0.000,True,0.015625,0.015625,0.000000,True,0.109375,0.109375,0.000000,True,True
QP093A-0001,stable_matter_rows,positive,1,1.25,1.258680556,1.2586805555555555555555555555555555555555555555555555555555555555555555555555555,4.444444444444444444444444444444444444444444444444444444444444444444445E-10,True,0.157335069,0.15733506944444444444444444444444444444444444444444444444444444444444444444444444,4.4444444444444444444444444444444444444444444444444444444444444444444444E-10,True,1.101345486,1.1013454861111111111111111111111111111111111111111111111111111111111111111111111,1.111111111111111111111111111111111111111111111111111111111111111111111E-10,True,True
QP093A-0002,stable_matter_rows,negative,1,1.5,1.510416667,1.5104166666666666666666666666666666666666666666666666666666666666666666666666666,3.333333333333333333333333333333333333333333333333333333333333333333334E-10,True,0.188802083,0.18880208333333333333333333333333333333333333333333333333333333333333333333333332,3.3333333333333333333333333333333333333333333333333333333333333333333332E-10,True,1.321614583,1.3216145833333333333333333333333333333333333333333333333333333333333333333333332,3.333333333333333333333333333333333333333333333333333333333333333333332E-10,True,True
QP093A-0027,stable_matter_rows,neutral,0,1.5,1.5,1.5,0.0,True,0.1875,0.1875,0.0000,True,1.3125,1.3125,0.0000,True,True
QP093A-0025,stable_matter_rows,positive,1,15,15.10416667,15.104166666666666666666666666666666666666666666666666666666666666666666666666666,3.333333333333333333333333333333333333333333333333333333333333333333334E-9,True,1.888020833,1.8880208333333333333333333333333333333333333333333333333333333333333333333333332,3.333333333333333333333333333333333333333333333333333333333333333333332E-10,True,13.21614583,13.216145833333333333333333333333333333333333333333333333333333333333333333333332,3.333333333333333333333333333333333333333333333333333333333333333333332E-9,True,True
QP093A-0026,stable_matter_rows,negative,1,18,18.125,18.124999999999999999999999999999999999999999999999999999999999999999999999999999,1E-78,True,2.265625,2.2656249999999999999999999999999999999999999999999999999999999999999999999999999,1E-79,True,15.859375,15.859374999999999999999999999999999999999999999999999999999999999999999999999999,1E-78,True,True
QP093A-0051,stable_matter_rows,neutral,0,18,18,18,0,True,2.25,2.25,0.00,True,15.75,15.75,0.00,True,True
QP093A-0049,stable_matter_rows,positive,1,180,181.25,181.24999999999999999999999999999999999999999999999999999999999999999999999999999,1E-77,True,22.65625,22.656249999999999999999999999999999999999999999999999999999999999999999999999999,1E-78,True,158.59375,158.59374999999999999999999999999999999999999999999999999999999999999999999999999,1E-77,True,True
QP093A-0050,stable_matter_rows,negative,1,216,217.5,217.49999999999999999999999999999999999999999999999999999999999999999999999999999,1E-77,True,27.1875,27.187499999999999999999999999999999999999999999999999999999999999999999999999999,1E-78,True,190.3125,190.31249999999999999999999999999999999999999999999999999999999999999999999999999,1E-77,True,True
QP093A-0006,stable_matter_rows,neutral,0,0.25,0.25,0.25,0.00,True,0.03125,0.03125,0.00000,True,0.21875,0.21875,0.00000,True,True
