candidate_id,q_abs,M_obs_exact,qA_exact,G_exact,W_exact
QP093A-0003,0,1/8,1/8,1/64,7/64
QP093A-0001,1,5/4,725/576,725/4608,5075/4608
QP093A-0002,1,3/2,145/96,145/768,1015/768
QP093A-0027,0,3/2,3/2,3/16,21/16
QP093A-0025,1,15,725/48,725/384,5075/384
QP093A-0026,1,18,145/8,145/64,1015/64
QP093A-0051,0,18,18,9/4,63/4
QP093A-0049,1,180,725/4,725/32,5075/32
QP093A-0050,1,216,435/2,435/16,3045/16
QP093A-0006,0,1/4,1/4,1/32,7/32
QP093A-0004,2,5/2,365/144,365/1152,2555/1152
QP093A-0005,2,3,73/24,73/192,511/192
QP093A-0030,0,3,3,3/8,21/8
QP093A-0028,2,30,365/12,365/96,2555/96
QP093A-0029,2,36,73/2,73/16,511/16
QP093A-0054,0,36,36,9/2,63/2
QP093A-0052,2,360,365,365/8,2555/8
QP093A-0053,2,432,438,219/4,1533/4
QP093A-0235,0,43/4,43/4,43/32,301/32
QP093A-0236,1,2700520833/100000000,26105034719/960000000,26105034719/7680000000,182735243033/7680000000
QP093A-0009,0,3/8,3/8,3/64,21/64
QP093A-0007,3,15/4,245/64,245/512,1715/512
QP093A-0008,3,9/2,147/32,147/256,1029/256
QP093A-0033,0,9/2,9/2,9/16,63/16
QP093A-0031,3,45,735/16,735/128,5145/128
QP093A-0032,3,54,441/8,441/64,3087/64
QP093A-0057,0,54,54,27/4,189/4
QP093A-0055,3,540,2205/4,2205/32,15435/32
QP093A-0056,3,648,1323/2,1323/16,9261/16
QP093A-0243,1,2699479167/100000000,26094965281/960000000,26094965281/7680000000,182664756967/7680000000
QP093A-0115,1,72,145/2,145/16,1015/16
QP093A-0237,2,4201012731/100000000,102224643121/2400000000,102224643121/19200000000,715572501847/19200000000
QP093A-0012,0,1/2,1/2,1/16,7/16
QP093A-0010,4,5,185/36,185/288,1295/288
QP093A-0011,4,6,37/6,37/48,259/48
QP093A-0036,0,6,6,3/4,21/4
QP093A-0034,4,60,185/3,185/24,1295/24
QP093A-0035,4,72,74,37/4,259/4
QP093A-0060,0,72,72,9,63
QP093A-0058,4,720,740,185/2,1295/2
QP093A-0059,4,864,888,111,777
QP093A-0251,2,4198987269/100000000,34058452293/800000000,34058452293/6400000000,238409166051/6400000000
QP093A-0244,0,43,43,43/8,301/8
QP093A-0238,3,2850824653/50000000,139690407997/2400000000,139690407997/19200000000,977832855979/19200000000
QP093A-0245,1,7501446759/100000000,72513985337/960000000,72513985337/7680000000,507597897359/7680000000
QP093A-0252,1,7498553241/100000000,72486014663/960000000,72486014663/7680000000,507402102641/7680000000
QP093A-0259,3,2849175347/50000000,139609592003/2400000000,139609592003/19200000000,977267144021/19200000000
QP093A-0124,1,672,2030/3,1015/12,7105/12
QP093A-0246,2,1020245949/10000000,8275328253/80000000,8275328253/640000000,57927297771/640000000
QP093A-0015,0,3/4,3/4,3/32,21/32
QP093A-0013,6,15/2,125/16,125/128,875/128
QP093A-0014,6,9,75/8,75/64,525/64
QP093A-0039,0,9,9,9/8,63/8
QP093A-0037,6,90,375/4,375/32,2625/32
QP093A-0038,6,108,225/2,225/16,1575/16
