row_id,Z,G_exact,qA_exact,W_exact
E001,1,7117/768,7117/96,49819/768
E002,2,7117/384,7117/48,49819/384
E003,3,7117/256,7117/32,49819/256
E004,4,7117/192,7117/24,49819/192
E005,5,35585/768,35585/96,249095/768
E006,6,7117/128,7117/16,49819/128
E007,7,49819/768,49819/96,348733/768
E008,8,7117/96,7117/12,49819/96
E009,9,21351/256,21351/32,149457/256
E010,10,35585/384,35585/48,249095/384
E011,11,78287/768,78287/96,548009/768
E012,12,7117/64,7117/8,49819/64
E013,13,92533/768,92533/96,647731/768
E014,14,49825/384,49825/48,348775/384
E015,15,35589/256,35589/32,249123/256
E016,16,28471/192,28471/24,199297/192
E017,17,121001/768,121001/96,847007/768
E018,18,21353/128,21353/16,149471/128
E019,19,135235/768,135235/96,946645/768
E020,20,8897/48,8897/6,62279/48
E021,21,49823/256,49823/32,348761/256
E022,22,78293/384,78293/48,548051/384
E023,23,163703/768,163703/96,1145921/768
E024,24,3559/16,3559/2,24913/16
E025,25,177973/768,177973/96,1245811/768
E026,26,92545/384,92545/48,647815/384
E027,27,64069/256,64069/32,448483/256
E028,28,49831/192,49831/24,348817/192
E029,29,206441/768,206441/96,1445087/768
E030,30,35595/128,35595/16,249165/128
E031,31,220687/768,220687/96,1544809/768
E032,32,56951/192,56951/24,398657/192
E033,33,78307/256,78307/32,548149/256
E034,34,121019/384,121019/48,847133/384
E035,35,249155/768,249155/96,1744085/768
E036,36,21357/64,21357/8,149499/64
E037,37,263437/768,263437/96,1844059/768
E038,38,135277/384,135277/48,946939/384
E039,39,92557/256,92557/32,647899/256
E040,40,2225/6,8900/3,15575/6
E041,41,291917/768,291917/96,2043419/768
E042,42,49839/128,49839/16,348873/128
E043,43,306151/768,306151/96,2143057/768
E044,44,4895/12,9790/3,34265/12
E045,45,106799/256,106799/32,747593/256
E046,46,163757/384,163757/48,1146299/384
E047,47,334631/768,334631/96,2342417/768
E048,48,445,3560,3115
E049,49,348925/768,348925/96,2442475/768
E050,50,178021/384,178021/48,1246147/384
E051,51,121057/256,121057/32,847399/256
E052,52,23143/48,23143/6,162001/48
E053,53,377405/768,377405/96,2641835/768
E054,54,64089/128,64089/16,448623/128
E055,55,391651/768,391651/96,2741557/768
E056,56,24923/48,24923/6,174461/48
E057,57,135299/256,135299/32,947093/256
E058,58,206507/384,206507/48,1445549/384
E059,59,420131/768,420131/96,2940917/768
E060,60,35605/64,35605/8,249235/64
E061,61,434437/768,434437/96,3041059/768
E062,62,220777/384,220777/48,1545439/384
E063,63,149561/256,149561/32,1046927/256
E064,64,56975/96,56975/12,398825/96
E065,65,462929/768,462929/96,3240503/768
E066,66,78341/128,78341/16,548387/128
E067,67,477163/768,477163/96,3340141/768
E068,68,121073/192,121073/24,847511/192
E069,69,163803/256,163803/32,1146621/256
E070,70,249269/384,249269/48,1744883/384
E071,71,505655/768,505655/96,3539585/768
E072,72,10683/16,10683/2,74781/16
E073,73,519973/768,519973/96,3639811/768
E074,74,263551/384,263551/48,1844857/384
E075,75,178073/256,178073/32,1246511/256
E076,76,135337/192,135337/24,947359/192
E077,77,548465/768,548465/96,3839255/768
E078,78,92599/128,92599/16,648193/128
E079,79,562711/768,562711/96,3938977/768
E080,80,35615/48,35615/6,249305/48
E081,81,192319/256,192319/32,1346233/256
E082,82,292043/384,292043/48,2044301/384
E083,83,591203/768,591203/96,4138421/768
E084,84,49861/64,49861/8,349027/64
E085,85,605533/768,605533/96,4238731/768
E086,86,306331/384,306331/48,2144317/384
E087,87,206593/256,206593/32,1446151/256
E088,88,156727/192,156727/24,1097089/192
E089,89,634025/768,634025/96,4438175/768
E090,90,106859/128,106859/16,748013/128
E091,91,648283/768,648283/96,4537981/768
E092,92,81925/96,81925/12,573475/96
E093,93,220843/256,220843/32,1545901/256
E094,94,334823/384,334823/48,2343761/384
E095,95,676775/768,676775/96,4737425/768
E096,96,1781/2,7124,12467/2
E097,97,691117/768,691117/96,4837819/768
E098,98,349123/384,349123/48,2443861/384
E099,99,235125/256,235125/32,1645875/256
E100,100,178123/192,178123/24,1246861/192
E101,101,719621/768,719621/96,5037347/768
E102,102,121125/128,121125/16,847875/128
E103,103,733867/768,733867/96,5137069/768
E104,104,185249/192,185249/24,1296743/192
E105,105,249375/256,249375/32,1745625/256
E106,106,377621/384,377621/48,2643347/384
E107,107,762371/768,762371/96,5336597/768
E108,108,64125/64,64125/8,448875/64
E109,109,776725/768,776725/96,5437075/768
E110,110,391927/384,391927/48,2743489/384
E111,111,263661/256,263661/32,1845627/256
E112,112,24941/24,24941/3,174587/24
E113,113,805229/768,805229/96,5636603/768
E114,114,135393/128,135393/16,947751/128
E115,115,819487/768,819487/96,5736409/768
E116,116,103327/96,103327/12,723289/96
E117,117,277911/256,277911/32,1945377/256
E118,118,420431/384,420431/48,2943017/384
E119,119,847991/768,847991/96,5935937/768
E120,120,17815/16,17815/2,124705/16
E121,121,862357/768,862357/96,6036499/768
E122,122,434743/384,434743/48,3043201/384
E123,123,292205/256,292205/32,2045435/256
E124,124,27617/24,27617/3,193319/24
E125,125,890873/768,890873/96,6236111/768
E126,126,149667/128,149667/16,1047669/128
