candidate_id,M_obs,qA_pred,qA_uploaded,qA_match,T_pred,T_uploaded,T_match,W_pred,W_uploaded,W_match,row_pass
QP093A-0003,1/8,1/8,1/8,True,1/64,1/64,True,7/64,7/64,True,True
QP093A-0001,5/4,725/576,314670139/250000000,True,725/4608,157335069/1000000000,True,5075/4608,550672743/500000000,True,True
QP093A-0002,3/2,145/96,1510416667/1000000000,True,145/768,188802083/1000000000,True,1015/768,1321614583/1000000000,True,True
QP093A-0027,3/2,3/2,3/2,True,3/16,3/16,True,21/16,21/16,True,True
QP093A-0025,15,725/48,1510416667/100000000,True,725/384,1888020833/1000000000,True,5075/384,1321614583/100000000,True,True
QP093A-0026,18,145/8,145/8,True,145/64,145/64,True,1015/64,1015/64,True,True
QP093A-0051,18,18,18,True,9/4,9/4,True,63/4,63/4,True,True
QP093A-0049,180,725/4,725/4,True,725/32,725/32,True,5075/32,5075/32,True,True
QP093A-0050,216,435/2,435/2,True,435/16,435/16,True,3045/16,3045/16,True,True
QP093A-0006,1/4,1/4,1/4,True,1/32,1/32,True,7/32,7/32,True,True
QP093A-0004,5/2,365/144,1267361111/500000000,True,365/1152,158420139/500000000,True,2555/1152,277235243/125000000,True,True
QP093A-0005,3,73/24,3041666667/1000000000,True,73/192,380208333/1000000000,True,511/192,2661458333/1000000000,True,True
QP093A-0030,3,3,3,True,3/8,3/8,True,21/8,21/8,True,True
QP093A-0028,30,365/12,3041666667/100000000,True,365/96,3802083333/1000000000,True,2555/96,2661458333/100000000,True,True
QP093A-0029,36,73/2,73/2,True,73/16,73/16,True,511/16,511/16,True,True
QP093A-0054,36,36,36,True,9/2,9/2,True,63/2,63/2,True,True
QP093A-0052,360,365,365,True,365/8,365/8,True,2555/8,2555/8,True,True
QP093A-0053,432,438,438,True,219/4,219/4,True,1533/4,1533/4,True,True
QP093A-0235,43/4,43/4,43/4,True,43/32,43/32,True,301/32,301/32,True,True
QP093A-0236,2700520833/100000000,26105034719/960000000,54385489/2000000,True,26105034719/7680000000,3399093063/1000000000,True,182735243033/7680000000,297420643/12500000,True,True
QP093A-0009,3/8,3/8,3/8,True,3/64,3/64,True,21/64,21/64,True,True
QP093A-0007,15/4,245/64,245/64,True,245/512,245/512,True,1715/512,1715/512,True,True
QP093A-0008,9/2,147/32,147/32,True,147/256,147/256,True,1029/256,1029/256,True,True
QP093A-0033,9/2,9/2,9/2,True,9/16,9/16,True,63/16,63/16,True,True
QP093A-0031,45,735/16,735/16,True,735/128,735/128,True,5145/128,5145/128,True,True
QP093A-0032,54,441/8,441/8,True,441/64,441/64,True,3087/64,3087/64,True,True
QP093A-0057,54,54,54,True,27/4,27/4,True,189/4,189/4,True,True
QP093A-0055,540,2205/4,2205/4,True,2205/32,2205/32,True,15435/32,15435/32,True,True
QP093A-0056,648,1323/2,1323/2,True,1323/16,1323/16,True,9261/16,9261/16,True,True
QP093A-0243,2699479167/100000000,26094965281/960000000,54364511/2000000,True,26094965281/7680000000,3397781937/1000000000,True,182664756967/7680000000,594611839/25000000,True,True
QP093A-0115,72,145/2,145/2,True,145/16,145/16,True,1015/16,1015/16,True,True
QP093A-0237,4201012731/100000000,102224643121/2400000000,4259360131/100000000,True,102224643121/19200000000,5324200163/1000000000,True,715572501847/19200000000,1863470057/50000000,True,True
QP093A-0012,1/2,1/2,1/2,True,1/16,1/16,True,7/16,7/16,True,True
QP093A-0010,5,185/36,5138888889/1000000000,True,185/288,642361111/1000000000,True,1295/288,2248263889/500000000,True,True
QP093A-0011,6,37/6,6166666667/1000000000,True,37/48,770833333/1000000000,True,259/48,5395833333/1000000000,True,True
QP093A-0036,6,6,6,True,3/4,3/4,True,21/4,21/4,True,True
QP093A-0034,60,185/3,6166666667/100000000,True,185/24,7708333333/1000000000,True,1295/24,5395833333/100000000,True,True
QP093A-0035,72,74,74,True,37/4,37/4,True,259/4,259/4,True,True
QP093A-0060,72,72,72,True,9,9,True,63,63,True,True
QP093A-0058,720,740,740,True,185/2,185/2,True,1295/2,1295/2,True,True
QP093A-0059,864,888,888,True,111,111,True,777,777,True,True
QP093A-0251,4198987269/100000000,34058452293/800000000,532163317/12500000,True,34058452293/6400000000,532163317/100000000,True,238409166051/6400000000,3725143219/100000000,True,True
QP093A-0244,43,43,43,True,43/8,43/8,True,301/8,301/8,True,True
QP093A-0238,2850824653/50000000,139690407997/2400000000,2910216833/50000000,True,139690407997/19200000000,7275542083/1000000000,True,977832855979/19200000000,2546439729/50000000,True,True
QP093A-0245,7501446759/100000000,72513985337/960000000,377677007/5000000,True,72513985337/7680000000,4720962587/500000000,True,507597897359/7680000000,3304673811/50000000,True,True
QP093A-0252,7498553241/100000000,72486014663/960000000,7550626527/100000000,True,72486014663/7680000000,9438283159/1000000000,True,507402102641/7680000000,6606798211/100000000,True,True
QP093A-0259,2849175347/50000000,139609592003/2400000000,2908533167/50000000,True,139609592003/19200000000,7271332917/1000000000,True,977267144021/19200000000,2544966521/50000000,True,True
QP093A-0124,672,2030/3,6766666667/10000000,True,1015/12,8458333333/100000000,True,7105/12,5920833333/10000000,True,True
QP093A-0246,1020245949/10000000,8275328253/80000000,32325501/312500,True,8275328253/640000000,32325501/2500000,True,57927297771/640000000,9051140277/100000000,True,True
QP093A-0015,3/4,3/4,3/4,True,3/32,3/32,True,21/32,21/32,True,True
QP093A-0013,15/2,125/16,125/16,True,125/128,125/128,True,875/128,875/128,True,True
QP093A-0014,9,75/8,75/8,True,75/64,75/64,True,525/64,525/64,True,True
QP093A-0039,9,9,9,True,9/8,9/8,True,63/8,63/8,True,True
QP093A-0037,90,375/4,375/4,True,375/32,375/32,True,2625/32,2625/32,True,True
QP093A-0038,108,225/2,225/2,True,225/16,225/16,True,1575/16,1575/16,True,True
QP093A-0063,108,108,108,True,27/2,27/2,True,189/2,189/2,True,True
QP093A-0061,1080,1125,1125,True,1125/8,1125/8,True,7875/8,7875/8,True,True
QP093A-0062,1296,1350,1350,True,675/4,675/4,True,4725/4,4725/4,True,True
QP093A-0260,1019754051/10000000,24814015241/240000000,516958651/5000000,True,24814015241/1920000000,1292396627/100000000,True,173698106687/1920000000,9046776389/100000000,True,True
QP093A-0253,387/4,387/4,387/4,True,387/32,387/32,True,2709/32,2709/32,True,True
QP093A-0151,252,511/2,511/2,True,511/16,511/16,True,3577/16,3577/16,True,True
QP093A-0118,432,435,435,True,435/8,435/8,True,3045/8,3045/8,True,True
QP093A-0239,8703356481/100000000,144088901741/1600000000,9005556359/100000000,True,144088901741/12800000000,225138909/20000000,True,1008622312187/12800000000,3939930907/50000000,True,True
QP093A-0254,294056713/2000000,8527644677/57600000,1480493867/10000000,True,8527644677/460800000,925308667/50000000,True,59693512739/460800000,647716067/5000000,True,True
QP093A-0261,293943287/2000000,8524355323/57600000,1479922799/10000000,True,8524355323/460800000,1849903499/100000000,True,59670487261/460800000,1294932449/10000000,True,True
QP093A-0267,8696643519/100000000,431933294777/4800000000,8998610307/100000000,True,431933294777/38400000000,70301643/6250000,True,3023533063439/38400000000,7873784019/100000000,True,True
QP093A-0247,78026331/500000,962324749/6000000,801937291/5000000,True,962324749/48000000,501210807/25000000,True,6736273243/48000000,1403390259/10000000,True,True
QP093A-0018,1,1,1,True,1/8,1/8,True,7/8,7/8,True,True
QP093A-0016,10,95/9,263888889/25000000,True,95/72,329861111/250000000,True,665/72,9236111111/1000000000,True,True
QP093A-0017,12,38/3,1266666667/100000000,True,19/12,1583333333/1000000000,True,133/12,1108333333/100000000,True,True
QP093A-0042,12,12,12,True,3/2,3/2,True,21/2,21/2,True,True
QP093A-0040,120,380/3,1266666667/10000000,True,95/6,1583333333/100000000,True,665/6,1108333333/10000000,True,True
QP093A-0041,144,152,152,True,19,19,True,133,133,True,True
QP093A-0268,77973669/500000,320558417/2000000,320558417/2000000,True,320558417/16000000,1001745053/50000000,True,2243908919/16000000,701221537/5000000,True,True
QP093A-0262,172,172,172,True,43/2,43/2,True,301/2,301/2,True,True
QP093A-0136,1683,13651/8,13651/8,True,13651/64,13651/64,True,95557/64,95557/64,True,True
QP093A-0126,1968,5945/3,1981666667/1000000,True,5945/24,2477083333/10000000,True,41615/24,1733958333/1000000,True,True
QP093A-0255,1125325521/5000000,18380316843/80000000,459507921/2000000,True,18380316843/640000000,1435962253/50000000,True,128662217901/640000000,1005173577/5000000,True,True
QP093A-0240,292641059/2500000,44188799909/360000000,153433333/1250000,True,44188799909/2880000000,153433333/10000000,True,309321599363/2880000000,1074033331/10000000,True,True
QP093A-0021,9/8,9/8,9/8,True,9/64,9/64,True,63/64,63/64,True,True
QP093A-0019,45/4,765/64,765/64,True,765/512,765/512,True,5355/512,522949219/50000000,True,True
QP093A-0020,27/2,459/32,459/32,True,459/256,459/256,True,3213/256,3213/256,True,True
QP093A-0045,27/2,27/2,27/2,True,27/16,27/16,True,189/16,189/16,True,True
QP093A-0043,135,2295/16,2295/16,True,2295/128,2295/128,True,16065/128,16065/128,True,True
QP093A-0044,162,1377/8,1377/8,True,1377/64,1377/64,True,9639/64,9639/64,True,True
QP093A-0275,292358941/2500000,44146200091/360000000,153285417/1250000,True,44146200091/2880000000,153285417/10000000,True,309023400637/2880000000,1072997919/10000000,True,True
QP093A-0269,1124674479/5000000,18369683157/80000000,459242079/2000000,True,18369683157/640000000,1435131497/50000000,True,128587782099/640000000,62787003/312500,True,True
QP093A-0248,1050455729/5000000,1050455729/4800000,547112359/2500000,True,1050455729/38400000,547112359/20000000,True,7353190103/38400000,239361657/1250000,True,True
QP093A-0263,183794307/625000,4472328137/15000000,2981552091/10000000,True,4472328137/120000000,1863470057/50000000,True,31306296959/120000000,16305363/62500,True,True
QP093A-0241,660278501/5000000,12545291519/90000000,2178002/15625,True,12545291519/720000000,1089001/62500,True,87817040633/720000000,7623007/62500,True,True
QP093A-0283,659721499/5000000,12534708481/90000000,696372693/5000000,True,12534708481/720000000,1740931733/100000000,True,87742959367/720000000,1218652213/10000000,True,True
QP093A-0270,183705693/625000,4470171863/15000000,119204583/400000,True,4470171863/120000000,3725143219/100000000,True,31291203041/120000000,2607600253/10000000,True,True
QP093A-0276,1049544271/5000000,1049544271/4800000,546637641/2500000,True,1049544271/38400000,546637641/20000000,True,7346809897/38400000,14947123/78125,True,True
QP093A-0256,3031168981/10000000,451644178169/1440000000,196026119/625000,True,451644178169/11520000000,3920522381/100000000,True,3161509247183/11520000000,1372182833/5000000,True,True
QP093A-0249,1185442889/5000000,179001876239/720000000,248613717/1000000,True,179001876239/5760000000,3107671463/100000000,True,1253013133673/5760000000,271921253/1250000,True,True
QP093A-0284,1184557111/5000000,178868123761/720000000,310534937/1250000,True,178868123761/5760000000,310534937/10000000,True,1252076866327/5760000000,2173744559/10000000,True,True
QP093A-0277,3028831019/10000000,451295821831/1440000000,1566999381/5000000,True,451295821831/11520000000,3917498453/100000000,True,3159070752817/11520000000,2742248917/10000000,True,True
QP093A-0165,2856,8687/3,2895666667/1000000,True,8687/24,3619583333/10000000,True,60809/24,2533708333/1000000,True,True
QP093A-0264,1980668403/5000000,8142747879/20000000,4071373939/10000000,True,8142747879/160000000,318076089/6250000,True,56999235153/160000000,3562452197/10000000,True,True
QP093A-0257,3421113281/10000000,3421113281/9600000,890914917/2500000,True,3421113281/76800000,890914917/20000000,True,23947792967/76800000,3118202209/10000000,True,True
QP093A-0024,3/2,3/2,3/2,True,3/16,3/16,True,21/16,21/16,True,True
QP093A-0022,15,65/4,65/4,True,65/32,65/32,True,455/32,455/32,True,True
QP093A-0023,18,39/2,39/2,True,39/16,39/16,True,273/16,273/16,True,True
QP093A-0048,18,18,18,True,9/4,9/4,True,63/4,63/4,True,True
QP093A-0046,180,195,195,True,195/8,195/8,True,1365/8,1365/8,True,True
QP093A-0047,216,234,234,True,117/4,117/4,True,819/4,819/4,True,True
QP093A-0285,3418886719/10000000,3418886719/9600000,890335083/2500000,True,3418886719/76800000,890335083/20000000,True,23932207033/76800000,3116172791/10000000,True,True
QP093A-0278,1979331597/5000000,8137252121/20000000,4068626061/10000000,True,8137252121/160000000,317861411/6250000,True,56960764847/160000000,3560047803/10000000,True,True
QP093A-0271,387,387,387,True,387/8,387/8,True,2709/8,2709/8,True,True
QP093A-0200,1152,1160,1160,True,145,145,True,1015,1015,True,True
QP093A-0155,1512,1533,1533,True,1533/8,1533/8,True,10731/8,10731/8,True,True
QP093A-0265,4471239511/10000000,666214687139/1440000000,4626490883/10000000,True,666214687139/11520000000,1445778401/25000000,True,4663502809973/11520000000,4048179523/10000000,True,True
QP093A-0286,4468760489/10000000,665845312861/1440000000,577990723/1250000,True,665845312861/11520000000,577990723/10000000,True,4660917190027/11520000000,4045935061/10000000,True,True
QP093A-0272,1455350839/2500000,106240611247/180000000,5902256181/10000000,True,106240611247/1440000000,3688910113/50000000,True,743684278729/1440000000,2582237079/5000000,True,True
QP093A-0279,1454649161/2500000,106189388753/180000000,2949705243/5000000,True,106189388753/1440000000,7374263107/100000000,True,743325721271/1440000000,206479367/400000,True,True
QP093A-0142,5454,44541/8,44541/8,True,44541/64,44541/64,True,311787/64,311787/64,True,True
QP093A-0190,4374,35721/8,35721/8,True,35721/64,35721/64,True,250047/64,250047/64,True,True
QP093A-0273,6571188151/10000000,321988219399/480000000,209627747/312500,True,321988219399/3840000000,209627747/2500000,True,2253917535793/3840000000,1467394229/2500000,True,True
QP093A-0287,6568811849/10000000,321871780601/480000000,419103881/625000,True,321871780601/3840000000,419103881/5000000,True,2253102464207/3840000000,2933727167/5000000,True,True
QP093A-0187,2136,12905/6,2150833333/1000000,True,12905/48,2688541667/10000000,True,90335/48,1881979167/1000000,True,True
QP093A-0280,688,688,688,True,86,86,True,602,602,True,True
QP093A-0281,4335365849/5000000,125725609621/144000000,8730945113/10000000,True,125725609621/1152000000,1091368139/10000000,True,880079267347/1152000000,3819788487/5000000,True,True
QP093A-0288,4334634151/5000000,125704390379/144000000,4364735777/5000000,True,125704390379/1152000000,136397993/1250000,True,879930732653/1152000000,7638287609/10000000,True,True
QP093A-0173,7524,7733,7733,True,7733/8,7733/8,True,54131/8,54131/8,True,True
QP093A-0289,14175/16,14175/16,14175/16,True,14175/128,14175/128,True,99225/128,99225/128,True,True
