isotope,Z,N,A,Q,Q_rational,m_meas_u,m_pred_u,eps,abs_eps,delta_m_u,confidence_lane,mass_uncertainty_u
H-1,1,0,1,74.01041666666667,7105/96,1.00782503207,1.9966277926092455,-0.9811254226423766,0.9811254226423766,-0.9888027605392454,LANE_A_HARD_MEASURED,1e-11
H-2,1,1,2,74.13541666666667,7117/96,2.01410177812,2.0,0.007001522104390803,0.007001522104390803,0.01410177812,LANE_A_HARD_MEASURED,1.7e-11
H-3,1,2,3,74.26041666666667,7129/96,3.0160492779,2.0033722073907545,0.3357627734830471,0.3357627734830471,1.0126770705092454,LANE_A_HARD_MEASURED,2.4e-10
He-3,2,1,3,148.14583333333334,7111/48,3.01602932008,3.9966277926092455,-0.32512895879382075,0.32512895879382075,-0.9805984725292455,LANE_A_HARD_MEASURED,2.5e-11
He-4,2,2,4,148.27083333333334,7117/48,4.00260325413,4.0,0.0006503902497240735,0.0006503902497240735,0.00260325413,LANE_A_HARD_MEASURED,6e-11
Li-6,3,3,6,222.40625,7117/32,6.01512288742,6.0,0.0025141443829232377,0.0025141443829232377,0.01512288742,LANE_A_HARD_MEASURED,1.5e-10
Li-7,3,4,7,222.53125,7121/32,7.01600343428,6.003372207390755,0.14433163215707068,0.14433163215707068,1.0126312268892455,LANE_A_HARD_MEASURED,4.5e-10
Be-9,4,5,9,296.6666666666667,890/3,9.012183065,8.003372207390754,0.11193856697464295,0.11193856697464295,1.0088108576092454,LANE_A_HARD_MEASURED,8.2e-10
B-10,5,5,10,370.6770833333333,35585/96,10.0129369541,10.0,0.0012920239245791617,0.0012920239245791617,0.0129369541,LANE_A_HARD_MEASURED,3.5e-10
B-11,5,6,11,370.8020833333333,35597/96,11.0093053645,10.003372207390754,0.09137117409359197,0.09137117409359197,1.0059331571092456,LANE_A_HARD_MEASURED,4.5e-10
C-12,6,6,12,444.8125,7117/16,12.0,12.0,0.0,0.0,0.0,LANE_A_HARD_MEASURED,0.0
