spreadsheet_row,route_combination,pair_a,pair_b,q_abs,surface_sign,surface_depth,K_native,X_debit_stored,delta,row_tolerance,best_unit,best_n,best_predicted,best_residual,quantized_match
9,pair_write[6|anti8],6,8,2,negative_credit,depth=3,582.0,-0.14,-0.0002405498281786942,1e-05,,,,,False
10,pair_write[4|anti8],4,8,4,negative_credit,depth=3,396.0,-0.13,-0.0003282828282828283,1.2626262626262626e-05,,,,,False
11,pair_write[3|anti8],3,8,5,negative_credit,depth=3,303.0,-0.12,-0.000396039603960396,1.65016501650165e-05,,,,,False
12,pair_write[4|anti9],4,9,5,negative_credit,depth=3,447.0,-0.12,-0.00026845637583892615,1.1185682326621925e-05,,,,,False
13,pair_write[6|anti9],6,9,3,negative_credit,depth=3,657.0,-0.12,-0.00018264840182648402,1e-05,,,,,False
14,pair_write[3|anti9],3,9,6,negative_credit,depth=3,342.0,-0.11,-0.0003216374269005848,1.4619883040935673e-05,,,,,False
15,pair_write[2|anti8],2,8,6,negative_credit,depth=3,210.0,-0.09,-0.00042857142857142855,2.380952380952381e-05,,,,,False
16,pair_write[2|anti9],2,9,7,negative_credit,depth=3,237.0,-0.09,-0.00037974683544303797,2.109704641350211e-05,,,,,False
17,pair_write[3|anti6],3,6,3,negative_credit,depth=3,225.0,-0.07,-0.0003111111111111111,2.2222222222222223e-05,,,,,False
18,pair_write[4|anti6],4,6,2,negative_credit,depth=3,294.0,-0.07,-0.00023809523809523812,1.7006802721088435e-05,,,,,False
19,pair_write[8|anti9],8,9,1,negative_credit,depth=3,867.0,-0.07,-8.073817762399078e-05,1e-05,,,,,False
20,pair_write[1|anti8],1,8,7,negative_credit,depth=3,117.0,-0.06,-0.0005128205128205128,4.2735042735042735e-05,,,,,False
21,pair_write[1|anti9],1,9,8,negative_credit,depth=3,132.0,-0.06,-0.00045454545454545455,3.787878787878788e-05,,,,,False
22,pair_write[2|anti6],2,6,4,negative_credit,depth=3,156.0,-0.05,-0.0003205128205128205,3.205128205128205e-05,,,,,False
23,pair_write[1|anti6],1,6,5,negative_credit,depth=3,87.0,-0.03,-0.0003448275862068965,5.747126436781609e-05,,,,,False
24,pair_write[3|anti4],3,4,1,negative_credit,depth=3,147.0,-0.03,-0.0002040816326530612,3.401360544217687e-05,,,,,False
25,pair_write[1|anti4],1,4,3,negative_credit,depth=3,57.0,-0.02,-0.00035087719298245617,8.771929824561404e-05,,,,,False
26,pair_write[2|anti4],2,4,2,negative_credit,depth=3,102.0,-0.02,-0.000196078431372549,4.901960784313725e-05,,,,,False
27,pair_write[1|anti2],1,2,1,negative_credit,depth=3,27.0,-0.01,-0.00037037037037037035,0.00018518518518518518,,,,,False
28,pair_write[1|anti3],1,3,2,negative_credit,depth=3,42.0,-0.01,-0.0002380952380952381,0.00011904761904761905,,,,,False
29,pair_write[2|anti3],2,3,1,negative_credit,depth=3,75.0,-0.01,-0.00013333333333333334,6.666666666666667e-05,,,,,False
94,pair_write[2|anti1],2,1,1,positive_debit,depth=3,27.0,0.01,0.00037037037037037035,0.00018518518518518518,,,,,False
95,pair_write[3|anti1],3,1,2,positive_debit,depth=3,42.0,0.01,0.0002380952380952381,0.00011904761904761905,,,,,False
96,pair_write[3|anti2],3,2,1,positive_debit,depth=3,75.0,0.01,0.00013333333333333334,6.666666666666667e-05,,,,,False
97,pair_write[4|anti1],4,1,3,positive_debit,depth=3,57.0,0.02,0.00035087719298245617,8.771929824561404e-05,,,,,False
98,pair_write[4|anti2],4,2,2,positive_debit,depth=3,102.0,0.02,0.000196078431372549,4.901960784313725e-05,,,,,False
99,pair_write[6|anti1],6,1,5,positive_debit,depth=3,87.0,0.03,0.0003448275862068965,5.747126436781609e-05,,,,,False
100,pair_write[4|anti3],4,3,1,positive_debit,depth=3,147.0,0.03,0.0002040816326530612,3.401360544217687e-05,,,,,False
101,pair_write[6|anti2],6,2,4,positive_debit,depth=3,156.0,0.05,0.0003205128205128205,3.205128205128205e-05,,,,,False
102,pair_write[8|anti1],8,1,7,positive_debit,depth=3,117.0,0.06,0.0005128205128205128,4.2735042735042735e-05,,,,,False
103,pair_write[9|anti1],9,1,8,positive_debit,depth=3,132.0,0.06,0.00045454545454545455,3.787878787878788e-05,,,,,False
104,pair_write[6|anti3],6,3,3,positive_debit,depth=3,225.0,0.07,0.0003111111111111111,2.2222222222222223e-05,,,,,False
105,pair_write[6|anti4],6,4,2,positive_debit,depth=3,294.0,0.07,0.00023809523809523812,1.7006802721088435e-05,,,,,False
106,pair_write[9|anti8],9,8,1,positive_debit,depth=3,867.0,0.07,8.073817762399078e-05,1e-05,,,,,False
107,pair_write[8|anti2],8,2,6,positive_debit,depth=3,210.0,0.09,0.00042857142857142855,2.380952380952381e-05,,,,,False
108,pair_write[9|anti2],9,2,7,positive_debit,depth=3,237.0,0.09,0.00037974683544303797,2.109704641350211e-05,,,,,False
109,pair_write[9|anti3],9,3,6,positive_debit,depth=3,342.0,0.11,0.0003216374269005848,1.4619883040935673e-05,,,,,False
110,pair_write[8|anti3],8,3,5,positive_debit,depth=3,303.0,0.12,0.000396039603960396,1.65016501650165e-05,,,,,False
111,pair_write[9|anti4],9,4,5,positive_debit,depth=3,447.0,0.12,0.00026845637583892615,1.1185682326621925e-05,,,,,False
112,pair_write[9|anti6],9,6,3,positive_debit,depth=3,657.0,0.12,0.00018264840182648402,1e-05,,,,,False
113,pair_write[8|anti4],8,4,4,positive_debit,depth=3,396.0,0.13,0.0003282828282828283,1.2626262626262626e-05,,,,,False
114,pair_write[8|anti6],8,6,2,positive_debit,depth=3,582.0,0.14,0.0002405498281786942,1e-05,,,,,False
