label,perturbation,class,canonical_match,perturbed_match,evaluated,degraded,spreadsheet_row,Y_observed,Y_perturbed_or_substitution,abs_diff,matches
WC-R1,"R=10, D=3, S=8",color_triad,14,0,14,True,,,,,
WC-R1,"R=10, D=3, S=8",equal_bound_pair,6,0,6,True,,,,,
WC-R1,"R=10, D=3, S=8",OCTET_pair,1,1,1,False,,,,,
WC-R1,"R=10, D=3, S=8",single_write,63,63,63,False,,,,,
WC-R1,"R=10, D=3, S=8",support,11,11,11,False,,,,,
WC-R1,"R=10, D=3, S=8",carrier,1,1,1,False,,,,,
WC-R2,"R=11, D=3, S=8",color_triad,14,0,14,True,,,,,
WC-R2,"R=11, D=3, S=8",equal_bound_pair,6,0,6,True,,,,,
WC-R2,"R=11, D=3, S=8",OCTET_pair,1,1,1,False,,,,,
WC-R2,"R=11, D=3, S=8",single_write,63,63,63,False,,,,,
WC-R2,"R=11, D=3, S=8",support,11,11,11,False,,,,,
WC-R2,"R=11, D=3, S=8",carrier,1,1,1,False,,,,,
WC-R3,"R=13, D=3, S=8",color_triad,14,0,14,True,,,,,
WC-R3,"R=13, D=3, S=8",equal_bound_pair,6,0,6,True,,,,,
WC-R3,"R=13, D=3, S=8",OCTET_pair,1,1,1,False,,,,,
WC-R3,"R=13, D=3, S=8",single_write,63,63,63,False,,,,,
WC-R3,"R=13, D=3, S=8",support,11,11,11,False,,,,,
WC-R3,"R=13, D=3, S=8",carrier,1,1,1,False,,,,,
WC-D1,"R=12, D=2, S=8",color_triad,14,0,14,True,,,,,
WC-D1,"R=12, D=2, S=8",equal_bound_pair,6,0,6,True,,,,,
WC-D1,"R=12, D=2, S=8",OCTET_pair,1,0,1,True,,,,,
WC-D1,"R=12, D=2, S=8",single_write,63,63,63,False,,,,,
WC-D1,"R=12, D=2, S=8",support,11,11,11,False,,,,,
WC-D1,"R=12, D=2, S=8",carrier,1,1,1,False,,,,,
WC-D2,"R=12, D=4, S=8",color_triad,14,0,14,True,,,,,
WC-D2,"R=12, D=4, S=8",equal_bound_pair,6,0,6,True,,,,,
WC-D2,"R=12, D=4, S=8",OCTET_pair,1,0,1,True,,,,,
WC-D2,"R=12, D=4, S=8",single_write,63,63,63,False,,,,,
WC-D2,"R=12, D=4, S=8",support,11,11,11,False,,,,,
WC-D2,"R=12, D=4, S=8",carrier,1,1,1,False,,,,,
WC-S1,"R=12, D=3, S=7",color_triad,14,14,14,False,,,,,
WC-S1,"R=12, D=3, S=7",equal_bound_pair,6,6,6,False,,,,,
WC-S1,"R=12, D=3, S=7",OCTET_pair,1,0,1,True,,,,,
WC-S1,"R=12, D=3, S=7",single_write,63,63,63,False,,,,,
WC-S1,"R=12, D=3, S=7",support,11,11,11,False,,,,,
WC-S1,"R=12, D=3, S=7",carrier,1,1,1,False,,,,,
WC-S2,"R=12, D=3, S=9",color_triad,14,14,14,False,,,,,
WC-S2,"R=12, D=3, S=9",equal_bound_pair,6,6,6,False,,,,,
WC-S2,"R=12, D=3, S=9",OCTET_pair,1,0,1,True,,,,,
WC-S2,"R=12, D=3, S=9",single_write,63,63,63,False,,,,,
WC-S2,"R=12, D=3, S=9",support,11,11,11,False,,,,,
WC-S2,"R=12, D=3, S=9",carrier,1,1,1,False,,,,,
WC-O1,"D=2, S=8, octet form (D^2+S)/(D*S^2)",OCTET_pair,,,,,134,0.08853909465020576,0.09375,0.005210905349794237,False
WC-O2,"D=4, S=8, octet form (D^2+S)/(D*S^2)",OCTET_pair,,,,,134,0.08853909465020576,0.09375,0.005210905349794237,False
WC-O3,"D=3, S=7, octet form (D^2+S)/(D*S^2)",OCTET_pair,,,,,134,0.08853909465020576,0.10884353741496598,0.02030444276476022,False
WC-O4,"D=3, S=9, octet form (D^2+S)/(D*S^2)",OCTET_pair,,,,,134,0.08853909465020576,0.07407407407407407,0.014465020576131693,False
WC-O5,numerator substitution |q|+S in place of D^2+S,OCTET_pair,,,,,134,0.08853909465020576,0.041666666666666664,0.0468724279835391,False
