isotope,Z,N,A,n_proton,n_balanced_neutron,n_excess_neutron,n_electron,target_u,decomp_u,match_u,target_d,decomp_d,match_d,target_e,decomp_e,match_e,target_Q_mass,decomp_Q_mass,match_Q_mass,target_Q_sub,decomp_Q_sub,match_Q_sub,target_dQ,decomp_dQ,match_dQ,all_six_match
H-2,1,1,2,1,1,0,1,3,3,True,3,3,True,1,1,True,7117/96,7117/96,True,7117/96,7117/96,True,0,0,True,True
H-3,1,2,3,1,1,1,1,4,4,True,5,5,True,1,1,True,7117/64,7117/64,True,7129/96,7129/96,True,7093/192,7093/192,True,True
He-4,2,2,4,2,2,0,2,6,6,True,6,6,True,2,2,True,7117/48,7117/48,True,7117/48,7117/48,True,0,0,True,True
Li-6,3,3,6,3,3,0,3,9,9,True,9,9,True,3,3,True,7117/32,7117/32,True,7117/32,7117/32,True,0,0,True,True
Li-7,3,4,7,3,3,1,3,10,10,True,11,11,True,3,3,True,49819/192,49819/192,True,7121/32,7121/32,True,7093/192,7093/192,True,True
Be-8,4,4,8,4,4,0,4,12,12,True,12,12,True,4,4,True,7117/24,7117/24,True,7117/24,7117/24,True,0,0,True,True
Be-9,4,5,9,4,4,1,4,13,13,True,14,14,True,4,4,True,21351/64,21351/64,True,890/3,890/3,True,7093/192,7093/192,True,True
B-10,5,5,10,5,5,0,5,15,15,True,15,15,True,5,5,True,35585/96,35585/96,True,35585/96,35585/96,True,0,0,True,True
B-11,5,6,11,5,5,1,5,16,16,True,17,17,True,5,5,True,78287/192,78287/192,True,35597/96,35597/96,True,7093/192,7093/192,True,True
C-12,6,6,12,6,6,0,6,18,18,True,18,18,True,6,6,True,7117/16,7117/16,True,7117/16,7117/16,True,0,0,True,True
C-13,6,7,13,6,6,1,6,19,19,True,20,20,True,6,6,True,92521/192,92521/192,True,7119/16,7119/16,True,7093/192,7093/192,True,True
C-14,6,8,14,6,6,2,6,20,20,True,22,22,True,6,6,True,49819/96,49819/96,True,7121/16,7121/16,True,7093/96,7093/96,True,True
N-14,7,7,14,7,7,0,7,21,21,True,21,21,True,7,7,True,49819/96,49819/96,True,49819/96,49819/96,True,0,0,True,True
N-15,7,8,15,7,7,1,7,22,22,True,23,23,True,7,7,True,35585/64,35585/64,True,49831/96,49831/96,True,7093/192,7093/192,True,True
O-16,8,8,16,8,8,0,8,24,24,True,24,24,True,8,8,True,7117/12,7117/12,True,7117/12,7117/12,True,0,0,True,True
O-17,8,9,17,8,8,1,8,25,25,True,26,26,True,8,8,True,120989/192,120989/192,True,14237/24,14237/24,True,7093/192,7093/192,True,True
O-18,8,10,18,8,8,2,8,26,26,True,28,28,True,8,8,True,21351/32,21351/32,True,1780/3,1780/3,True,7093/96,7093/96,True,True
F-19,9,10,19,9,9,1,9,28,28,True,29,29,True,9,9,True,135223/192,135223/192,True,21355/32,21355/32,True,7093/192,7093/192,True,True
Ne-20,10,10,20,10,10,0,10,30,30,True,30,30,True,10,10,True,35585/48,35585/48,True,35585/48,35585/48,True,0,0,True,True
Ne-22,10,12,22,10,10,2,10,32,32,True,34,34,True,10,10,True,78287/96,78287/96,True,35597/48,35597/48,True,7093/96,7093/96,True,True
Na-23,11,12,23,11,11,1,11,34,34,True,35,35,True,11,11,True,163691/192,163691/192,True,78299/96,78299/96,True,7093/192,7093/192,True,True
Mg-24,12,12,24,12,12,0,12,36,36,True,36,36,True,12,12,True,7117/8,7117/8,True,7117/8,7117/8,True,0,0,True,True
Mg-25,12,13,25,12,12,1,12,37,37,True,38,38,True,12,12,True,177925/192,177925/192,True,3559/4,3559/4,True,7093/192,7093/192,True,True
Mg-26,12,14,26,12,12,2,12,38,38,True,40,40,True,12,12,True,92521/96,92521/96,True,7119/8,7119/8,True,7093/96,7093/96,True,True
Al-27,13,14,27,13,13,1,13,40,40,True,41,41,True,13,13,True,64053/64,64053/64,True,92533/96,92533/96,True,7093/192,7093/192,True,True
Si-28,14,14,28,14,14,0,14,42,42,True,42,42,True,14,14,True,49819/48,49819/48,True,49819/48,49819/48,True,0,0,True,True
P-31,15,16,31,15,15,1,15,46,46,True,47,47,True,15,15,True,220627/192,220627/192,True,35589/32,35589/32,True,7093/192,7093/192,True,True
S-32,16,16,32,16,16,0,16,48,48,True,48,48,True,16,16,True,7117/6,7117/6,True,7117/6,7117/6,True,0,0,True,True
Cl-35,17,18,35,17,17,1,17,52,52,True,53,53,True,17,17,True,249095/192,249095/192,True,121001/96,121001/96,True,7093/192,7093/192,True,True
Ar-40,18,22,40,18,18,4,18,58,58,True,62,62,True,18,18,True,35585/24,35585/24,True,21359/16,21359/16,True,7093/48,7093/48,True,True
Ca-40,20,20,40,20,20,0,20,60,60,True,60,60,True,20,20,True,35585/24,35585/24,True,35585/24,35585/24,True,0,0,True,True
Ti-48,22,26,48,22,22,4,22,70,70,True,74,74,True,22,22,True,7117/4,7117/4,True,78311/48,78311/48,True,7093/48,7093/48,True,True
Fe-56,26,30,56,26,26,4,26,82,82,True,86,86,True,26,26,True,49819/24,49819/24,True,92545/48,92545/48,True,7093/48,7093/48,True,True
Ni-58,28,30,58,28,28,2,28,86,86,True,88,88,True,28,28,True,206393/96,206393/96,True,49825/24,49825/24,True,7093/96,7093/96,True,True
Cu-63,29,34,63,29,29,5,29,92,92,True,97,97,True,29,29,True,149457/64,149457/64,True,206453/96,206453/96,True,35465/192,35465/192,True,True
Zn-64,30,34,64,30,30,4,30,94,94,True,98,98,True,30,30,True,7117/3,7117/3,True,35593/16,35593/16,True,7093/48,7093/48,True,True
Br-79,35,44,79,35,35,9,35,114,114,True,123,123,True,35,35,True,562243/192,562243/192,True,249203/96,249203/96,True,21279/64,21279/64,True,True
Kr-84,36,48,84,36,36,12,36,120,120,True,132,132,True,36,36,True,49819/16,49819/16,True,21363/8,21363/8,True,7093/16,7093/16,True,True
Ag-107,47,60,107,47,47,13,47,154,154,True,167,167,True,47,47,True,761519/192,761519/192,True,334655/96,334655/96,True,92209/192,92209/192,True,True
Sn-120,50,70,120,50,50,20,50,170,170,True,190,190,True,50,50,True,35585/8,35585/8,True,178045/48,178045/48,True,35465/48,35465/48,True,True
I-127,53,74,127,53,53,21,53,180,180,True,201,201,True,53,53,True,903859/192,903859/192,True,377453/96,377453/96,True,49651/64,49651/64,True,True
Xe-132,54,78,132,54,54,24,54,186,186,True,210,210,True,54,54,True,78287/16,78287/16,True,64101/16,64101/16,True,7093/8,7093/8,True,True
Cs-133,55,78,133,55,55,23,55,188,188,True,211,211,True,55,55,True,946561/192,946561/192,True,391711/96,391711/96,True,163139/192,163139/192,True,True
Au-197,79,118,197,79,79,39,79,276,276,True,315,315,True,79,79,True,1402049/192,1402049/192,True,562711/96,562711/96,True,92209/64,92209/64,True,True
Hg-200,80,120,200,80,80,40,80,280,280,True,320,320,True,80,80,True,177925/24,177925/24,True,35615/6,35615/6,True,35465/24,35465/24,True,True
Pb-208,82,126,208,82,82,44,82,290,290,True,334,334,True,82,82,True,92521/12,92521/12,True,292061/48,292061/48,True,78023/48,78023/48,True,True
Th-232,90,142,232,90,90,52,90,322,322,True,374,374,True,90,90,True,206393/24,206393/24,True,106859/16,106859/16,True,92209/48,92209/48,True,True
U-235,92,143,235,92,92,51,92,327,327,True,378,378,True,92,92,True,1672495/192,1672495/192,True,40961/6,40961/6,True,120581/64,120581/64,True,True
U-238,92,146,238,92,92,54,92,330,330,True,384,384,True,92,92,True,846923/96,846923/96,True,163853/24,163853/24,True,63837/32,63837/32,True,True
Ti-46,22,24,46,22,22,2,22,68,68,True,70,70,True,22,22,True,163691/96,163691/96,True,78299/48,78299/48,True,7093/96,7093/96,True,True
Cr-52,24,28,52,24,24,4,24,76,76,True,80,80,True,24,24,True,92521/48,92521/48,True,7119/4,7119/4,True,7093/48,7093/48,True,True
Mn-55,25,30,55,25,25,5,25,80,80,True,85,85,True,25,25,True,391435/192,391435/192,True,177985/96,177985/96,True,35465/192,35465/192,True,True
Co-59,27,32,59,27,27,5,27,86,86,True,91,91,True,27,27,True,419903/192,419903/192,True,64073/32,64073/32,True,35465/192,35465/192,True,True
Y-89,39,50,89,39,39,11,39,128,128,True,139,139,True,39,39,True,633413/192,633413/192,True,92565/32,92565/32,True,78023/192,78023/192,True,True
Zr-90,40,50,90,40,40,10,40,130,130,True,140,140,True,40,40,True,106755/32,106755/32,True,8900/3,8900/3,True,35465/96,35465/96,True,True
Ba-138,56,82,138,56,56,26,56,194,194,True,220,220,True,56,56,True,163691/32,163691/32,True,24929/6,24929/6,True,92209/96,92209/96,True,True
Nd-142,60,82,142,60,60,22,60,202,202,True,224,224,True,60,60,True,505307/96,505307/96,True,35607/8,35607/8,True,78023/96,78023/96,True,True
Sm-152,62,90,152,62,62,28,62,214,214,True,242,242,True,62,62,True,135223/24,135223/24,True,220795/48,220795/48,True,49651/48,49651/48,True,True
Gd-158,64,94,158,64,64,30,64,222,222,True,252,252,True,64,64,True,562243/96,562243/96,True,56981/12,56981/12,True,35465/32,35465/32,True,True
Dy-162,66,96,162,66,66,30,66,228,228,True,258,258,True,66,66,True,192159/32,192159/32,True,78347/16,78347/16,True,35465/32,35465/32,True,True
Er-166,68,98,166,68,68,30,68,234,234,True,264,264,True,68,68,True,590711/96,590711/96,True,121079/24,121079/24,True,35465/32,35465/32,True,True
Yb-172,70,102,172,70,70,32,70,242,242,True,274,274,True,70,70,True,306031/48,306031/48,True,249287/48,249287/48,True,7093/6,7093/6,True,True
Hf-178,72,106,178,72,72,34,72,250,250,True,284,284,True,72,72,True,633413/96,633413/96,True,5342,5342,True,120581/96,120581/96,True,True
W-184,74,110,184,74,74,36,74,258,258,True,294,294,True,74,74,True,163691/24,163691/24,True,263545/48,263545/48,True,21279/16,21279/16,True,True
Os-190,76,114,190,76,76,38,76,266,266,True,304,304,True,76,76,True,676115/96,676115/96,True,135337/24,135337/24,True,134767/96,134767/96,True,True
Pt-194,78,116,194,78,78,38,78,272,272,True,310,310,True,78,78,True,690349/96,690349/96,True,92597/16,92597/16,True,134767/96,134767/96,True,True
Hg-202,80,122,202,80,80,42,80,282,282,True,324,324,True,80,80,True,718817/96,718817/96,True,71233/12,71233/12,True,49651/32,49651/32,True,True
Pb-206,82,124,206,82,82,42,82,288,288,True,330,330,True,82,82,True,733051/96,733051/96,True,292049/48,292049/48,True,49651/32,49651/32,True,True
U-234,92,142,234,92,92,50,92,326,326,True,376,376,True,92,92,True,277563/32,277563/32,True,163841/24,163841/24,True,177325/96,177325/96,True,True
