isotope,Z,N,A,atomic_mass_u,mass_uncertainty_u,measurement_class,source_table,confidence_lane,notes
H-1,1,0,1,1.00782503207,1.0e-11,direct,AME2020,LANE_A_HARD_MEASURED,hydrogen-1 neutral atom; cyclotron-determined
H-2,1,1,2,2.01410177812,1.7e-11,direct,AME2020,LANE_A_HARD_MEASURED,deuterium neutral atom; direct Penning-trap
H-3,1,2,3,3.01604927790,2.4e-10,direct,AME2020,LANE_A_HARD_MEASURED,tritium neutral atom (radioactive); direct
He-3,2,1,3,3.01602932008,2.5e-11,direct,AME2020,LANE_A_HARD_MEASURED,helium-3 neutral atom; direct
He-4,2,2,4,4.00260325413,6.0e-11,direct,AME2020,LANE_A_HARD_MEASURED,helium-4 neutral atom (symmetric); direct
Li-6,3,3,6,6.01512288742,1.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,lithium-6 (symmetric); direct mass-spec
Li-7,3,4,7,7.01600343428,4.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,lithium-7; direct mass-spec
Be-8,4,4,8,8.00530509790,2.4e-10,evaluated,AME2020,LANE_B_EVALUATED,beryllium-8 (symmetric; short-lived); network-evaluated
Be-9,4,5,9,9.01218306500,8.2e-10,direct,AME2020,LANE_A_HARD_MEASURED,beryllium-9
B-10,5,5,10,10.01293695410,3.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,boron-10 (symmetric)
B-11,5,6,11,11.00930536450,4.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,boron-11
C-12,6,6,12,12.00000000000,0.0,definition,AME2020,LANE_A_HARD_MEASURED,carbon-12 anchor (exact by AME definition); anchor row
C-13,6,7,13,13.00335483521,2.3e-10,direct,AME2020,LANE_A_HARD_MEASURED,carbon-13
C-14,6,8,14,14.00324198843,4.0e-10,direct,AME2020,LANE_A_HARD_MEASURED,carbon-14 (radioactive); direct
N-14,7,7,14,14.00307400443,2.0e-10,direct,AME2020,LANE_A_HARD_MEASURED,nitrogen-14 (symmetric)
N-15,7,8,15,15.00010889823,6.3e-10,direct,AME2020,LANE_A_HARD_MEASURED,nitrogen-15
O-16,8,8,16,15.99491461957,1.7e-10,direct,AME2020,LANE_A_HARD_MEASURED,oxygen-16 (symmetric; doubly magic)
O-17,8,9,17,16.99913175650,6.9e-10,direct,AME2020,LANE_A_HARD_MEASURED,oxygen-17
O-18,8,10,18,17.99915961286,7.6e-10,direct,AME2020,LANE_A_HARD_MEASURED,oxygen-18
