isotope,Z,N,A,N_minus_Z,B_obs_u,B_pred_u,alpha,B_pred_rescaled_u,rescale_residual_MeV,abs_rescale_residual_MeV
H-2,1,1,2,0,-0.014101778120,0.000003903018,18.545143884440,0.000072382027,-13.203145131906902263547074808450469703845596768908462364816471301179924833965453,13.203145131906902263547074808450469703845596768908462364816471301179924833965453
H-3,1,2,3,1,-0.016049277900,0.000055868719,18.545143884440,0.001036093424,-15.914920875811006952739173256378685257303724582726167010263551871924444888967286,15.914920875811006952739173256378685257303724582726167010263551871924444888967286
He-4,2,2,4,0,-0.002603254130,0.000007806036,18.545143884440,0.000144764054,-2.5597624501614902363285496169009394076911935378169247296329426023598496679309053,2.5597624501614902363285496169009394076911935378169247296329426023598496679309053
Li-6,3,3,6,0,-0.015122887420,0.000011709053,18.545143884440,0.000217146081,-14.289149165791577376597224425351409111536790306725387094449413903539774501896358,14.289149165791577376597224425351409111536790306725387094449413903539774501896358
Li-7,3,4,7,1,-0.016003434280,0.000063674754,18.545143884440,0.001180857478,-16.007064666433586772811322873279624664994918120543091739896494474284294556898192,16.007064666433586772811322873279624664994918120543091739896494474284294556898192
Be-9,4,5,9,1,-0.012183065000,0.000067577772,18.545143884440,0.001253239505,-12.515837028125118183882397681730094368840514889451554104712965775464219390863644,12.515837028125118183882397681730094368840514889451554104712965775464219390863644
B-10,5,5,10,0,-0.012936954100,0.000019515089,18.545143884440,0.000361910135,-12.387812241403483372915374042252348519227983844542311824082356505899624169827264,12.387812241403483372915374042252348519227983844542311824082356505899624169827264
B-11,5,6,11,1,-0.009305364500,0.000071480790,18.545143884440,0.001325621531,-9.9026997023727688991874724901805640726861116583600164695294370766441442248290972,9.9026997023727688991874724901805640726861116583600164695294370766441442248290972
C-13,6,7,13,1,-0.003354835210,0.000075383808,18.545143884440,0.001398003558,-4.4272407957100906015545472986310337765317084272684788343459083778240690587945498,4.4272407957100906015545472986310337765317084272684788343459083778240690587945498
C-14,6,8,14,2,-0.003241988430,0.000127349508,18.545143884440,0.002361714955,-5.2198160810531584743026457465592493299898362410861834797929889485685891137963836,5.2198160810531584743026457465592493299898362410861834797929889485685891137963836
N-14,7,7,14,0,-0.003074004430,0.000027321125,18.545143884440,0.000506674189,-3.3353806490862551808745236591532879269191773823592365537152991082594738377581685,3.3353806490862551808745236591532879269191773823592365537152991082594738377581685
N-15,7,8,15,1,-0.000108898230,0.000079286825,18.545143884440,0.001470385585,-1.4710933982566677797803421070815034803773051961769411991623796790039938927600024,1.4710933982566677797803421070815034803773051961769411991623796790039938927600024
O-16,8,8,16,0,0.005085380430,0.000031224143,18.545143884440,0.000579056215,4.1976139678981600734974015323962423692352258487323010814682295905606013282763789,4.1976139678981600734974015323962423692352258487323010814682295905606013282763789
O-17,8,9,17,1,0.000868243500,0.000083189843,18.545143884440,0.001542767612,-0.62831516340675505540109691553197318422290196508540356397885098018391872672545506,0.62831516340675505540109691553197318422290196508540356397885098018391872672545506
O-18,8,10,18,2,0.000840387140,0.000135155544,18.545143884440,0.002506479009,-1.5519545794439079124585953634601887376810297789031082094259315509284387817272890,1.5519545794439079124585953634601887376810297789031082094259315509284387817272890
F-19,9,10,19,1,0.001596837270,0.000087092861,18.545143884440,0.001615149639,-0.017057862010799707879771723982442888068498733993865928795322281363843560690907705,0.017057862010799707879771723982442888068498733993865928795322281363843560690907705
Ne-20,10,10,20,0,0.007559823830,0.000039030178,18.545143884440,0.000723820269,6.3676963007472989328572519154953029615440323109153763518352869882007516603454735,6.3676963007472989328572519154953029615440323109153763518352869882007516603454735
Ne-22,10,12,22,2,0.008614885610,0.000142961580,18.545143884440,0.002651243063,5.5550972507816494366090550196388718546277766832799670609411258467117115503418057,5.5550972507816494366090550196388718546277766832799670609411258467117115503418057
Na-23,11,12,23,1,0.010230718040,0.000094898897,18.545143884440,0.001759913693,7.8905034243674834480160786591166177042403077281892093415717351162763067713781870,7.8905034243674834480160786591166177042403077281892093415717351162763067713781870
Mg-24,12,12,24,0,0.014958302970,0.000046836214,18.545143884440,0.000868584323,13.124488381192203652391102298594363553852838773098451622202344385840901992414568,13.124488381192203652391102298594363553852838773098451622202344385840901992414568
Mg-25,12,13,25,1,0.014163024100,0.000098801914,18.545143884440,0.001832295720,11.485999501626709332187003850666148000394710959280746976755263815096381937412735,11.485999501626709332187003850666148000394710959280746976755263815096381937412735
Mg-26,12,14,26,2,0.017407031000,0.000150767615,18.545143884440,0.002796007117,13.610081081103468246416905402737932446936583145463042331308183244351861882410900,13.610081081103468246416905402737932446936583145463042331308183244351861882410900
