Z,Symbol,N,A,anchor,p,n,e,u,d,G_sub,Q_sub,Q_mass,chi,m_0_baseline_u,GR,retained_7G,released_G,stability,radix_cycle,selected_depth
1,H,1,2,H-2,1,1,1,3,3,9.26692708,74.13541667,74.13541667,1.00000000,2.0000,74.135417,64.868490,9.266927,STABLE,1,0
2,He,2,4,He-4,2,2,2,6,6,18.53385417,148.27083333,148.27083333,1.00000000,4.0000,148.270833,129.736979,18.533854,STABLE,2,1
3,Li,3,6,Li-6,3,3,3,9,9,27.80078125,222.40625000,222.40625000,1.00000000,6.0000,222.406250,194.605469,27.800781,STABLE,3,2
4,Be,5,9,Be-9,4,5,4,13,14,37.08333333,296.66666667,333.60937500,0.88926358,9.0000,296.666667,259.583333,37.083333,STABLE,4,3
5,B,6,11,B-11,5,6,5,16,17,46.35026042,370.80208333,407.74479167,0.90939747,11.0000,370.802083,324.451823,46.350260,STABLE,5,4
6,C,8,14,C-14,6,8,6,20,22,55.63281250,445.06250000,518.94791667,0.85762460,14.0000,445.062500,389.429688,55.632812,STABLE,6,5
7,N,10,17,N-17,7,10,7,24,27,64.91536458,519.32291667,630.15104167,0.82412451,17.0000,519.322917,454.407552,64.915365,STABLE,7,6
8,O,12,20,O-20,8,12,8,28,32,74.19791667,593.58333333,741.35416667,0.80067444,20.0000,593.583333,519.385417,74.197917,STABLE,8,7
9,F,15,24,F-24,9,15,9,33,39,83.49609375,667.96875000,889.62500000,0.75084305,24.0000,667.968750,584.472656,83.496094,STABLE,9,8
10,Ne,17,27,Ne-27,10,17,10,37,44,92.77864583,742.22916667,1000.82812500,0.74161502,27.0000,742.229167,649.450521,92.778646,STABLE,10,9
11,Na,20,31,Na-31,11,20,11,42,51,102.07682292,816.61458333,1149.09895833,0.71065645,31.0000,816.614583,714.537760,102.076823,STABLE,11,10
12,Mg,23,35,Mg-35,12,23,12,47,58,111.37500000,891.00000000,1297.36979167,0.68677412,35.0000,891.000000,779.625000,111.375000,STABLE,12,11
13,Al,13,26,Al-26,13,13,13,39,39,120.47005208,963.76041667,963.76041667,1.00000000,26.0000,963.760417,843.290365,120.470052,STABLE,1,0
14,Si,15,29,Si-29,14,15,14,43,44,129.75260417,1038.02083333,1074.96354167,0.96563352,29.0000,1038.020833,908.268229,129.752604,STABLE,2,1
15,P,17,32,P-32,15,17,15,47,49,139.03515625,1112.28125000,1186.16666667,0.93771076,32.0000,1112.281250,973.246094,139.035156,STABLE,3,2
16,S,20,36,S-36,16,20,16,52,56,148.33333333,1186.66666667,1334.43750000,0.88926358,36.0000,1186.666667,1038.333333,148.333333,STABLE,4,3
17,Cl,22,39,Cl-39,17,22,17,56,61,157.61588542,1260.92708333,1445.64062500,0.87222721,39.0000,1260.927083,1103.311198,157.615885,STABLE,5,4
18,Ar,25,43,Ar-43,18,25,18,61,68,166.91406250,1335.31250000,1593.91145833,0.83775827,43.0000,1335.312500,1168.398438,166.914062,STABLE,6,5
19,K,28,47,K-47,19,28,19,66,75,176.21223958,1409.69791667,1742.18229167,0.80915638,47.0000,1409.697917,1233.485677,176.212240,STABLE,7,6
20,Ca,31,51,Ca-51,20,31,20,71,82,185.51041667,1484.08333333,1890.45312500,0.78504106,51.0000,1484.083333,1298.572917,185.510417,STABLE,8,7
21,Sc,35,56,Sc-56,21,35,21,77,91,194.82421875,1558.59375000,2075.79166667,0.75084305,56.0000,1558.593750,1363.769531,194.824219,STABLE,9,8
22,Ti,38,60,Ti-60,22,38,22,82,98,204.12239583,1632.97916667,2224.06250000,0.73423259,60.0000,1632.979167,1428.856771,204.122396,STABLE,10,9
23,V,42,65,V-65,23,42,23,88,107,213.43619792,1707.48958333,2409.40104167,0.70867803,65.0000,1707.489583,1494.053385,213.436198,STABLE,11,10
24,Cr,46,70,Cr-70,24,46,24,94,116,222.75000000,1782.00000000,2594.73958333,0.68677412,70.0000,1782.000000,1559.250000,222.750000,STABLE,12,11
25,Mn,25,50,Mn-50,25,25,25,75,75,231.67317708,1853.38541667,1853.38541667,1.00000000,50.0000,1853.385417,1621.712240,231.673177,STABLE,1,0
26,Fe,28,54,Fe-54,26,28,26,80,82,240.97135417,1927.77083333,2001.65625000,0.96308786,54.0000,1927.770833,1686.799479,240.971354,STABLE,2,1
27,Co,31,58,Co-58,27,31,27,85,89,250.26953125,2002.15625000,2149.92708333,0.93126705,58.0000,2002.156250,1751.886719,250.269531,STABLE,3,2
28,Ni,35,63,Ni-63,28,35,28,91,98,259.58333333,2076.66666667,2335.26562500,0.88926358,63.0000,2076.666667,1817.083333,259.583333,STABLE,4,3
29,Cu,38,67,Cu-67,29,38,29,96,105,268.88151042,2151.05208333,2483.53645833,0.86612462,67.0000,2151.052083,1882.170573,268.881510,STABLE,5,4
30,Zn,42,72,Zn-72,30,42,30,102,114,278.19531250,2225.56250000,2668.87500000,0.83389537,72.0000,2225.562500,1947.367188,278.195312,STABLE,6,5
31,Ga,46,77,Ga-77,31,46,31,108,123,287.50911458,2300.07291667,2854.21354167,0.80585173,77.0000,2300.072917,2012.563802,287.509115,STABLE,7,6
