Z,Symbol,engine_N,engine_A,engine_anchor,G_sub,Q_sub,Q_mass,chi,m_0_baseline_u,obs_isotope,obs_m_u,obs_B_u,obs_B_MeV,engine_matches_obs,stability
1,H,1,2,H-2,9.26692708,74.13541667,74.13541667,1.00000000,2.0000,H-2,2.014101778,-0.014101778,-13.1357,EXACT,STABLE
2,He,2,4,He-4,18.53385417,148.27083333,148.27083333,1.00000000,4.0000,He-4,4.002603254,-0.002603254,-2.4249,EXACT,STABLE
3,Li,3,6,Li-6,27.80078125,222.40625000,222.40625000,1.00000000,6.0000,Li-6,6.015122887,-0.015122887,-14.0869,EXACT,STABLE
4,Be,5,9,Be-9,37.08333333,296.66666667,333.60937500,0.88926358,9.0000,Be-9,9.012183065,-0.012183065,-11.3485,EXACT,STABLE
5,B,6,11,B-11,46.35026042,370.80208333,407.74479167,0.90939747,11.0000,B-11,11.009305364,-0.009305364,-8.6679,EXACT,STABLE
6,C,8,14,C-14,55.63281250,445.06250000,518.94791667,0.85762460,14.0000,C-14,14.003241988,-0.003241988,-3.0199,EXACT,STABLE
7,N,10,17,N-17,64.91536458,519.32291667,630.15104167,0.82412451,17.0000,N-14,14.003074004,-0.003074004,-2.8634,ALT_Z,STABLE
8,O,12,20,O-20,74.19791667,593.58333333,741.35416667,0.80067444,20.0000,O-16,15.994914620,0.005085380,4.7370,ALT_Z,STABLE
9,F,15,24,F-24,83.49609375,667.96875000,889.62500000,0.75084305,24.0000,F-19,18.998403163,0.001596837,1.4874,ALT_Z,STABLE
10,Ne,17,27,Ne-27,92.77864583,742.22916667,1000.82812500,0.74161502,27.0000,Ne-20,19.992440176,0.007559824,7.0419,ALT_Z,STABLE
11,Na,20,31,Na-31,102.07682292,816.61458333,1149.09895833,0.71065645,31.0000,Na-23,22.989769282,0.010230718,9.5299,ALT_Z,STABLE
12,Mg,23,35,Mg-35,111.37500000,891.00000000,1297.36979167,0.68677412,35.0000,Mg-24,23.985041697,0.014958303,13.9336,ALT_Z,STABLE
13,Al,13,26,Al-26,120.47005208,963.76041667,963.76041667,1.00000000,26.0000,Al-27,26.981538530,0.018461470,17.1968,ALT_Z,STABLE
14,Si,15,29,Si-29,129.75260417,1038.02083333,1074.96354167,0.96563352,29.0000,Si-28,27.976926535,0.023073465,21.4928,ALT_Z,STABLE
15,P,17,32,P-32,139.03515625,1112.28125000,1186.16666667,0.93771076,32.0000,P-31,30.973761998,0.026238002,24.4405,ALT_Z,STABLE
16,S,20,36,S-36,148.33333333,1186.66666667,1334.43750000,0.88926358,36.0000,S-32,31.972071174,0.027928826,26.0155,ALT_Z,STABLE
17,Cl,22,39,Cl-39,157.61588542,1260.92708333,1445.64062500,0.87222721,39.0000,Cl-35,34.968852680,0.031147320,29.0135,ALT_Z,STABLE
18,Ar,25,43,Ar-43,166.91406250,1335.31250000,1593.91145833,0.83775827,43.0000,Ar-40,39.962383122,0.037616878,35.0399,ALT_Z,STABLE
19,K,28,47,K-47,176.21223958,1409.69791667,1742.18229167,0.80915638,47.0000,,,,,,STABLE
20,Ca,31,51,Ca-51,185.51041667,1484.08333333,1890.45312500,0.78504106,51.0000,Ca-40,39.962590866,0.037409134,34.8464,ALT_Z,STABLE
21,Sc,35,56,Sc-56,194.82421875,1558.59375000,2075.79166667,0.75084305,56.0000,,,,,,STABLE
