coefficient,value_u,value_MeV
c_V,0.008636593335367067,8.0449357568943
c_S,0.01961667386520248,18.272816014532655
c_C,0.0007435545330479916,0.6926166623618611
c_P,0.0037044850236346966,3.450705952018934
c_A_locked,0.0007716049382716049,0.7187454493981481
train_RMS_MeV,0.0029270133847522964,2.7264957056011663
test_RMS_MeV,0.0037312541431344724,3.4756412289599514
train_R2,0.9945763694904115,0.9945763694904115
test_R2,0.9854108581672149,0.9854108581672149
train_ratio_to_baseline,1.0001924786838268,1.0001924786838268
test_ratio_to_baseline,0.9868942109335853,0.9868942109335853
