candidate_id,presence,change_class,attribution,max_rel_delta,deltas
QP093A-0001,in_both,unchanged,,0,
QP093A-0002,in_both,unchanged,,0,
QP093A-0003,in_both,unchanged,,0,
QP093A-0004,in_both,unchanged,,0,
QP093A-0005,in_both,unchanged,,0,
QP093A-0006,in_both,unchanged,,0,
QP093A-0007,in_both,unchanged,,0,
QP093A-0008,in_both,unchanged,,0,
QP093A-0009,in_both,unchanged,,0,
QP093A-0010,in_both,unchanged,,0,
QP093A-0011,in_both,unchanged,,0,
QP093A-0012,in_both,unchanged,,0,
QP093A-0013,in_both,unchanged,,0,
QP093A-0014,in_both,unchanged,,0,
QP093A-0015,in_both,unchanged,,0,
QP093A-0016,in_both,unchanged,,0,
QP093A-0017,in_both,unchanged,,0,
QP093A-0018,in_both,unchanged,,0,
QP093A-0019,in_both,unchanged,,0,
QP093A-0020,in_both,unchanged,,0,
QP093A-0021,in_both,unchanged,,0,
QP093A-0022,in_both,unchanged,,0,
QP093A-0023,in_both,unchanged,,0,
QP093A-0024,in_both,unchanged,,0,
QP093A-0025,in_both,unchanged,,0,
QP093A-0026,in_both,unchanged,,0,
QP093A-0027,in_both,unchanged,,0,
QP093A-0028,in_both,unchanged,,0,
QP093A-0029,in_both,unchanged,,0,
QP093A-0030,in_both,unchanged,,0,
QP093A-0031,in_both,unchanged,,0,
QP093A-0032,in_both,unchanged,,0,
QP093A-0033,in_both,unchanged,,0,
QP093A-0034,in_both,unchanged,,0,
QP093A-0035,in_both,unchanged,,0,
QP093A-0036,in_both,unchanged,,0,
QP093A-0037,in_both,unchanged,,0,
QP093A-0038,in_both,unchanged,,0,
QP093A-0039,in_both,unchanged,,0,
QP093A-0040,in_both,unchanged,,0,
QP093A-0041,in_both,unchanged,,0,
QP093A-0042,in_both,unchanged,,0,
QP093A-0043,in_both,unchanged,,0,
QP093A-0044,in_both,unchanged,,0,
QP093A-0045,in_both,unchanged,,0,
QP093A-0046,in_both,unchanged,,0,
QP093A-0047,in_both,unchanged,,0,
QP093A-0048,in_both,unchanged,,0,
QP093A-0049,in_both,unchanged,,0,
QP093A-0050,in_both,unchanged,,0,
QP093A-0051,in_both,unchanged,,0,
QP093A-0052,in_both,unchanged,,0,
QP093A-0053,in_both,unchanged,,0,
QP093A-0054,in_both,unchanged,,0,
QP093A-0055,in_both,unchanged,,0,
QP093A-0056,in_both,unchanged,,0,
QP093A-0057,in_both,unchanged,,0,
QP093A-0058,in_both,unchanged,,0,
QP093A-0059,in_both,unchanged,,0,
QP093A-0060,in_both,unchanged,,0,
QP093A-0061,in_both,unchanged,,0,
QP093A-0062,in_both,unchanged,,0,
QP093A-0063,in_both,unchanged,,0,
QP093A-0064,in_both,unchanged,,0,
QP093A-0065,in_both,unchanged,,0,
QP093A-0066,in_both,unchanged,,0,
QP093A-0067,in_both,unchanged,,0,
QP093A-0068,in_both,unchanged,,0,
QP093A-0069,in_both,unchanged,,0,
QP093A-0070,in_both,unchanged,,0,
QP093A-0071,in_both,unchanged,,0,
QP093A-0072,in_both,unchanged,,0,
QP093A-0073,in_both,unchanged,,0,
QP093A-0074,in_both,unchanged,,0,
QP093A-0075,in_both,unchanged,,0,
QP093A-0076,in_both,unchanged,,0,
QP093A-0077,in_both,unchanged,,0,
QP093A-0078,in_both,unchanged,,0,
QP093A-0079,in_both,unchanged,,0,
QP093A-0080,in_both,unchanged,,0,
QP093A-0081,in_both,unchanged,,0,
QP093A-0082,in_both,unchanged,,0,
QP093A-0083,in_both,unchanged,,0,
QP093A-0084,in_both,unchanged,,0,
QP093A-0085,in_both,unchanged,,0,
QP093A-0086,in_both,unchanged,,0,
QP093A-0087,in_both,unchanged,,0,
QP093A-0088,in_both,unchanged,,0,
QP093A-0089,in_both,unchanged,,0,
QP093A-0090,in_both,unchanged,,0,
QP093A-0091,in_both,unchanged,,0,
QP093A-0092,in_both,unchanged,,0,
QP093A-0093,in_both,unchanged,,0,
QP093A-0094,in_both,unchanged,,0,
QP093A-0095,in_both,unchanged,,0,
QP093A-0096,in_both,unchanged,,0,
QP093A-0097,in_both,unchanged,,0,
QP093A-0098,in_both,unchanged,,0,
QP093A-0099,in_both,unchanged,,0,
QP093A-0100,in_both,unchanged,,0,
QP093A-0101,in_both,unchanged,,0,
QP093A-0102,in_both,unchanged,,0,
QP093A-0103,in_both,unchanged,,0,
QP093A-0104,in_both,unchanged,,0,
QP093A-0105,in_both,unchanged,,0,
QP093A-0106,in_both,unchanged,,0,
QP093A-0107,in_both,unchanged,,0,
QP093A-0108,in_both,unchanged,,0,
QP093A-0109,in_both,unchanged,,0,
QP093A-0110,in_both,unchanged,,0,
QP093A-0111,in_both,unchanged,,0,
QP093A-0112,in_both,unchanged,,0,
QP093A-0113,in_both,unchanged,,0,
QP093A-0114,in_both,unchanged,,0,
QP093A-0115,in_both,unchanged,,0,
QP093A-0116,in_both,unchanged,,0,
QP093A-0117,in_both,unchanged,,0,
QP093A-0118,in_both,unchanged,,0,
QP093A-0119,in_both,unchanged,,0,
QP093A-0120,in_both,unchanged,,0,
QP093A-0121,in_both,unchanged,,0,
QP093A-0122,in_both,unchanged,,0,
QP093A-0123,in_both,unchanged,,0,
QP093A-0124,in_both,unchanged,,0,
QP093A-0125,in_both,unchanged,,0,
QP093A-0126,in_both,unchanged,,0,
QP093A-0127,in_both,unchanged,,0,
QP093A-0128,in_both,unchanged,,0,
QP093A-0129,in_both,unchanged,,0,
QP093A-0130,in_both,unchanged,,0,
QP093A-0131,in_both,unchanged,,0,
QP093A-0132,in_both,unchanged,,0,
QP093A-0133,in_both,unchanged,,0,
QP093A-0134,in_both,unchanged,,0,
QP093A-0135,in_both,unchanged,,0,
QP093A-0136,in_both,unchanged,,0,
QP093A-0137,in_both,unchanged,,0,
QP093A-0138,in_both,unchanged,,0,
QP093A-0139,in_both,unchanged,,0,
QP093A-0140,in_both,unchanged,,0,
QP093A-0141,in_both,unchanged,,0,
QP093A-0142,in_both,unchanged,,0,
QP093A-0143,in_both,unchanged,,0,
QP093A-0144,in_both,unchanged,,0,
QP093A-0145,in_both,unchanged,,0,
QP093A-0146,in_both,unchanged,,0,
QP093A-0147,in_both,unchanged,,0,
QP093A-0148,in_both,unchanged,,0,
QP093A-0149,in_both,unchanged,,0,
QP093A-0150,in_both,unchanged,,0,
QP093A-0151,in_both,unchanged,,0,
QP093A-0152,in_both,unchanged,,0,
QP093A-0153,in_both,unchanged,,0,
QP093A-0154,in_both,unchanged,,0,
QP093A-0155,in_both,unchanged,,0,
QP093A-0156,in_both,unchanged,,0,
QP093A-0157,in_both,unchanged,,0,
QP093A-0158,in_both,unchanged,,0,
QP093A-0159,in_both,unchanged,,0,
QP093A-0160,in_both,unchanged,,0,
QP093A-0161,in_both,unchanged,,0,
QP093A-0162,in_both,unchanged,,0,
QP093A-0163,in_both,unchanged,,0,
QP093A-0164,in_both,unchanged,,0,
QP093A-0165,in_both,unchanged,,0,
QP093A-0166,in_both,unchanged,,0,
QP093A-0167,in_both,unchanged,,0,
QP093A-0168,in_both,unchanged,,0,
QP093A-0169,in_both,unchanged,,0,
QP093A-0170,in_both,unchanged,,0,
QP093A-0171,in_both,unchanged,,0,
QP093A-0172,in_both,unchanged,,0,
QP093A-0173,in_both,unchanged,,0,
QP093A-0174,in_both,unchanged,,0,
QP093A-0175,in_both,unchanged,,0,
QP093A-0176,in_both,unchanged,,0,
QP093A-0177,in_both,unchanged,,0,
QP093A-0178,in_both,unchanged,,0,
QP093A-0179,in_both,unchanged,,0,
QP093A-0180,in_both,unchanged,,0,
QP093A-0181,in_both,unchanged,,0,
QP093A-0182,in_both,unchanged,,0,
QP093A-0183,in_both,unchanged,,0,
QP093A-0184,in_both,unchanged,,0,
QP093A-0185,in_both,unchanged,,0,
QP093A-0186,in_both,unchanged,,0,
QP093A-0187,in_both,unchanged,,0,
QP093A-0188,in_both,unchanged,,0,
QP093A-0189,in_both,unchanged,,0,
QP093A-0190,in_both,unchanged,,0,
QP093A-0191,in_both,unchanged,,0,
QP093A-0192,in_both,unchanged,,0,
QP093A-0193,in_both,unchanged,,0,
QP093A-0194,in_both,unchanged,,0,
QP093A-0195,in_both,unchanged,,0,
QP093A-0196,in_both,unchanged,,0,
QP093A-0197,in_both,unchanged,,0,
QP093A-0198,in_both,unchanged,,0,
QP093A-0199,in_both,unchanged,,0,
QP093A-0200,in_both,unchanged,,0,
QP093A-0201,in_both,unchanged,,0,
QP093A-0202,in_both,unchanged,,0,
QP093A-0203,in_both,unchanged,,0,
QP093A-0204,in_both,unchanged,,0,
QP093A-0205,in_both,unchanged,,0,
QP093A-0206,in_both,unchanged,,0,
QP093A-0207,in_both,unchanged,,0,
QP093A-0208,in_both,unchanged,,0,
QP093A-0209,in_both,unchanged,,0,
QP093A-0210,in_both,unchanged,,0,
QP093A-0211,in_both,unchanged,,0,
QP093A-0212,in_both,unchanged,,0,
QP093A-0213,in_both,unchanged,,0,
QP093A-0214,in_both,unchanged,,0,
QP093A-0215,in_both,unchanged,,0,
QP093A-0216,in_both,unchanged,,0,
QP093A-0217,in_both,unchanged,,0,
QP093A-0218,in_both,unchanged,,0,
QP093A-0219,in_both,unchanged,,0,
QP093A-0220,in_both,unchanged,,0,
QP093A-0221,in_both,unchanged,,0,
QP093A-0222,in_both,unchanged,,0,
QP093A-0223,in_both,unchanged,,0,
QP093A-0224,in_both,unchanged,,0,
QP093A-0225,in_both,unchanged,,0,
QP093A-0226,in_both,unchanged,,0,
QP093A-0227,in_both,unchanged,,0,
QP093A-0228,in_both,unchanged,,0,
