set,isotope,Z,N,A,B_u_obs_MeV,B_u_pred_MeV,residual_MeV
train,O-16,8,8,16,4.737002,2.735330,-2.001672
train,O-17,8,9,17,0.808764,-6.645403,-7.454167
train,O-18,8,10,18,0.782816,0.550915,-0.231901
train,F-19,9,10,19,1.487444,-3.174481,-4.661925
train,Ne-20,10,10,20,7.041931,7.793881,0.751950
train,Ne-22,10,12,22,8.024715,8.064339,0.039624
train,Na-23,11,12,23,9.529854,3.892068,-5.637786
train,Mg-24,12,12,24,13.933571,13.470858,-0.462713
train,Mg-25,12,13,25,13.192773,7.446011,-5.746763
train,Mg-26,12,14,26,16.214547,15.509915,-0.704632
train,Al-27,13,14,27,17.196750,10.991670,-6.205080
train,Si-28,14,14,28,21.492797,19.434199,-2.058597
train,P-31,15,16,31,24.440544,18.007435,-6.433109
train,S-32,16,16,32,26.015536,25.481763,-0.533773
train,Cl-35,17,18,35,29.013545,24.856535,-4.157010
train,Ar-40,18,22,40,35.039900,35.282506,0.242606
train,Ca-40,20,20,40,34.846388,37.342317,2.495930
train,Ti-48,22,26,48,48.491739,50.631052,2.139313
train,Fe-56,26,30,56,60.605310,64.031119,3.425809
train,Ni-58,28,30,58,60.228145,66.538863,6.310718
train,Cu-63,29,34,63,65.579309,67.920653,2.341345
train,Zn-64,30,34,64,66.003800,75.570499,9.566700
train,Br-79,35,44,79,76.068510,81.706134,5.637625
train,Kr-84,36,48,84,82.439343,80.512616,-1.926727
train,Ag-107,47,60,107,88.401752,104.353397,15.951645
train,Sn-120,50,70,120,91.098605,90.288782,-0.809823
train,I-127,53,74,127,88.983862,89.841473,0.857611
train,Xe-132,54,78,132,89.278968,80.439345,-8.839623
train,Cs-133,55,78,133,88.070942,85.041578,-3.029364
train,Au-197,79,118,197,31.140970,36.807461,5.666491
train,Hg-200,80,120,200,29.504237,34.533964,5.029727
train,Pb-208,82,126,208,21.748290,10.214811,-11.533478
train,Th-232,90,142,232,-35.447077,-39.471313,-4.024237
train,U-235,92,143,235,-40.920450,-33.584896,7.335554
train,U-238,92,146,238,-47.308972,-52.982105,-5.673133
test,Ti-46,22,24,46,44.128270,49.724165,5.595895
test,Cr-52,24,28,52,55.419508,57.567531,2.148023
test,Mn-55,25,30,55,57.712543,54.595784,-3.116759
test,Co-59,27,32,59,62.229838,61.526274,-0.703565
test,Y-89,39,50,89,87.711202,89.079234,1.368032
test,Zr-90,40,50,90,88.772548,98.402792,9.630244
test,Ba-138,56,82,138,88.261806,74.438740,-13.823066
test,Nd-142,60,82,142,85.950056,103.484541,17.534484
test,Sm-152,62,90,152,74.762978,78.087886,3.324908
test,Gd-158,64,94,158,70.689970,70.774807,0.084838
test,Dy-162,66,96,162,68.181170,74.814877,6.633707
test,Er-166,68,98,166,64.924145,78.165654,13.241509
test,Yb-172,70,102,172,59.255457,70.137932,10.882475
test,Hf-178,72,106,178,52.435366,61.507170,9.071804
test,W-184,74,110,184,45.705453,52.302673,6.597219
test,Os-190,76,114,190,38.707826,42.550027,3.842201
test,Pt-194,78,116,194,34.760102,44.918723,10.158622
test,Hg-202,80,122,202,27.345310,21.487435,-5.857875
test,Pb-206,82,124,206,23.785506,23.633333,-0.152173
test,U-234,92,142,234,-38.144959,-23.863200,14.281759
