label,Z,N,A,u,d,e,ghz_count,multientropy_arg_Fraction,multientropy_arg_float,G3_1_dimensionless
H-1,1,0,1,2,1,1,1,3/2,1.5000000000,0.1013662770
H-2,1,1,2,3,3,1,1,16/7,2.2857142857,0.2066696433
He-3,2,1,3,5,4,2,2,21/11,1.9090909091,0.1616567912
He-4,2,2,4,6,6,2,2,16/7,2.2857142857,0.2066696433
Li-6,3,3,6,9,9,3,3,16/7,2.2857142857,0.2066696433
Be-8,4,4,8,12,12,4,4,16/7,2.2857142857,0.2066696433
B-10,5,5,10,15,15,5,5,16/7,2.2857142857,0.2066696433
C-12,6,6,12,18,18,6,6,16/7,2.2857142857,0.2066696433
N-14,7,7,14,21,21,7,7,16/7,2.2857142857,0.2066696433
O-16,8,8,16,24,24,8,8,16/7,2.2857142857,0.2066696433
Ne-20,10,10,20,30,30,10,10,16/7,2.2857142857,0.2066696433
Mg-24,12,12,24,36,36,12,12,16/7,2.2857142857,0.2066696433
Ar-36,18,18,36,54,54,18,18,16/7,2.2857142857,0.2066696433
Ca-40,20,20,40,60,60,20,20,16/7,2.2857142857,0.2066696433
Fe-56,26,30,56,82,86,26,26,3024/1261,2.3980967486,0.2186688503
Sn-120,50,70,120,170,190,50,50,528/205,2.5756097561,0.2365215761
Au-197,79,118,197,276,315,79,79,13987/5293,2.6425467599,0.2429357835
Pb-208,82,126,208,290,334,82,82,38688/14473,2.6731154564,0.2458111574
U-238,92,146,238,330,384,92,92,25109/9269,2.7089222138,0.2491377122
Og-294,118,176,294,412,470,118,118,7791/2950,2.6410169492,0.2427910127
Ubh-304 Jerroldium,126,178,304,430,482,126,126,84512/32697,2.5847019604,0.2374025514
