label,Z,N,matter_horizon,doubly_magic,carrier_stable,noble,z_fold,matches_all_five
He-4,2,2,False,True,True,True,True,False
Li-6,3,3,False,False,True,False,True,False
C-12,6,6,False,False,True,False,True,False
Ar-36,18,18,False,False,True,True,True,False
Be-8,4,4,False,False,False,False,True,False
F-18,9,9,False,False,False,False,True,False
Co-54,27,27,False,False,False,False,True,False
Pb-208,82,126,False,True,False,False,False,False
Sn-132,50,82,False,True,False,False,False,False
Au-197,79,118,False,False,False,False,False,False
Ca-48,20,28,False,True,False,False,False,False
O-16,8,8,False,True,False,False,True,False
