Z,symbol,name_common,N,A,isotope,atomic_mass_u,ame_flag,ame_element,B_u_obs_MeV,B_u_base_MeV,op_contribution_MeV,op_82pre_MeV,op_3d_odd_MeV,op_dm_sat_MeV,op_ms_fill_MeV,B_u_final_MeV,residual_MeV,row_status,notes
1,H,Hydrogen,0,1,H-1,1.00782503190,measured,H,-7.288971,-36.979317,0.000000,-0.000000,0.000000,0.000000,-0.000000,-36.979317,-29.690346,extended_observed,
2,He,Helium,2,4,He-4,4.00260325413,measured,He,-2.424916,16.133001,0.000000,-0.000000,0.000000,0.000000,-0.000000,16.133001,18.557917,extended_observed,
3,Li,Lithium,4,7,Li-7,7.01600343426,measured,Li,-14.907105,-14.483998,0.000000,-0.000000,0.000000,0.000000,-0.000000,-14.483998,0.423106,extended_observed,
4,Be,Beryllium,5,9,Be-9,9.01218306200,measured,Be,-11.348450,-13.488891,0.000000,-0.000000,0.000000,0.000000,-0.000000,-13.488891,-2.140441,extended_observed,
5,B,Boron,6,11,B-11,11.00930516600,measured,B,-8.667707,-11.020343,0.000000,-0.000000,0.000000,0.000000,-0.000000,-11.020343,-2.352636,extended_observed,
6,C,Carbon,6,12,C-12,12.00000000000,measured,C,0.000000,-0.643533,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.643533,-0.643533,extended_observed,
7,N,Nitrogen,7,14,N-14,14.00307400425,measured,N,-2.863417,-42.074396,0.000000,-0.000000,0.000000,0.000000,-0.000000,-42.074396,-39.210979,extended_observed,
8,O,Oxygen,8,16,O-16,15.99491461926,measured,O,4.737002,5.628716,0.000000,-0.000000,0.000000,0.000000,-0.000000,5.628716,0.891714,cr274_training,
9,F,Fluorine,10,19,F-19,18.99840316207,measured,F,1.487445,3.496684,0.000000,-0.000000,0.000000,0.000000,-0.000000,3.496684,2.009238,cr274_training,
10,Ne,Neon,10,20,Ne-20,19.99244017525,measured,Ne,7.041932,6.686339,0.000000,-0.000000,0.000000,0.000000,-0.000000,6.686339,-0.355593,cr274_training,
11,Na,Sodium,12,23,Na-23,22.98976928195,measured,Na,9.529854,9.093018,0.000000,-0.000000,0.000000,0.000000,-0.000000,9.093018,-0.436835,cr274_training,
12,Mg,Magnesium,12,24,Mg-24,23.98504168900,measured,Mg,13.933578,11.496357,0.000000,-0.000000,0.000000,0.000000,-0.000000,11.496357,-2.437222,cr274_training,
13,Al,Aluminum,14,27,Al-27,26.98153840800,measured,Al,17.196864,15.404451,0.000000,-0.000000,0.000000,0.000000,-0.000000,15.404451,-1.792413,cr274_training,
14,Si,Silicon,14,28,Si-28,27.97692653442,measured,Si,21.492797,16.963107,0.000000,-0.000000,0.000000,0.000000,-0.000000,16.963107,-4.529690,cr274_training,
15,P,Phosphorus,16,31,P-31,30.97376199768,measured,P,24.440544,22.399269,0.000000,-0.000000,0.000000,0.000000,-0.000000,22.399269,-2.041276,cr274_training,
16,S,Sulfur,16,32,S-32,31.97207117354,measured,S,26.015537,23.722908,0.000000,-0.000000,0.000000,0.000000,-0.000000,23.722908,-2.292629,cr274_training,
17,Cl,Chlorine,18,35,Cl-35,34.96885269400,measured,Cl,29.013532,30.488838,0.000000,-0.000000,0.000000,0.000000,-0.000000,30.488838,1.475306,cr274_training,
18,Ar,Argon,22,40,Ar-40,39.96238312204,measured,Ar,35.039900,33.901626,0.000000,-0.000000,0.000000,0.000000,-0.000000,33.901626,-1.138274,cr274_training,
19,K,Potassium,20,39,K-39,38.96370648482,measured,K,33.807195,40.807194,0.000000,-0.000000,0.000000,0.000000,-0.000000,40.807194,6.999999,extended_observed,
20,Ca,Calcium,20,40,Ca-40,39.96259085000,measured,Ca,34.846403,41.134712,0.000000,-0.000000,0.000000,0.000000,-0.000000,41.134712,6.288309,cr274_training,
21,Sc,Scandium,24,45,Sc-45,44.95590705100,measured,Sc,41.072322,33.821473,6.965431,-0.000000,6.965431,0.000000,-0.000000,40.786904,-0.285418,extended_observed,
22,Ti,Titanium,26,48,Ti-48,47.94794067700,measured,Ti,48.492952,49.665842,0.000000,-0.000000,0.000000,0.000000,-0.000000,49.665842,1.172890,cr274_training,
23,V,Vanadium,28,51,V-51,50.94395766400,measured,V,52.203105,43.128645,6.965431,-0.000000,6.965431,0.000000,-0.000000,50.094077,-2.109029,extended_observed,
24,Cr,Chromium,28,52,Cr-52,51.94050471400,measured,Cr,55.419508,56.709987,0.000000,-0.000000,0.000000,0.000000,-0.000000,56.709987,1.290479,cr274_training,
25,Mn,Manganese,30,55,Mn-55,54.93804304000,measured,Mn,57.712543,48.769256,6.965431,-0.000000,6.965431,0.000000,-0.000000,55.734688,-1.977855,cr274_training,
26,Fe,Iron,30,56,Fe-56,55.93493553700,measured,Fe,60.607164,61.837327,0.000000,-0.000000,0.000000,0.000000,-0.000000,61.837327,1.230163,cr274_training,
27,Co,Cobalt,32,59,Co-59,58.93319352400,measured,Co,62.229838,55.341709,6.965431,-0.000000,6.965431,0.000000,-0.000000,62.307141,0.077302,cr274_training,
28,Ni,Nickel,30,58,Ni-58,57.93534165000,measured,Ni,60.228872,62.297474,0.000000,-0.000000,0.000000,0.000000,-0.000000,62.297474,2.068602,cr274_training,
29,Cu,Copper,34,63,Cu-63,62.92959711900,measured,Cu,65.579868,60.514430,6.965431,-0.000000,6.965431,0.000000,-0.000000,67.479861,1.899993,cr274_training,
30,Zn,Zinc,34,64,Zn-64,63.92914177600,measured,Zn,66.004018,70.215983,0.000000,-0.000000,0.000000,0.000000,-0.000000,70.215983,4.211965,cr274_training,
31,Ga,Gallium,38,69,Ga-69,68.92557352800,measured,Ga,69.327820,66.814728,0.000000,-0.000000,0.000000,0.000000,-0.000000,66.814728,-2.513092,extended_observed,
32,Ge,Germanium,42,74,Ge-74,73.92117776000,measured,Ge,73.422452,75.904698,0.000000,-0.000000,0.000000,0.000000,-0.000000,75.904698,2.482246,extended_observed,
33,As,Arsenic,42,75,As-75,74.92159456200,measured,As,73.034203,71.277934,0.000000,-0.000000,0.000000,0.000000,-0.000000,71.277934,-1.756269,extended_observed,
