Z,isotope,N,A,ops_fired,total_op_MeV,in_cr274_training
21,Sc-45,24,45,op_3d_odd,6.965431,no
23,V-51,28,51,op_3d_odd,6.965431,no
25,Mn-55,30,55,op_3d_odd,6.965431,yes
27,Co-59,32,59,op_3d_odd,6.965431,yes
29,Cu-63,34,63,op_3d_odd,6.965431,yes
41,Nb-93,52,93,op_ms_fill,-0.906288,no
42,Mo-98,56,98,op_ms_fill,-2.718863,no
43,Tc-98,55,98,op_ms_fill,-2.265719,no
44,Ru-102,58,102,op_ms_fill,-3.625150,no
45,Rh-103,58,103,op_ms_fill,-3.625150,no
46,Pd-106,60,106,op_ms_fill,-4.531438,no
47,Ag-107,60,107,op_ms_fill,-4.531438,yes
48,Cd-114,66,114,op_ms_fill,-7.250300,no
49,In-115,66,115,op_ms_fill,-7.250300,no
50,Sn-120,70,120,op_ms_fill,-9.062876,yes
57,La-139,82,139,op_82pre,-0.727324,no
58,Ce-140,82,140,op_82pre,-2.909296,no
59,Pr-141,82,141,op_82pre,-6.545915,no
60,Nd-142,82,142,op_82pre,-11.637182,yes
82,Pb-208,126,208,op_dm_sat,7.180038,yes
126,Jd-252,126,252,op_dm_sat,7.180038,no
