control,isotope,Z,N,A,qualifies,identity_broken,detail
W1_swap,H-1,1,0,1,False,True,Q_sub;dQ
W1_swap,H-2,1,1,2,False,True,Q_sub;dQ
W1_swap,H-3,1,2,3,True,False,
W1_swap,He-3,2,1,3,False,True,Q_sub;dQ
W1_swap,He-4,2,2,4,False,True,Q_sub;dQ
W1_swap,Li-6,3,3,6,False,True,Q_sub;dQ
W1_swap,Li-7,3,4,7,True,True,Q_sub;dQ
W1_swap,Be-8,4,4,8,False,True,Q_sub;dQ
W1_swap,Be-9,4,5,9,True,True,Q_sub;dQ
W1_swap,B-10,5,5,10,False,True,Q_sub;dQ
W1_swap,B-11,5,6,11,True,True,Q_sub;dQ
W1_swap,C-12,6,6,12,False,True,Q_sub;dQ
W1_swap,C-13,6,7,13,True,True,Q_sub;dQ
W1_swap,C-14,6,8,14,True,True,Q_sub;dQ
W1_swap,N-14,7,7,14,False,True,Q_sub;dQ
W1_swap,N-15,7,8,15,True,True,Q_sub;dQ
W1_swap,O-16,8,8,16,False,True,Q_sub;dQ
W1_swap,O-17,8,9,17,True,True,Q_sub;dQ
W1_swap,O-18,8,10,18,True,True,Q_sub;dQ
W1_swap,F-19,9,10,19,True,True,Q_sub;dQ
W1_swap,Ne-20,10,10,20,False,True,Q_sub;dQ
W1_swap,Ne-22,10,12,22,True,True,Q_sub;dQ
W1_swap,Na-23,11,12,23,True,True,Q_sub;dQ
W1_swap,Mg-24,12,12,24,False,True,Q_sub;dQ
W1_swap,Mg-25,12,13,25,True,True,Q_sub;dQ
W1_swap,Mg-26,12,14,26,True,True,Q_sub;dQ
W1_swap,Al-27,13,14,27,True,True,Q_sub;dQ
W1_swap,Si-28,14,14,28,False,True,Q_sub;dQ
W1_swap,P-31,15,16,31,True,True,Q_sub;dQ
W1_swap,S-32,16,16,32,False,True,Q_sub;dQ
W1_swap,Cl-35,17,18,35,True,True,Q_sub;dQ
W1_swap,Ar-40,18,22,40,True,True,Q_sub;dQ
W1_swap,Ca-40,20,20,40,False,True,Q_sub;dQ
W1_swap,Ti-48,22,26,48,True,True,Q_sub;dQ
W1_swap,Fe-56,26,30,56,True,True,Q_sub;dQ
W1_swap,Ni-58,28,30,58,True,True,Q_sub;dQ
W1_swap,Cu-63,29,34,63,True,True,Q_sub;dQ
W1_swap,Zn-64,30,34,64,True,True,Q_sub;dQ
W1_swap,Br-79,35,44,79,True,True,Q_sub;dQ
W1_swap,Kr-84,36,48,84,True,True,Q_sub;dQ
W1_swap,Ag-107,47,60,107,True,True,Q_sub;dQ
W1_swap,Sn-120,50,70,120,True,True,Q_sub;dQ
W1_swap,I-127,53,74,127,True,True,Q_sub;dQ
W1_swap,Xe-132,54,78,132,True,True,Q_sub;dQ
W1_swap,Cs-133,55,78,133,True,True,Q_sub;dQ
W1_swap,Au-197,79,118,197,True,True,Q_sub;dQ
W1_swap,Hg-200,80,120,200,True,True,Q_sub;dQ
W1_swap,Pb-208,82,126,208,True,True,Q_sub;dQ
W1_swap,Th-232,90,142,232,True,True,Q_sub;dQ
W1_swap,U-235,92,143,235,True,True,Q_sub;dQ
W1_swap,U-238,92,146,238,True,True,Q_sub;dQ
W1_swap,Ti-46,22,24,46,True,True,Q_sub;dQ
W1_swap,Cr-52,24,28,52,True,True,Q_sub;dQ
W1_swap,Mn-55,25,30,55,True,True,Q_sub;dQ
W1_swap,Co-59,27,32,59,True,True,Q_sub;dQ
W1_swap,Y-89,39,50,89,True,True,Q_sub;dQ
W1_swap,Zr-90,40,50,90,True,True,Q_sub;dQ
W1_swap,Ba-138,56,82,138,True,True,Q_sub;dQ
W1_swap,Nd-142,60,82,142,True,True,Q_sub;dQ
W1_swap,Sm-152,62,90,152,True,True,Q_sub;dQ
W1_swap,Gd-158,64,94,158,True,True,Q_sub;dQ
W1_swap,Dy-162,66,96,162,True,True,Q_sub;dQ
W1_swap,Er-166,68,98,166,True,True,Q_sub;dQ
W1_swap,Yb-172,70,102,172,True,True,Q_sub;dQ
W1_swap,Hf-178,72,106,178,True,True,Q_sub;dQ
W1_swap,W-184,74,110,184,True,True,Q_sub;dQ
W1_swap,Os-190,76,114,190,True,True,Q_sub;dQ
W1_swap,Pt-194,78,116,194,True,True,Q_sub;dQ
W1_swap,Hg-202,80,122,202,True,True,Q_sub;dQ
W1_swap,Pb-206,82,124,206,True,True,Q_sub;dQ
W1_swap,U-234,92,142,234,True,True,Q_sub;dQ
W2_all_excess,H-1,1,0,1,False,True,dQ
W2_all_excess,H-2,1,1,2,False,True,dQ
W2_all_excess,H-3,1,2,3,True,True,dQ
W2_all_excess,He-3,2,1,3,False,True,dQ
W2_all_excess,He-4,2,2,4,False,True,dQ
W2_all_excess,Li-6,3,3,6,False,True,dQ
W2_all_excess,Li-7,3,4,7,True,True,dQ
W2_all_excess,Be-8,4,4,8,False,True,dQ
W2_all_excess,Be-9,4,5,9,True,True,dQ
W2_all_excess,B-10,5,5,10,False,True,dQ
W2_all_excess,B-11,5,6,11,True,True,dQ
W2_all_excess,C-12,6,6,12,False,True,dQ
W2_all_excess,C-13,6,7,13,True,True,dQ
