row_id,placeholder_id,row_type,matter_antimatter_class,source_rule,exact_contact_status,conventional_name,independent_existence_status
QP093A-0001,"SAM[row=QP093A-0001,p=1,sign=positive,depth=0,class=positron_substrate_slot]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,MIRROR,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0002,"SAM[row=QP093A-0002,p=1,sign=negative,depth=0,class=electron_like_minus]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,EXACT_CONTACT,electron,EXACT_CONTACT
QP093A-0003,"SAM[row=QP093A-0003,p=1,sign=neutral,depth=0,class=neutrino_like]",StructurallyStableMatterRow,matter,CR255_COMPACT_MATTER_NEUTRAL_LAW,NEUTRAL_ANCHOR,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0004,"SAM[row=QP093A-0004,p=2,sign=positive,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0005,"SAM[row=QP093A-0005,p=2,sign=negative,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0006,"SAM[row=QP093A-0006,p=2,sign=neutral,depth=0,class=neutral_higher_partition]",StructurallyStableMatterRow,matter,CR255_COMPACT_MATTER_NEUTRAL_LAW,SUBSTRATE_CANDIDATE,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0007,"SAM[row=QP093A-0007,p=3,sign=positive,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0008,"SAM[row=QP093A-0008,p=3,sign=negative,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0009,"SAM[row=QP093A-0009,p=3,sign=neutral,depth=0,class=neutral_higher_partition]",StructurallyStableMatterRow,matter,CR255_COMPACT_MATTER_NEUTRAL_LAW,SUBSTRATE_CANDIDATE,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0010,"SAM[row=QP093A-0010,p=4,sign=positive,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0011,"SAM[row=QP093A-0011,p=4,sign=negative,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0012,"SAM[row=QP093A-0012,p=4,sign=neutral,depth=0,class=neutral_higher_partition]",StructurallyStableMatterRow,matter,CR255_COMPACT_MATTER_NEUTRAL_LAW,SUBSTRATE_CANDIDATE,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0013,"SAM[row=QP093A-0013,p=6,sign=positive,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0014,"SAM[row=QP093A-0014,p=6,sign=negative,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0015,"SAM[row=QP093A-0015,p=6,sign=neutral,depth=0,class=neutral_higher_partition]",StructurallyStableMatterRow,matter,CR255_COMPACT_MATTER_NEUTRAL_LAW,SUBSTRATE_CANDIDATE,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0016,"SAM[row=QP093A-0016,p=8,sign=positive,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0017,"SAM[row=QP093A-0017,p=8,sign=negative,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0018,"SAM[row=QP093A-0018,p=8,sign=neutral,depth=0,class=neutral_higher_partition]",StructurallyStableMatterRow,matter,CR255_COMPACT_MATTER_NEUTRAL_LAW,SUBSTRATE_CANDIDATE,,INDEPENDENT_EXISTENCE_UNRESOLVED
QP093A-0019,"SAM[row=QP093A-0019,p=9,sign=positive,depth=0,class=quark_like_charged]",StructurallyStableMatterRow,matter,CR254_COMPACT_MATTER_CHARGED_LAW,SECTOR_HINT,,INDEPENDENT_EXISTENCE_UNRESOLVED
