qp_id,summary_path,summary_exists,external_data_used,observed_isotope_masses_used,observed_decay_modes_used,observed_half_lives_used,observed_abundances_used,free_parameters_introduced,status
qp049,C:/VS/quantum_phase/artifacts/qp049/qp049_summary.json,True,False,False,,,,0,clean_disclosure
qp050,C:/VS/quantum_phase/artifacts/qp050/qp050_summary.json,True,False,False,,,,0,clean_disclosure
qp051,C:/VS/quantum_phase/artifacts/qp051/qp051_summary.json,True,False,False,,,,0,clean_disclosure
qp052,C:/VS/quantum_phase/artifacts/qp052/qp052_summary.json,True,False,False,,,,0,clean_disclosure
qp053,C:/VS/quantum_phase/artifacts/qp053/qp053_summary.json,True,False,False,,,,0,clean_disclosure
qp054,C:/VS/quantum_phase/artifacts/qp054/qp054_summary.json,True,False,False,,,,0,clean_disclosure
qp055,C:/VS/quantum_phase/artifacts/qp055/qp055_summary.json,True,False,False,,,,0,clean_disclosure
qp056,C:/VS/quantum_phase/artifacts/qp056/qp056_summary.json,True,False,False,,False,,0,clean_disclosure
qp057,C:/VS/quantum_phase/artifacts/qp057/qp057_summary.json,True,False,False,False,False,,0,clean_disclosure
qp058,C:/VS/quantum_phase/artifacts/qp058/qp058_summary.json,True,False,False,False,False,,0,clean_disclosure
qp059,C:/VS/quantum_phase/artifacts/qp059/qp059_summary.json,True,False,False,False,False,,0,clean_disclosure
qp060,C:/VS/quantum_phase/artifacts/qp060/qp060_summary.json,True,False,False,False,False,False,0,clean_disclosure
