qp_id,summary_exists,next_frontier,next_frontier_references_successor,next_frontier_references_any_chain_step,successor_in_chain,status
qp049,True,QP050_PRIVATE_SYMMETRIC_ISOTOPE_SEED_MASS_READOUT,False,False,qp050,ok_linked_externally
qp050,True,QP051_PRIVATE_NEUTRON_EXCESS_BINDING_DEPTH_SELECTOR,False,False,qp051,ok_linked_externally
qp051,True,QP052_PRIVATE_NUMERIC_DELTA_N_AND_BINDING_MASS_SELECTOR,False,False,qp052,ok_linked_externally
qp052,True,QP053_PRIVATE_ISOTOPE_ROSTER_STABILITY_SELECTOR,False,False,qp053,ok_linked_externally
qp053,True,QP054_PRIVATE_ISOTOPE_NEIGHBOR_LADDER_SELECTOR,False,False,qp054,ok_linked_externally
qp054,True,QP055_PRIVATE_PHASE5_ISOTOPE_FREEZE,False,False,qp055,ok_linked_externally
qp055,True,QP056_PRIVATE_PHASE5_ISOTOPE_VISUAL_PACKAGE_OR_SEALED_COMPARISON,False,False,qp056,ok_linked_externally
qp056,True,QP057_PRIVATE_DECAY_DIRECTION_AND_CHAIN_SELECTOR,False,False,qp057,ok_linked_externally
qp057,True,QP058_PRIVATE_PHASE5_PRESSURE_FREEZE,False,False,qp058,ok_linked_externally
qp058,True,QP059_PRIVATE_PHASE5_VISUAL_PACKAGE_OR_APPROVED_SEALED_COMPARISON,False,False,qp059,ok_linked_externally
qp059,True,QP060_PRIVATE_SEALED_COMPARISON_PROTOCOL_REQUIRES_EXPLICIT_APPROVAL,False,False,qp060,ok_linked_externally
qp060,True,QP061_PRIVATE_APPROVED_SEALED_ISOTOPE_COMPARISON_REQUIRES_EXTERNAL_DATA_PREFLIGHT,False,False,TERMINAL_QP060_TO_QP061,ok_linked_externally
