qp_id,source_files,wrong_control_artifacts,exemplar_file,status
qp049,1,3,C:/VS/quantum_phase/artifacts/qp049/qp049_decision_table.csv,wrong_control_present
qp050,1,3,C:/VS/quantum_phase/artifacts/qp050/qp050_decision_table.csv,wrong_control_present
qp051,1,3,C:/VS/quantum_phase/artifacts/qp051/qp051_decision_table.csv,wrong_control_present
qp052,1,3,C:/VS/quantum_phase/artifacts/qp052/qp052_decision_table.csv,wrong_control_present
qp053,1,3,C:/VS/quantum_phase/artifacts/qp053/qp053_decision_table.csv,wrong_control_present
qp054,1,3,C:/VS/quantum_phase/artifacts/qp054/qp054_decision_table.csv,wrong_control_present
qp055,1,1,C:/VS/quantum_phase/artifacts/qp055/qp055_next_frontier.csv,wrong_control_present
qp056,1,3,C:/VS/quantum_phase/artifacts/qp056/qp056_decision_table.csv,wrong_control_present
qp057,1,3,C:/VS/quantum_phase/artifacts/qp057/qp057_decision_table.csv,wrong_control_present
qp058,1,1,C:/VS/quantum_phase/artifacts/qp058/qp058_next_frontier.csv,wrong_control_present
qp059,1,2,C:/VS/quantum_phase/artifacts/qp059/qp059_anchor_digest.csv,wrong_control_present
qp060,1,2,C:/VS/quantum_phase/artifacts/qp060/qp060_comparison_schema.csv,wrong_control_present
