check_id,status,observed,detail
P1_source_files_present,PASS,[],all declared upstream artifacts exist
P2_source_commit_locked,PASS,822f8f4241c1b0b7fb272eb30c1022dd860ea18c,Stam_model-A-v1.0 commit matches the declared source pin
P3_qga016_verdict,PASS,QGA016_PASS_UNRESOLVED_ECHO_PROBABILITY_MEASURE,QGA016 pass verdict preserved
P4_qga016_counts,PASS,"{""A0"": 0.026525823848649224, ""A_share"": 0.08333333333333333, ""A_side"": 0.041666666666666664, ""expected"": [0.14285714285714285, 0.5714285714285714, 0.2857142857142857], ""global_phase_max_error"": 0.0, ""local_phase_max_error"": 0.0, ""max_probability_error"": 0.0, ""next_gate"": ""QGA017_CLOSED_SPHERE_CORRELATION_AUDIT"", ""prediction_passes"": 10, ""prediction_total"": 10, ""probabilities"": [0.14285714285714285, 0.5714285714285714, 0.2857142857142857], ""scope"": ""structural unresolved-echo probability measure only; eta/hbar, Bell closure, particle spectrum, and full QG remain open"", ""test_id"": ""QGA016"", ""test_name"": ""UNRESOLVED_ECHO_PROBABILITY_MEASURE"", ""verdict"": ""QGA016_PASS_UNRESOLVED_ECHO_PROBABILITY_MEASURE"", ""wrong_control_passes"": 8, ""wrong_control_total"": 8}",QGA016 prediction and wrong-control counts preserved
P5_qga018_verdict,PASS,QGA018_PASS_GAMMA_RES_OPERATOR_BRIDGE,QGA018 pass verdict preserved
P6_qga018_counts,PASS,"{""below_threshold_status"": ""withheld_unresolved"", ""completed_status"": ""completed_write"", ""duplicate_alias_write_count"": 1, ""i_threshold"": 0.5, ""independent_support_write_count"": 2, ""next_gate"": ""QGA019_GAMMA_RES_MICROPHYSICAL_DERIVATION"", ""prediction_passes"": 12, ""prediction_total"": 12, ""route_probabilities"": [{""probability"": 0.14285714285714285, ""route_id"": ""r0""}, {""probability"": 0.5714285714285714, ""route_id"": ""r1""}, {""probability"": 0.2857142857142857, ""route_id"": ""r2""}], ""scope"": ""structural probability-to-ledger bridge only; deeper I_phys and Gamma_res microphysical functional form remain open"", ""selected_route"": ""r1"", ""selector_u"": 0.6, ""test_id"": ""QGA018"", ""test_name"": ""GAMMA_RES_OPERATOR_BRIDGE"", ""verdict"": ""QGA018_PASS_GAMMA_RES_OPERATOR_BRIDGE"", ""wrong_control_passes"": 8, ""wrong_control_total"": 8}",QGA018 prediction and wrong-control counts preserved
P7_qga019_verdict,PASS,QGA019_PASS_I_PHYS_CONTACT_OVERLAP_FUNCTIONAL,QGA019 pass verdict preserved
P8_qga019_counts,PASS,"{""destructive_phase_i_phys"": 0.0, ""full_coherent_contact_i_phys"": 1.0, ""global_phase_error"": 1.1102230246251565e-16, ""i_phys_functional"": ""|<C,E>|^2/(<E,E><C,C>)"", ""i_threshold"": 0.5, ""next_gate"": ""QGA020_R_RES_WRITE_REMOVAL_DYNAMICS"", ""prediction_passes"": 12, ""prediction_total"": 12, ""route_i_values"": {""r0"": 0.14285714285714285, ""r1"": 0.5714285714285714, ""r2"": 0.2857142857142857}, ""scale_error"": 0.0, ""scope"": ""structural I_phys contact-overlap functional; threshold origin, R_res write-removal dynamics, eta/hbar, Planck-cell origin, and full QG remain open"", ""selected_by_overlap"": ""r1"", ""test_id"": ""QGA019"", ""test_name"": ""GAMMA_RES_MICROPHYSICAL_DERIVATION"", ""verdict"": ""QGA019_PASS_I_PHYS_CONTACT_OVERLAP_FUNCTIONAL"", ""wrong_control_passes"": 8, ""wrong_control_total"": 8}",QGA019 prediction and wrong-control counts preserved
P9_g678_verdict,PASS,G678_PASS_INTERACTION_CAUSED_LEDGER_RESOLUTION__HUMAN_OBSERVATION_IS_READOUT,G678 pass verdict preserved
P10_g678_controls,PASS,"{""all_predictions_passed"": true, ""all_wrong_controls_rejected"": true, ""artifacts"": {""checks_csv"": ""tests\\Substrate\\G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM\\G678_checks.csv"", ""events_csv"": ""tests\\Substrate\\G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM\\G678_event_lanes.csv"", ""output_txt"": ""tests\\Substrate\\G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM\\G678_output.txt"", ""summary_json"": ""tests\\Substrate\\G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM\\G678_summary.json"", ""verdict_md"": ""audit\\audits\\VERDICT_G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM_2026_06_03.md"", ""wrong_controls_csv"": ""tests\\Substrate\\G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM\\G678_wrong_controls.csv""}, ""cat_readout"": {""cat_state_written_before_human_readout"": true, ""human_role"": ""delayed local readout"", ""measurement"": ""A-resolution into a written state"", ""resolution_cause"": ""detector_cat_environment_contact_forces_A_resolution""}, ""finished_utc"": ""2026-06-03T23:28:19.176173+00:00"", ""imported_results"": {""QGA019_verdict"": ""QGA019_PASS_I_PHYS_CONTACT_OVERLAP_FUNCTIONAL"", ""QGA021_verdict"": ""QGA021_PASS_THRESHOLD_HALF_SLOT_ORIGIN"", ""i_phys_functional"": ""|<C,E>|^2/(<E,E><C,C>)"", ""threshold_origin"": ""D_route / 6 primitive half-slots = 1/2""}, ""mode"": ""sealed_theorem_gate"", ""resolution_rule"": {""Gamma_res"": 0.5, ""selected_i_phys"": 0.5714285714285714, ""selected_route"": ""r1"", ""selected_status"": ""RESOLVED_BY_PHYSICAL_INTERACTION""}, ""result_class"": ""PASS_INTERACTION_CAUSED_LEDGER_RESOLUTION"", ""sealed_envelope"": ""audit\\audits\\SEALED_ENVELOPE_G678_INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM_2026_06_03.md"", ""started_utc"": ""2026-06-03T23:28:19.176173+00:00"", ""test_id"": ""G678"", ""test_name"": ""INTERACTION_CAUSED_LEDGER_RESOLUTION_THEOREM"", ""verdict"": ""G678_PASS_INTERACTION_CAUSED_LEDGER_RESOLUTION__HUMAN_OBSERVATION_IS_READOUT""}",G678 all predictions pass and all wrong controls reject
