candidate_id,operator_class,partition,tier,role,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0001,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),1.25,1,positive,0,STABLE_MATTER_CANDIDATE
QP093A-0002,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),1.5,1,negative,0,STABLE_MATTER_CANDIDATE
QP093A-0003,OUTER_BINARY_NEUTRAL,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),0.125,0,neutral,0,STABLE_NEUTRAL_CANDIDATE
QP093A-0004,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),2.50,2,positive,0,STABLE_MATTER_CANDIDATE
QP093A-0005,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),3.0,2,negative,0,STABLE_MATTER_CANDIDATE
QP093A-0006,OUTER_BINARY_NEUTRAL,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),0.250,0,neutral,0,STABLE_NEUTRAL_CANDIDATE
QP093A-0007,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),3.75,3,positive,0,STABLE_MATTER_CANDIDATE
QP093A-0008,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),4.5,3,negative,0,STABLE_MATTER_CANDIDATE
QP093A-0009,OUTER_BINARY_NEUTRAL,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),0.375,0,neutral,0,STABLE_NEUTRAL_CANDIDATE
QP093A-0010,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),5.00,4,positive,0,STABLE_MATTER_CANDIDATE
QP093A-0011,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),6.0,4,negative,0,STABLE_MATTER_CANDIDATE
QP093A-0012,OUTER_BINARY_NEUTRAL,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),0.500,0,neutral,0,STABLE_NEUTRAL_CANDIDATE
QP093A-0013,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),7.50,6,positive,0,STABLE_MATTER_CANDIDATE
QP093A-0014,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),9.0,6,negative,0,STABLE_MATTER_CANDIDATE
QP093A-0015,OUTER_BINARY_NEUTRAL,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),0.750,0,neutral,0,STABLE_NEUTRAL_CANDIDATE
QP093A-0016,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),10.00,8,positive,0,STABLE_MATTER_CANDIDATE
QP093A-0017,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),12.0,8,negative,0,STABLE_MATTER_CANDIDATE
