letter_index_N,closure_depth_level,per_letter_capacity_exact,per_letter_capacity_pct,cumulative_capacity_exact,cumulative_capacity_pct,fraction_of_gravity_channel,residual_exact
1,4,1/16,6.250000%,1/16,6.250000%,50.000000%,1/16
2,5,1/32,3.125000%,3/32,9.375000%,75.000000%,1/32
3,6,1/64,1.562500%,7/64,10.937500%,87.500000%,1/64
4,7,1/128,0.781250%,15/128,11.718750%,93.750000%,1/128
5,8,1/256,0.390625%,31/256,12.109375%,96.875000%,1/256
6,9,1/512,0.195312%,63/512,12.304688%,98.437500%,1/512
7,10,1/1024,0.097656%,127/1024,12.402344%,99.218750%,1/1024
8,11,1/2048,0.048828%,255/2048,12.451172%,99.609375%,1/2048
9,12,1/4096,0.024414%,511/4096,12.475586%,99.804688%,1/4096
10,13,1/8192,0.012207%,1023/8192,12.487793%,99.902344%,1/8192
11,14,1/16384,0.006104%,2047/16384,12.493896%,99.951172%,1/16384
12,15,1/32768,0.003052%,4095/32768,12.496948%,99.975586%,1/32768
13,16,1/65536,0.001526%,8191/65536,12.498474%,99.987793%,1/65536
14,17,1/131072,0.000763%,16383/131072,12.499237%,99.993896%,1/131072
15,18,1/262144,0.000381%,32767/262144,12.499619%,99.996948%,1/262144
16,19,1/524288,0.000191%,65535/524288,12.499809%,99.998474%,1/524288
17,20,1/1048576,0.000095%,131071/1048576,12.499905%,99.999237%,1/1048576
18,21,1/2097152,0.000048%,262143/2097152,12.499952%,99.999619%,1/2097152
19,22,1/4194304,0.000024%,524287/4194304,12.499976%,99.999809%,1/4194304
20,23,1/8388608,0.000012%,1048575/8388608,12.499988%,99.999905%,1/8388608
