sample_index,t_seconds,t_microseconds,purity,A_leak,P_carrier_ms0,P_envelope_msplus1,P_sensor_msminus1,alarm_state
0,0.000000000e+00,0.000000,1.000000000e+00,1.110223025e-16,2.352941176e-01,5.294117647e-01,2.352941176e-01,protected
1,5.025125628e-07,0.502513,9.992425351e-01,7.574649000e-04,2.356782841e-01,5.291458033e-01,2.351759126e-01,protected
2,1.005025126e-06,1.005025,9.984862944e-01,1.513705565e-03,2.360622690e-01,5.288799676e-01,2.350577634e-01,protected
3,1.507537688e-06,1.507538,9.977313021e-01,2.268697944e-03,2.364460610e-01,5.286142655e-01,2.349396735e-01,protected
4,2.010050251e-06,2.010050,9.969775565e-01,3.022443465e-03,2.368296601e-01,5.283486969e-01,2.348216431e-01,protected
5,2.512562814e-06,2.512563,9.962250558e-01,3.774944156e-03,2.372130665e-01,5.280832617e-01,2.347036718e-01,protected
6,3.015075377e-06,3.015075,9.954737983e-01,4.526201697e-03,2.375962804e-01,5.278179597e-01,2.345857599e-01,protected
7,3.517587940e-06,3.517588,9.947237825e-01,5.276217485e-03,2.379793017e-01,5.275527912e-01,2.344679072e-01,protected
8,4.020100503e-06,4.020101,9.939750061e-01,6.024993921e-03,2.383621307e-01,5.272877556e-01,2.343501136e-01,protected
9,4.522613065e-06,4.522613,9.932274655e-01,6.772534520e-03,2.387447684e-01,5.270228527e-01,2.342323790e-01,protected
10,5.025125628e-06,5.025126,9.924811593e-01,7.518840736e-03,2.391272146e-01,5.267580822e-01,2.341147032e-01,protected
11,5.527638191e-06,5.527638,9.917360860e-01,8.263913956e-03,2.395094693e-01,5.264934443e-01,2.339970864e-01,protected
12,6.030150754e-06,6.030151,9.909922444e-01,9.007755562e-03,2.398915326e-01,5.262289389e-01,2.338795284e-01,protected
13,6.532663317e-06,6.532663,9.902496331e-01,9.750366939e-03,2.402734045e-01,5.259645661e-01,2.337620294e-01,protected
14,7.035175879e-06,7.035176,9.895082505e-01,1.049174947e-02,2.406550850e-01,5.257003258e-01,2.336445892e-01,protected
15,7.537688442e-06,7.537688,9.887680955e-01,1.123190453e-02,2.410365740e-01,5.254362180e-01,2.335272080e-01,protected
16,8.040201005e-06,8.040201,9.880291665e-01,1.197083352e-02,2.414178717e-01,5.251722427e-01,2.334098856e-01,protected
17,8.542713568e-06,8.542714,9.872914622e-01,1.270853779e-02,2.417989778e-01,5.249084000e-01,2.332926222e-01,protected
18,9.045226131e-06,9.045226,9.865549813e-01,1.344501875e-02,2.421798926e-01,5.246446898e-01,2.331754177e-01,protected
19,9.547738693e-06,9.547739,9.858197222e-01,1.418027775e-02,2.425606159e-01,5.243811121e-01,2.330582720e-01,protected
20,1.005025126e-05,10.050251,9.850856838e-01,1.491431619e-02,2.429411478e-01,5.241176669e-01,2.329411853e-01,protected
21,1.055276382e-05,10.552764,9.843528646e-01,1.564713543e-02,2.433214882e-01,5.238543543e-01,2.328241575e-01,protected
22,1.105527638e-05,11.055276,9.836212631e-01,1.637873686e-02,2.437016372e-01,5.235911742e-01,2.327071885e-01,protected
23,1.155778894e-05,11.557789,9.828908781e-01,1.710912185e-02,2.440815948e-01,5.233281267e-01,2.325902785e-01,protected
24,1.206030151e-05,12.060302,9.821617082e-01,1.783829177e-02,2.444613610e-01,5.230652116e-01,2.324734274e-01,protected
25,1.256281407e-05,12.562814,9.814337520e-01,1.856624800e-02,2.448409357e-01,5.228024291e-01,2.323566352e-01,protected
26,1.306532663e-05,13.065327,9.807070081e-01,1.929299191e-02,2.452203190e-01,5.225397792e-01,2.322399019e-01,protected
27,1.356783920e-05,13.567839,9.799814751e-01,2.001852487e-02,2.455995108e-01,5.222772617e-01,2.321232274e-01,protected
28,1.407035176e-05,14.070352,9.792571513e-01,2.074284866e-02,2.459785114e-01,5.220148767e-01,2.320066119e-01,protected
29,1.457286432e-05,14.572864,9.785340332e-01,2.146596678e-02,2.463573215e-01,5.217526236e-01,2.318900549e-01,protected
30,1.507537688e-05,15.075377,9.778121189e-01,2.218788110e-02,2.467359413e-01,5.214905022e-01,2.317735565e-01,protected
31,1.557788945e-05,15.577889,9.770914068e-01,2.290859324e-02,2.471143708e-01,5.212285125e-01,2.316571167e-01,protected
32,1.608040201e-05,16.080402,9.763718952e-01,2.362810482e-02,2.474926102e-01,5.209666545e-01,2.315407353e-01,protected
