row_id,platform,citation_tag,drive_frequency_label,omega_drive_rad_per_s,T2_observed_s,T2_grav_predicted_s,margin_ratio,residual_seconds,classification,verify_status,inherited_from_CR069a_row,sample_type,decoupling_protocol,temperature_K,conditions,notes
1,NV_center_diamond,Bar-Gill_et_al_2013_Nature_Communications_4_1743,NV_resonant_2.87_GHz,1.803300e+10,6.000000e-01,3.399992e-06,1.764710e+05,5.999966e-01,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,1,isotopically_purified_12C_bulk,KDD,77.0,"77 K, isotopically purified 12C, KDD dynamical decoupling",Representative high-coherence NV result; exact T2 value tagged for partner-lab verification against published paper [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
2,NV_center_diamond,Maurer_et_al_2012_Science_336_1283,NV_nuclear_hyperfine_~3_MHz,1.880000e+07,1.000000e+00,3.261280e-03,3.066281e+02,9.967387e-01,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,2,natural_13C_with_register,nuclear_memory,295.0,"room temperature, 13C nuclear spin memory adjacent to NV electron",Nuclear-spin memory >1 s; nuclear hyperfine omega used here; exact value tagged [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
3,NV_center_diamond,Naydenov_et_al_2011_PRB_83_081201,NV_resonant_2.87_GHz,1.803300e+10,1.000000e-03,3.399992e-06,2.941183e+02,9.966000e-04,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,3,natural_13C_bulk,CPMG,295.0,"room temperature, CPMG dynamical decoupling, natural-abundance 13C",Representative room-temperature DD result on natural diamond; exact value tagged [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
4,NV_center_diamond,Childress_et_al_2006_Science_314_281,NV_resonant_2.87_GHz,1.803300e+10,2.500000e-06,3.399992e-06,7.352958e-01,-8.999923e-07,VIOLATION_OF_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,4,natural_13C_bulk,Hahn_echo,295.0,"room temperature, Hahn echo, natural-abundance 13C",Early Hahn-echo NV T2 representative; exact value tagged [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
5,NV_center_diamond,Balasubramanian_et_al_2009_Nature_Materials_8_383,NV_resonant_2.87_GHz,1.803300e+10,1.800000e-03,3.399992e-06,5.294130e+02,1.796600e-03,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,,isotopically_purified_12C_bulk,Hahn_echo,295.0,"room temperature, isotopically purified 12C (0.3% 13C), Hahn echo on single NV",Ultralong room-temperature Hahn-echo T2 in 12C-purified diamond [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
6,NV_center_diamond,Mizuochi_et_al_2009_PRB_80_041201,NV_resonant_2.87_GHz,1.803300e+10,2.500000e-04,3.399992e-06,7.352958e+01,2.466000e-04,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,,ultra_pure_CVD_bulk,Hahn_echo,295.0,"room temperature, ultra-pure CVD diamond, single NV, Hahn echo",Single NV in ultra-pure CVD; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
7,NV_center_diamond,de_Lange_et_al_2010_Science_330_60,NV_resonant_2.87_GHz,1.803300e+10,9.000000e-05,3.399992e-06,2.647065e+01,8.660001e-05,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,,natural_13C_bulk,XY8,295.0,"room temperature, single NV, XY-8 dynamical decoupling",Universal DD demonstration at RT; representative T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
8,NV_center_diamond,Ryan_et_al_2010_PRL_105_200402,NV_resonant_2.87_GHz,1.803300e+10,5.000000e-05,3.399992e-06,1.470592e+01,4.660001e-05,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,,natural_13C_bulk,KDD,295.0,"room temperature, single NV in natural diamond, KDD",Robust DD techniques on single NV; representative T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
9,NV_center_diamond,Pham_et_al_2012_NJP_14_045007,NV_resonant_2.87_GHz,1.803300e+10,1.000000e-06,3.399992e-06,2.941183e-01,-2.399992e-06,VIOLATION_OF_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,,ensemble_natural_13C,free_induction_T2_star,295.0,"room temperature, NV ensemble, free induction decay T2*",NV ensemble T2* (free induction); environmental-noise-limited; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
10,NV_center_diamond,Knowles_et_al_2014_Nature_Materials_13_21,NV_resonant_2.87_GHz,1.803300e+10,3.000000e-05,3.399992e-06,8.823549e+00,2.660001e-05,CONSISTENT_WITH_FLOOR,PROVISIONAL_AUTHOR_BEST_EFFORT,,nanodiamond_natural_13C,Hahn_echo,295.0,"room temperature, single NV in nanodiamond, Hahn echo",Bulk-quality coherence in nanodiamond; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
