row_id,platform,citation_tag,drive_frequency_label,omega_drive_rad_per_s,T2_observed_s,conditions,sample_type,decoupling_protocol,temperature_K,verify_status,inherited_from_CR069a_row,notes
1,NV_center_diamond,Bar-Gill_et_al_2013_Nature_Communications_4_1743,NV_resonant_2.87_GHz,1.8033e10,0.6,"77 K, isotopically purified 12C, KDD dynamical decoupling",isotopically_purified_12C_bulk,KDD,77,PROVISIONAL_AUTHOR_BEST_EFFORT,1,"Representative high-coherence NV result; exact T2 value tagged for partner-lab verification against published paper [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
2,NV_center_diamond,Maurer_et_al_2012_Science_336_1283,NV_nuclear_hyperfine_~3_MHz,1.88e7,1.0,"room temperature, 13C nuclear spin memory adjacent to NV electron",natural_13C_with_register,nuclear_memory,295,PROVISIONAL_AUTHOR_BEST_EFFORT,2,"Nuclear-spin memory >1 s; nuclear hyperfine omega used here; exact value tagged [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
3,NV_center_diamond,Naydenov_et_al_2011_PRB_83_081201,NV_resonant_2.87_GHz,1.8033e10,1.0e-3,"room temperature, CPMG dynamical decoupling, natural-abundance 13C",natural_13C_bulk,CPMG,295,PROVISIONAL_AUTHOR_BEST_EFFORT,3,"Representative room-temperature DD result on natural diamond; exact value tagged [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
4,NV_center_diamond,Childress_et_al_2006_Science_314_281,NV_resonant_2.87_GHz,1.8033e10,2.5e-6,"room temperature, Hahn echo, natural-abundance 13C",natural_13C_bulk,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,4,"Early Hahn-echo NV T2 representative; exact value tagged [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
5,NV_center_diamond,Balasubramanian_et_al_2009_Nature_Materials_8_383,NV_resonant_2.87_GHz,1.8033e10,1.8e-3,"room temperature, isotopically purified 12C (0.3% 13C), Hahn echo on single NV",isotopically_purified_12C_bulk,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Ultralong room-temperature Hahn-echo T2 in 12C-purified diamond [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
6,NV_center_diamond,Mizuochi_et_al_2009_PRB_80_041201,NV_resonant_2.87_GHz,1.8033e10,2.5e-4,"room temperature, ultra-pure CVD diamond, single NV, Hahn echo",ultra_pure_CVD_bulk,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Single NV in ultra-pure CVD; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
7,NV_center_diamond,de_Lange_et_al_2010_Science_330_60,NV_resonant_2.87_GHz,1.8033e10,9.0e-5,"room temperature, single NV, XY-8 dynamical decoupling",natural_13C_bulk,XY8,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Universal DD demonstration at RT; representative T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
8,NV_center_diamond,Ryan_et_al_2010_PRL_105_200402,NV_resonant_2.87_GHz,1.8033e10,5.0e-5,"room temperature, single NV in natural diamond, KDD",natural_13C_bulk,KDD,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Robust DD techniques on single NV; representative T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
9,NV_center_diamond,Pham_et_al_2012_NJP_14_045007,NV_resonant_2.87_GHz,1.8033e10,1.0e-6,"room temperature, NV ensemble, free induction decay T2*",ensemble_natural_13C,free_induction_T2_star,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"NV ensemble T2* (free induction); environmental-noise-limited; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
10,NV_center_diamond,Knowles_et_al_2014_Nature_Materials_13_21,NV_resonant_2.87_GHz,1.8033e10,3.0e-5,"room temperature, single NV in nanodiamond, Hahn echo",nanodiamond_natural_13C,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Bulk-quality coherence in nanodiamond; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
