native_id,partition_mode,generator_exponents,generator_exponent_alphaH,generator_exponent_D,depth,charge_sign,charge_magnitude,native_charge_axis,operator_class,route_class,native_mass_or_weight,native_mass_fraction,source_support,source_support_decimal,tensor_support,tensor_support_decimal,retained_support,retained_support_decimal,selector_rule,address_signature,route_combination,construction_hash
SAMN63-0001,1,alpha_H^0*D^0,0,0,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,0.125,1/8,1/8,0.125,1/64,0.015625,7/64,0.109375,DEPTH_0_1_ALL_PARTITION_MODES,p=1|d=0|q=neutral:0,"neutral_single_write[p=1,g=0]",c7701eb5a73c6cbba9f59e00db55c76d6c12f135ab393db020a44e42986c459b
SAMN63-0002,1,alpha_H^0*D^0,0,0,0,positive,1,plus,V4_1_SINGLE_WRITE,single_write,1.25,5/4,725/576,1.258680555555555555555555555555555555555555555556,725/4608,0.157335069444444444444444444444444444444444444444,5075/4608,1.101345486111111111111111111111111111111111111111,DEPTH_0_1_ALL_PARTITION_MODES,p=1|d=0|q=positive:1,"positive_single_write[p=1,g=0]",fc6a7ff4fd98624b6093d47fc4084efddc36ab1243bf1f68610ad0c77fce66f8
SAMN63-0003,1,alpha_H^0*D^0,0,0,0,negative,1,minus,V4_1_SINGLE_WRITE,single_write,1.5,3/2,145/96,1.510416666666666666666666666666666666666666666667,145/768,0.188802083333333333333333333333333333333333333333,1015/768,1.321614583333333333333333333333333333333333333333,DEPTH_0_1_ALL_PARTITION_MODES,p=1|d=0|q=negative:1,"negative_single_write[p=1,g=0]",8e3aa0898a4055cf4c7505e5ff17f9d66af771fa41aefd65502f115edda72649
SAMN63-0004,2,alpha_H^1*D^0,1,0,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,0.25,1/4,1/4,0.25,1/32,0.03125,7/32,0.21875,DEPTH_0_1_ALL_PARTITION_MODES,p=2|d=0|q=neutral:0,"neutral_single_write[p=2,g=0]",cc59c7845ac00026f43e3692351499a5e1afd21c14b7ba73cbe90c6dd4f8551a
SAMN63-0005,2,alpha_H^1*D^0,1,0,0,positive,2,plus,V4_1_SINGLE_WRITE,single_write,2.5,5/2,725/288,2.517361111111111111111111111111111111111111111111,725/2304,0.314670138888888888888888888888888888888888888889,5075/2304,2.202690972222222222222222222222222222222222222222,DEPTH_0_1_ALL_PARTITION_MODES,p=2|d=0|q=positive:2,"positive_single_write[p=2,g=0]",f807a68fb627cdfbc09a6cb8872e19bf24ec8add92c88be0b94cfeaa1da4b4ac
SAMN63-0006,2,alpha_H^1*D^0,1,0,0,negative,2,minus,V4_1_SINGLE_WRITE,single_write,3,3,145/48,3.020833333333333333333333333333333333333333333333,145/384,0.377604166666666666666666666666666666666666666667,1015/384,2.643229166666666666666666666666666666666666666667,DEPTH_0_1_ALL_PARTITION_MODES,p=2|d=0|q=negative:2,"negative_single_write[p=2,g=0]",2587ff977f96ef3816d8fb95c3e7330e63d3eb6753be2b1d621c169d1954342f
SAMN63-0007,3,alpha_H^0*D^1,0,1,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,0.375,3/8,3/8,0.375,3/64,0.046875,21/64,0.328125,DEPTH_0_1_ALL_PARTITION_MODES,p=3|d=0|q=neutral:0,"neutral_single_write[p=3,g=0]",6e2c59f76b71e15a03e9b6e7aa244dfe62b72e7904aa1a851b6b3b5dae581653
SAMN63-0008,3,alpha_H^0*D^1,0,1,0,positive,3,plus,V4_1_SINGLE_WRITE,single_write,3.75,15/4,725/192,3.776041666666666666666666666666666666666666666667,725/1536,0.472005208333333333333333333333333333333333333333,5075/1536,3.304036458333333333333333333333333333333333333333,DEPTH_0_1_ALL_PARTITION_MODES,p=3|d=0|q=positive:3,"positive_single_write[p=3,g=0]",ea87a5e7312e7f36b9790b512aaeddbb726765923d15c584c4b21852a9ea3acc
SAMN63-0009,3,alpha_H^0*D^1,0,1,0,negative,3,minus,V4_1_SINGLE_WRITE,single_write,4.5,9/2,145/32,4.53125,145/256,0.56640625,1015/256,3.96484375,DEPTH_0_1_ALL_PARTITION_MODES,p=3|d=0|q=negative:3,"negative_single_write[p=3,g=0]",95cfd0263bf93dffe1ef411defa3ae2b1540d86f4301dfc70a143839beba3497
SAMN63-0010,4,alpha_H^2*D^0,2,0,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,0.5,1/2,1/2,0.5,1/16,0.0625,7/16,0.4375,DEPTH_0_1_ALL_PARTITION_MODES,p=4|d=0|q=neutral:0,"neutral_single_write[p=4,g=0]",5983c16f56ad1b0fd54932cab12a288bdd70c33870bfb5c62eadbec9f6bb0cf2
