candidate_id,bin,operator_class,route_combination,support_roster_role,roster_position,counted_as_unique_support_row,support_value_used_for_ledger,duplicate_of,matter_row_allowed,passed
QP093A-0300,carrier_only_rows,TENSOR_CARRIER,tensor_carrier_alphaH_D2,unique_support_roster_row,1,yes,18,,no,True
QP093A-0301,carrier_only_rows,ROAD_LIGHT_CARRIER,photon_road_carrier,unique_support_roster_row,2,yes,1,,no,True
QP093A-0302,carrier_only_rows,WEAK_VECTOR_CARRIER,weak_vector_support,unique_support_roster_row,3,yes,9,,no,True
QP093A-0304,carrier_only_rows,COLOR_OWNER_CARRIER,gluon_color_owner_support,unique_support_roster_row,4,yes,8,,no,True
QP093A-0306,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=1],unique_support_roster_row,5,yes,1,,no,True
QP093A-0307,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=2],unique_support_roster_row,6,yes,2,,no,True
QP093A-0308,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=3],unique_support_roster_row,7,yes,3,,no,True
QP093A-0309,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=4],unique_support_roster_row,8,yes,4,,no,True
QP093A-0310,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=6],unique_support_roster_row,9,yes,6,,no,True
QP093A-0311,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=8],unique_support_roster_row,10,yes,8,,no,True
QP093A-0312,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=9],unique_support_roster_row,11,yes,9,,no,True
QP093A-0313,hidden_source_support_rows,SOURCE_SUPPORT_PACKET,hidden_source_support[p=12],unique_support_roster_row,12,yes,12,,no,True
QP093A-0303,carrier_only_rows,NEUTRAL_VECTOR_CARRIER,neutral_vector_support,duplicate_mirror_closure_row,,no,81,sum_12_unique_support_rows=81,no,True
