candidate_id,target_family,target_role,route_combination,partition_signature,partition_sum,diamond_anchor,q_sign,q_abs,M_observed_candidate,target_qA_observed,target_qA_expected,target_T_observed,target_T_expected,target_W_observed,target_W_expected,matter_row_allowed,matter_gate_status,binding_use,passed
QP093A-0115,GROUND_BARYON_3BODY,three_body_diamond_anchor,color_triad[1+1+1],1+1+1,3,True,positive,1,72,72.5,72.499999999999999999999999999999999999999999999999999999999999999999999999999997,9.0625,9.0624999999999999999999999999999999999999999999999999999999999999999999999999996,63.4375,63.437499999999999999999999999999999999999999999999999999999999999999999999999998,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0151,GROUND_BARYON_3BODY,three_body_diamond_anchor,color_triad[2+2+2],2+2+2,6,True,positive,2,252,255.5,255.5,31.9375,31.9375,223.5625,223.5625,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0200,GROUND_BARYON_3BODY,three_body_diamond_anchor,color_triad[4+4+4],4+4+4,12,True,positive,1,1152,1160,1159.9999999999999999999999999999999999999999999999999999999999999999999999999999,145,144.99999999999999999999999999999999999999999999999999999999999999999999999999999,1015,1014.9999999999999999999999999999999999999999999999999999999999999999999999999999,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0225,GROUND_BARYON_3BODY,three_body_diamond_anchor,color_triad[8+8+8],8+8+8,24,True,positive,2,4032,4088,4088,511,511,3577,3577,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0118,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[1+1+4],1+1+4,6,False,positive,1,432,435,434.99999999999999999999999999999999999999999999999999999999999999999999999999998,54.375,54.374999999999999999999999999999999999999999999999999999999999999999999999999998,380.625,380.62499999999999999999999999999999999999999999999999999999999999999999999999999,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0124,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[1+2+3],1+2+3,6,False,negative,1,672,676.6666667,676.66666666666666666666666666666666666666666666666666666666666666666666666666664,84.58333333,84.58333333333333333333333333333333333333333333333333333333333333333333333333333,592.0833333,592.08333333333333333333333333333333333333333333333333333333333333333333333333331,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0126,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[1+2+6],1+2+6,9,False,negative,1,1968,1981.666667,1981.6666666666666666666666666666666666666666666666666666666666666666666666666666,247.7083333,247.70833333333333333333333333333333333333333333333333333333333333333333333333332,1733.958333,1733.9583333333333333333333333333333333333333333333333333333333333333333333333332,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0136,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[1+4+4],1+4+4,9,False,negative,2,1683,1706.375,1706.375,213.296875,213.296875,1493.078125,1493.078125,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0155,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[2+2+8],2+2+8,12,False,positive,2,1512,1533,1533,191.625,191.625,1341.375,1341.375,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0165,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[2+4+6],2+4+6,12,False,negative,2,2856,2895.666667,2895.6666666666666666666666666666666666666666666666666666666666666666666666666667,361.9583333,361.95833333333333333333333333333333333333333333333333333333333333333333333333334,2533.708333,2533.7083333333333333333333333333333333333333333333333333333333333333333333333334,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0142,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[1+6+8],1+6+8,15,False,negative,3,5454,5567.625,5567.6249999999999999999999999999999999999999999999999999999999999999999999999998,695.953125,695.95312499999999999999999999999999999999999999999999999999999999999999999999998,4871.671875,4871.6718749999999999999999999999999999999999999999999999999999999999999999999999,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0187,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[3+4+8],3+4+8,15,False,positive,1,2136,2150.833333,2150.8333333333333333333333333333333333333333333333333333333333333333333333333332,268.8541667,268.85416666666666666666666666666666666666666666666666666666666666666666666666665,1881.979167,1881.9791666666666666666666666666666666666666666666666666666666666666666666666665,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0190,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[3+6+6],3+6+6,15,False,negative,3,4374,4465.125,4465.1249999999999999999999999999999999999999999999999999999999999999999999999999,558.140625,558.14062499999999999999999999999999999999999999999999999999999999999999999999999,3906.984375,3906.9843749999999999999999999999999999999999999999999999999999999999999999999999,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
QP093A-0173,GROUND_BARYON_3BODY,three_body_bound_target,color_triad[2+8+8],2+8+8,18,False,negative,4,7524,7733,7733.0000000000000000000000000000000000000000000000000000000000000000000000000002,966.625,966.62500000000000000000000000000000000000000000000000000000000000000000000000002,6766.375,6766.3750000000000000000000000000000000000000000000000000000000000000000000000001,yes,PASS_BOUND_COMPOSITE_MATTER,target_matter_write_address_not_carrier_checksum,True
