check,passed,observed,expected
a_side_structural_D_times_2_to_D,True,1/(D * 2^D) = 1/(3 * 2^3) = 1/24,1/(D * 2^D) = 1/24 for D=3
loaded_state_amplitudes_from_alphaH_D,True,"(p0, p+, p-) = (alpha_H^2, D^2, alpha_H^2) / (2 alpha_H^2 + D^2) = (4, 9, 4) / 17","(alpha_H^2, D^2, alpha_H^2) / (2 alpha_H^2 + D^2) = (4/17, 9/17, 4/17)"
loaded_state_norm_closure,True,1.00000000000000000,1.0
diag_num_equals_2_alphaH4_plus_D4,True,DIAG_NUM = 113; 2*alpha_H^4 + D^4 = 113,2 alpha_H^4 + D^4 = 2*16 + 81 = 113
off_num_equals_2_alphaH2_times_2D2_plus_alphaH2,True,OFF_NUM = 176; 2*alpha_H^2*(2*D^2 + alpha_H^2) = 176,2 alpha_H^2 (2 D^2 + alpha_H^2) = 2*4*22 = 176
diag_plus_off_equals_norm_squared,True,113 + 176 = 289; (2 alpha_H^2 + D^2)^2 = 289,(2 alpha_H^2 + D^2)^2 = 17^2 = 289
m3_coefficient_symbolic_form_OFF_D_2D_over_norm_sq,True,ln(OFF*D*2^D / (OFF*D*2^D - norm^2)) / 2 = ln(4224/3935) / 2,ln(4224/3935) / 2 ~= 0.0354358
m1_matches_closed_form_ln_24_over_23_div_2,True,0.021279807209,0.021279807209
m1_matches_campaign_value_0_0212798,True,0.0212798,0.0212798
m2_matches_closed_form_ln_12_over_11_div_2,True,0.043505688495,0.043505688495
m2_matches_campaign_value_0_0435057,True,0.0435057,0.0435057
m3_matches_closed_form_ln_4224_over_3935_div_2,True,0.035435832267,0.035435832267
m3_matches_campaign_value_0_0354358,True,0.0354358,0.0354358
m4_analytic_root_brackets_CR068a_sample_grid,True,0.028643 < 0.0289615 < 0.029146,prior sample (below threshold) < analytic root < first-fire sample
m4_within_campaign_cited_window,True,0.0289615,~0.029146
no_universal_c0_M1_ne_M2_ne_M3,True,"M1=0.021280, M2=0.043506, M3=0.035436",all four model coefficients distinct beyond 1e-4
finite_T1_distinct_from_equal_pure_dephasing_M3_ne_M4,True,M3 - M4 = +0.0064744,|M3 - M4| > 1e-4
hardware_default_locked_calibrated_trajectory_rule,True,t_fire^pred = inf{t : 1 - Tr[rho_cal(t)^2] >= 1/24},"calibrated-trajectory rule, no universal c0"
zero_free_parameters,True,all four model coefficients derived from frozen state/channel definitions,"no fit, no tuning, no data input"
population_only_readout_cannot_resolve_purity,True,P_coherent(0) - P_diagonal(same populations) = 0.608997,> 0.5; population-only would conflate
wrong_controls_all_fail_as_expected,True,6,6
