calibration_field,units,value,uncertainty,method,required
T1_s,s,,,inversion-recovery sequence,True
T2_s,s,,,"Hahn echo or Ramsey, declared",True
T2_star_s,s,,,Ramsey fringe FFT,False
readout_confusion_00,probability,,,calibrated reference states,True
readout_confusion_pp,probability,,,calibrated reference states,True
readout_confusion_mm,probability,,,calibrated reference states,True
spam_fidelity,fraction,,,calibrated reference states,True
pulse_pi_fidelity,fraction,,,randomized benchmarking or echo amplitude,True
drift_per_minute,fraction,,,interleaved calibration shots,True
shot_count_per_tomo_setting,count,5000,0,precommitted,True
shot_count_per_sensor_time,count,50000,0,precommitted,True
sample_time_grid_over_T2,list,"0.0000,0.0100,0.0200,0.0250,0.0300,0.0350,0.0400,0.0500,0.0700,0.1000",0,precommitted,True
hardware_temperature_K,K,,,instrument readout,True
static_field_G,Gauss,,,instrument readout,True
